"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,68,0,-0.852906465479525,70,0.0285714285714286,0.0142857140816327,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"B cells (PLA−)",0,9,0,581,-1.09754467989979,590,0.984745762711864,0.492372880521402,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"CD4 T cells",0,0,0,0,-0.582604344813625,6,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"CD4 T cells (PLA+)",18,0,433,0,-0.713004289548666,451,0.0399113082039911,0.019955654057748,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"CD4 T cells (PLA−)",0,31,0,2663,-0.878418629278101,2694,0.988492947290275,0.494246473461675,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"CD8 T cells",0,0,0,0,-0.162468562806305,4,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"CD8 T cells (PLA+)",0,0,68,0,-0.700836444735978,68,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"CD8 T cells (PLA−)",0,5,0,1427,-0.493075247132068,1432,0.996508379888268,0.498254189596191,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical monocytes (PLA+)",157,0,30,0,0.906841381437971,187,0.839572192513369,0.419786094011839,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical monocytes (PLA−)",0,1834,0,355,0.908304517916592,2189,0.162174508908177,0.0810872544170456,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Dendritic cells",0,0,0,0,-0.13397502458488,4,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Dendritic cells (PLA−)",0,7,0,4,0.570141122056264,11,0.363636363636364,0.181818165289258,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Early NK cells (PLA+)",2,0,21,0,0.196131437820315,23,0.0869565217391304,0.0434782589792061,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Early NK cells (PLA−)",0,9,0,84,-0.247645116415919,93,0.903225806451613,0.451612898369754,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Intermediate monocytes (PLA+)",11,0,3,0,0.774765319405559,14,0.785714285714286,0.39285711479592,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Intermediate monocytes (PLA−)",0,193,0,60,0.965555941245474,253,0.237154150197628,0.11857707463013,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Monocytes (PLA+)",7,0,3,0,0.732703429650123,10,0.7,0.349999965000004,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Monocytes (PLA−)",0,884,0,3643,0.151783983024637,4527,0.804727192401149,0.402363596111693,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"NK / Dendritic cells",0,0,0,0,1.13600866210654,11,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"NK cells",0,0,0,0,-0.321735251715097,34,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"NK cells (PLA+)",1,0,3,0,-0.274284114311593,4,0.25,0.124999968750008,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"NK cells (PLA−)",0,2,0,92,-0.34027761055654,94,0.978723404255319,0.489361696921684,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Neutrophils",0,0,0,0,-0.0228070534937151,92,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Neutrophils (PLA+)",36,0,34,0,0.570832995849362,70,0.514285714285714,0.257142853469388,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Neutrophils (PLA−)",0,124,0,480,0.196894251374642,604,0.794701986754967,0.397350992719618,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Non-B / Non-monocyte cells",0,0,0,0,0.314672283988703,48,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Non-B cells",0,0,0,0,0.89127020661843,857,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Non-T / Non-NK cells",0,0,0,0,-0.0696694023659794,73,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Non-cDCs",0,0,0,0,-0.319470836541529,12,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Non-classical monocytes (PLA+)",33,0,191,0,0.182923076640739,224,0.147321428571429,0.0736607139568718,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Non-classical monocytes (PLA−)",0,314,0,1103,0.274850214287285,1417,0.778405081157375,0.389202540304021,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Other immune cells",0,0,0,0,0.279868107337728,11,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"R11",0,0,0,0,-0.44687441311942,512,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"R13",0,0,0,0,-0.637178866772486,204,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"R40",0,0,0,0,0.137293002573397,247,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Singlets",0,0,0,0,0.121647258621544,1220,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Total B cells",0,0,0,0,-0.404447777550374,1,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
NA,0,0,0,0,-0.359243343719368,260,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_dual"
