"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",9,0,61,0,-0.852906465479525,70,0.128571428571429,0.064285713367347,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"B cells (PLA−)",0,27,0,563,-1.09754467989979,590,0.954237288135593,0.477118643259121,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.582604344813625,6,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",89,0,362,0,-0.713004289548666,451,0.197339246119734,0.0986696228410873,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,288,0,2406,-0.878418629278101,2694,0.893095768374165,0.446547884021326,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-0.162468562806305,4,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",10,0,58,0,-0.700836444735978,68,0.147058823529412,0.073529410683391,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,314,0,1118,-0.493075247132068,1432,0.78072625698324,0.39036312821902,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",168,0,19,0,0.906841381437971,187,0.898395721925134,0.449197858560439,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,1967,0,222,0.908304517916592,2189,0.101416171767931,0.0507080858608003,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,-0.13397502458488,4,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,8,0,3,0.570141122056264,11,0.272727272727273,0.136363623966943,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA+)",12,0,11,0,0.196131437820315,23,0.521739130434783,0.260869553875237,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,34,0,59,-0.247645116415919,93,0.634408602150538,0.31720429766447,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",11,0,3,0,0.774765319405559,14,0.785714285714286,0.39285711479592,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,225,0,28,0.965555941245474,253,0.110671936758893,0.0553359681607274,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Monocytes (PLA+)",7,0,3,0,0.732703429650123,10,0.7,0.349999965000004,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
