"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",1,0,69,0,-0.852906465479525,70,0.0142857142857143,0.00714285704081633,"AUCell","GOBP_REG",FALSE,"kmeans"
"B cells (PLA−)",0,5,0,585,-1.09754467989979,590,0.991525423728814,0.495762711024131,"AUCell","GOBP_REG",FALSE,"kmeans"
"CD4 T cells",0,0,0,0,-0.582604344813625,6,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"CD4 T cells (PLA+)",10,0,441,0,-0.713004289548666,451,0.0221729490022173,0.0110864744765267,"AUCell","GOBP_REG",FALSE,"kmeans"
"CD4 T cells (PLA−)",0,25,0,2669,-0.878418629278101,2694,0.99072011878248,0.495360059207365,"AUCell","GOBP_REG",FALSE,"kmeans"
"CD8 T cells",0,0,0,0,-0.162468562806305,4,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"CD8 T cells (PLA+)",0,0,68,0,-0.700836444735978,68,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"CD8 T cells (PLA−)",0,1,0,1431,-0.493075247132068,1432,0.999301675977654,0.499650837639909,"AUCell","GOBP_REG",FALSE,"kmeans"
"Classical monocytes (PLA+)",149,0,38,0,0.906841381437971,187,0.796791443850267,0.398395719794675,"AUCell","GOBP_REG",FALSE,"kmeans"
"Classical monocytes (PLA−)",0,1692,0,497,0.908304517916592,2189,0.227044312471448,0.113522156183864,"AUCell","GOBP_REG",FALSE,"kmeans"
"Dendritic cells",0,0,0,0,-0.13397502458488,4,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Dendritic cells (PLA−)",0,6,0,5,0.570141122056264,11,0.454545454545455,0.227272706611572,"AUCell","GOBP_REG",FALSE,"kmeans"
"Early NK cells (PLA+)",2,0,21,0,0.196131437820315,23,0.0869565217391304,0.0434782589792061,"AUCell","GOBP_REG",FALSE,"kmeans"
"Early NK cells (PLA−)",0,7,0,86,-0.247645116415919,93,0.924731182795699,0.462365586426176,"AUCell","GOBP_REG",FALSE,"kmeans"
"Intermediate monocytes (PLA+)",9,0,5,0,0.774765319405559,14,0.642857142857143,0.321428548469389,"AUCell","GOBP_REG",FALSE,"kmeans"
"Intermediate monocytes (PLA−)",0,178,0,75,0.965555941245474,253,0.296442687747036,0.148221343287663,"AUCell","GOBP_REG",FALSE,"kmeans"
"Monocytes (PLA+)",7,0,3,0,0.732703429650123,10,0.7,0.349999965000004,"AUCell","GOBP_REG",FALSE,"kmeans"
"Monocytes (PLA−)",0,681,0,3846,0.151783983024637,4527,0.849569251159708,0.424784625486021,"AUCell","GOBP_REG",FALSE,"kmeans"
"NK / Dendritic cells",0,0,0,0,1.13600866210654,11,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"NK cells",0,0,0,0,-0.321735251715097,34,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"NK cells (PLA+)",0,0,4,0,-0.274284114311593,4,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"NK cells (PLA−)",0,0,0,94,-0.34027761055654,94,1,0.499999994680851,"AUCell","GOBP_REG",FALSE,"kmeans"
"Neutrophils",0,0,0,0,-0.0228070534937151,92,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Neutrophils (PLA+)",31,0,39,0,0.570832995849362,70,0.442857142857143,0.221428568265306,"AUCell","GOBP_REG",FALSE,"kmeans"
"Neutrophils (PLA−)",0,91,0,513,0.196894251374642,604,0.849337748344371,0.424668873469091,"AUCell","GOBP_REG",FALSE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,0.314672283988703,48,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Non-B cells",0,0,0,0,0.89127020661843,857,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,-0.0696694023659794,73,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Non-cDCs",0,0,0,0,-0.319470836541529,12,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Non-classical monocytes (PLA+)",27,0,197,0,0.182923076640739,224,0.120535714285714,0.0602678568738042,"AUCell","GOBP_REG",FALSE,"kmeans"
"Non-classical monocytes (PLA−)",0,236,0,1181,0.274850214287285,1417,0.833450952717008,0.416725476064414,"AUCell","GOBP_REG",FALSE,"kmeans"
"Other immune cells",0,0,0,0,0.279868107337728,11,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"R11",0,0,0,0,-0.44687441311942,512,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"R13",0,0,0,0,-0.637178866772486,204,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"R40",0,0,0,0,0.137293002573397,247,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Singlets",0,0,0,0,0.121647258621544,1220,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Total B cells",0,0,0,0,-0.404447777550374,1,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
NA,0,0,0,0,-0.359243343719368,260,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
