"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",1,0,69,0,-0.852906465479525,70,0.0142857142857143,0.00714285704081633,"AUCell","GOBP_REG",FALSE,"youden"
"B cells (PLA−)",0,4,0,586,-1.09754467989979,590,0.993220338983051,0.496610168649813,"AUCell","GOBP_REG",FALSE,"youden"
"CD4 T cells",0,0,0,0,-0.582604344813625,6,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"CD4 T cells (PLA+)",6,0,445,0,-0.713004289548666,451,0.0133037694013304,0.006651884685916,"AUCell","GOBP_REG",FALSE,"youden"
"CD4 T cells (PLA−)",0,10,0,2684,-0.878418629278101,2694,0.996288047512992,0.498144023571587,"AUCell","GOBP_REG",FALSE,"youden"
"CD8 T cells",0,0,0,0,-0.162468562806305,4,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"CD8 T cells (PLA+)",0,0,68,0,-0.700836444735978,68,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"CD8 T cells (PLA−)",0,1,0,1431,-0.493075247132068,1432,0.999301675977654,0.499650837639909,"AUCell","GOBP_REG",FALSE,"youden"
"Classical monocytes (PLA+)",41,0,146,0,0.906841381437971,187,0.219251336898396,0.109625667862964,"AUCell","GOBP_REG",FALSE,"youden"
"Classical monocytes (PLA−)",0,435,0,1754,0.908304517916592,2189,0.801279122887163,0.400639561260558,"AUCell","GOBP_REG",FALSE,"youden"
"Dendritic cells",0,0,0,0,-0.13397502458488,4,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Dendritic cells (PLA−)",0,2,0,9,0.570141122056264,11,0.818181818181818,0.40909087190083,"AUCell","GOBP_REG",FALSE,"youden"
"Early NK cells (PLA+)",2,0,21,0,0.196131437820315,23,0.0869565217391304,0.0434782589792061,"AUCell","GOBP_REG",FALSE,"youden"
"Early NK cells (PLA−)",0,0,0,93,-0.247645116415919,93,1,0.499999994623656,"AUCell","GOBP_REG",FALSE,"youden"
"Intermediate monocytes (PLA+)",3,0,11,0,0.774765319405559,14,0.214285714285714,0.107142849489796,"AUCell","GOBP_REG",FALSE,"youden"
"Intermediate monocytes (PLA−)",0,64,0,189,0.965555941245474,253,0.74703557312253,0.37351778508491,"AUCell","GOBP_REG",FALSE,"youden"
"Monocytes (PLA+)",2,0,8,0,0.732703429650123,10,0.2,0.099999990000001,"AUCell","GOBP_REG",FALSE,"youden"
"Monocytes (PLA−)",0,251,0,4276,0.151783983024637,4527,0.944554892865032,0.472277446328191,"AUCell","GOBP_REG",FALSE,"youden"
"NK / Dendritic cells",0,0,0,0,1.13600866210654,11,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"NK cells",0,0,0,0,-0.321735251715097,34,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"NK cells (PLA+)",0,0,4,0,-0.274284114311593,4,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"NK cells (PLA−)",0,1,0,93,-0.34027761055654,94,0.98936170212766,0.494680845801268,"AUCell","GOBP_REG",FALSE,"youden"
"Neutrophils",0,0,0,0,-0.0228070534937151,92,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Neutrophils (PLA+)",13,0,57,0,0.570832995849362,70,0.185714285714286,0.0928571415306123,"AUCell","GOBP_REG",FALSE,"youden"
"Neutrophils (PLA−)",0,38,0,566,0.196894251374642,604,0.937086092715232,0.468543045581882,"AUCell","GOBP_REG",FALSE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.314672283988703,48,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Non-B cells",0,0,0,0,0.89127020661843,857,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Non-T / Non-NK cells",0,0,0,0,-0.0696694023659794,73,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Non-cDCs",0,0,0,0,-0.319470836541529,12,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Non-classical monocytes (PLA+)",15,0,209,0,0.182923076640739,224,0.0669642857142857,0.033482142707669,"AUCell","GOBP_REG",FALSE,"youden"
"Non-classical monocytes (PLA−)",0,106,0,1311,0.274850214287285,1417,0.925194071983063,0.462597035665069,"AUCell","GOBP_REG",FALSE,"youden"
"Other immune cells",0,0,0,0,0.279868107337728,11,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"R11",0,0,0,0,-0.44687441311942,512,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"R13",0,0,0,0,-0.637178866772486,204,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"R40",0,0,0,0,0.137293002573397,247,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Singlets",0,0,0,0,0.121647258621544,1220,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Total B cells",0,0,0,0,-0.404447777550374,1,0,0,"AUCell","GOBP_REG",FALSE,"youden"
NA,0,0,0,0,-0.359243343719368,260,0,0,"AUCell","GOBP_REG",FALSE,"youden"
