"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,68,0,-0.836272596392414,70,0.0285714285714286,0.0142857140816327,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"B cells (PLA−)",0,9,0,581,-1.05321969053552,590,0.984745762711864,0.492372880521402,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"CD4 T cells",0,0,0,0,-0.665699535022749,6,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"CD4 T cells (PLA+)",23,0,428,0,-0.678465514621548,451,0.0509977827050998,0.0254988912960113,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"CD4 T cells (PLA−)",0,35,0,2659,-0.901245956405732,2694,0.987008166295471,0.493504082964549,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"CD8 T cells",0,0,0,0,-0.339231284052125,4,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"CD8 T cells (PLA+)",0,0,68,0,-0.752609348464905,68,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"CD8 T cells (PLA−)",0,5,0,1427,-0.589266173995764,1432,0.996508379888268,0.498254189596191,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Classical monocytes (PLA+)",165,0,22,0,0.99753096112102,187,0.882352941176471,0.441176468229003,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Classical monocytes (PLA−)",0,1971,0,218,1.0240723364186,2189,0.0995888533576976,0.0497944266561012,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Dendritic cells",0,0,0,0,0.0472508071238804,4,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Dendritic cells (PLA−)",0,7,0,4,0.525329601892477,11,0.363636363636364,0.181818165289258,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Early NK cells (PLA+)",3,0,20,0,0.421589335325776,23,0.130434782608696,0.0652173884688092,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Early NK cells (PLA−)",0,11,0,82,-0.34908882176946,93,0.881720430107527,0.440860210313331,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Intermediate monocytes (PLA+)",11,0,3,0,0.96475607340582,14,0.785714285714286,0.39285711479592,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Intermediate monocytes (PLA−)",0,207,0,46,1.019695114878,253,0.181818181818182,0.0909090905497664,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Monocytes (PLA+)",10,0,0,0,0.987866555985119,10,1,0.499999950000005,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Monocytes (PLA−)",0,1063,0,3464,0.124969680135782,4527,0.765186657830793,0.382593328830883,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"NK / Dendritic cells",0,0,0,0,1.19519349464612,11,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"NK cells",0,0,0,0,-0.426617315650128,34,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"NK cells (PLA+)",1,0,3,0,-0.340463239716165,4,0.25,0.124999968750008,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"NK cells (PLA−)",0,2,0,92,-0.461299742082651,94,0.978723404255319,0.489361696921684,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Neutrophils",0,0,0,0,-0.072746265692745,92,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Neutrophils (PLA+)",40,0,30,0,0.645996345018761,70,0.571428571428571,0.285714281632653,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Neutrophils (PLA−)",0,146,0,458,0.15973173926155,604,0.758278145695364,0.379139072219968,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Non-B / Non-monocyte cells",0,0,0,0,0.850705892160884,48,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Non-B cells",0,0,0,0,0.922308360819096,857,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Non-T / Non-NK cells",0,0,0,0,0.183318019888575,73,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Non-cDCs",0,0,0,0,-0.220846211193415,12,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Non-classical monocytes (PLA+)",44,0,180,0,0.142617375045555,224,0.196428571428571,0.0982142852758291,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Non-classical monocytes (PLA−)",0,362,0,1055,0.231961811069519,1417,0.744530698659139,0.372265349066856,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Other immune cells",0,0,0,0,0.115744342159668,11,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"R11",0,0,0,0,-0.497694331240317,512,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"R13",0,0,0,0,-0.6952457658225,204,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"R40",0,0,0,0,0.216521800372975,247,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Singlets",0,0,0,0,0.144708021118284,1220,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Total B cells",0,0,0,0,-0.537224158629997,1,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
NA,0,0,0,0,-0.269042302340232,260,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_dual"
