"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,68,0,-0.836272596392414,70,0.0285714285714286,0.0142857140816327,"AUCell","GOBP_REG",TRUE,"kmeans"
"B cells (PLA−)",0,5,0,585,-1.05321969053552,590,0.991525423728814,0.495762711024131,"AUCell","GOBP_REG",TRUE,"kmeans"
"CD4 T cells",0,0,0,0,-0.665699535022749,6,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"CD4 T cells (PLA+)",10,0,441,0,-0.678465514621548,451,0.0221729490022173,0.0110864744765267,"AUCell","GOBP_REG",TRUE,"kmeans"
"CD4 T cells (PLA−)",0,26,0,2668,-0.901245956405732,2694,0.990348923533779,0.495174461583083,"AUCell","GOBP_REG",TRUE,"kmeans"
"CD8 T cells",0,0,0,0,-0.339231284052125,4,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"CD8 T cells (PLA+)",0,0,68,0,-0.752609348464905,68,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"CD8 T cells (PLA−)",0,1,0,1431,-0.589266173995764,1432,0.999301675977654,0.499650837639909,"AUCell","GOBP_REG",TRUE,"kmeans"
"Classical monocytes (PLA+)",152,0,35,0,0.99753096112102,187,0.812834224598931,0.406417110126112,"AUCell","GOBP_REG",TRUE,"kmeans"
"Classical monocytes (PLA−)",0,1794,0,395,1.0240723364186,2189,0.180447693010507,0.0902238464640366,"AUCell","GOBP_REG",TRUE,"kmeans"
"Dendritic cells",0,0,0,0,0.0472508071238804,4,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"Dendritic cells (PLA−)",0,6,0,5,0.525329601892477,11,0.454545454545455,0.227272706611572,"AUCell","GOBP_REG",TRUE,"kmeans"
"Early NK cells (PLA+)",2,0,21,0,0.421589335325776,23,0.0869565217391304,0.0434782589792061,"AUCell","GOBP_REG",TRUE,"kmeans"
"Early NK cells (PLA−)",0,5,0,88,-0.34908882176946,93,0.946236559139785,0.473118274482599,"AUCell","GOBP_REG",TRUE,"kmeans"
"Intermediate monocytes (PLA+)",11,0,3,0,0.96475607340582,14,0.785714285714286,0.39285711479592,"AUCell","GOBP_REG",TRUE,"kmeans"
"Intermediate monocytes (PLA−)",0,183,0,70,1.019695114878,253,0.276679841897233,0.138339920401819,"AUCell","GOBP_REG",TRUE,"kmeans"
"Monocytes (PLA+)",8,0,2,0,0.987866555985119,10,0.8,0.399999960000004,"AUCell","GOBP_REG",TRUE,"kmeans"
"Monocytes (PLA−)",0,547,0,3980,0.124969680135782,4527,0.879169427877181,0.439584713841488,"AUCell","GOBP_REG",TRUE,"kmeans"
"NK / Dendritic cells",0,0,0,0,1.19519349464612,11,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"NK cells",0,0,0,0,-0.426617315650128,34,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"NK cells (PLA+)",0,0,4,0,-0.340463239716165,4,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"NK cells (PLA−)",0,0,0,94,-0.461299742082651,94,1,0.499999994680851,"AUCell","GOBP_REG",TRUE,"kmeans"
"Neutrophils",0,0,0,0,-0.072746265692745,92,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"Neutrophils (PLA+)",33,0,37,0,0.645996345018761,70,0.471428571428571,0.235714282346939,"AUCell","GOBP_REG",TRUE,"kmeans"
"Neutrophils (PLA−)",0,73,0,531,0.15973173926155,604,0.879139072847682,0.439569535696077,"AUCell","GOBP_REG",TRUE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,0.850705892160884,48,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"Non-B cells",0,0,0,0,0.922308360819096,857,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,0.183318019888575,73,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"Non-cDCs",0,0,0,0,-0.220846211193415,12,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"Non-classical monocytes (PLA+)",20,0,204,0,0.142617375045555,224,0.0892857142857143,0.0446428569435587,"AUCell","GOBP_REG",TRUE,"kmeans"
"Non-classical monocytes (PLA−)",0,177,0,1240,0.231961811069519,1417,0.875088214537756,0.437544106960096,"AUCell","GOBP_REG",TRUE,"kmeans"
"Other immune cells",0,0,0,0,0.115744342159668,11,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"R11",0,0,0,0,-0.497694331240317,512,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"R13",0,0,0,0,-0.6952457658225,204,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"R40",0,0,0,0,0.216521800372975,247,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"Singlets",0,0,0,0,0.144708021118284,1220,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"Total B cells",0,0,0,0,-0.537224158629997,1,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
NA,0,0,0,0,-0.269042302340232,260,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
