"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",0,0,70,0,-0.836272596392414,70,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"B cells (PLA−)",0,5,0,585,-1.05321969053552,590,0.991525423728814,0.495762711024131,"AUCell","GOBP_REG",TRUE,"youden"
"CD4 T cells",0,0,0,0,-0.665699535022749,6,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"CD4 T cells (PLA+)",9,0,442,0,-0.678465514621548,451,0.0199556541019956,0.009977827028874,"AUCell","GOBP_REG",TRUE,"youden"
"CD4 T cells (PLA−)",0,13,0,2681,-0.901245956405732,2694,0.995174461766889,0.497587230698743,"AUCell","GOBP_REG",TRUE,"youden"
"CD8 T cells",0,0,0,0,-0.339231284052125,4,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"CD8 T cells (PLA+)",0,0,68,0,-0.752609348464905,68,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"CD8 T cells (PLA−)",0,1,0,1431,-0.589266173995764,1432,0.999301675977654,0.499650837639909,"AUCell","GOBP_REG",TRUE,"youden"
"Classical monocytes (PLA+)",65,0,122,0,0.99753096112102,187,0.347593582887701,0.173796790514456,"AUCell","GOBP_REG",TRUE,"youden"
"Classical monocytes (PLA−)",0,772,0,1417,1.0240723364186,2189,0.647327546825034,0.323663773264658,"AUCell","GOBP_REG",TRUE,"youden"
"Dendritic cells",0,0,0,0,0.0472508071238804,4,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"Dendritic cells (PLA−)",0,2,0,9,0.525329601892477,11,0.818181818181818,0.40909087190083,"AUCell","GOBP_REG",TRUE,"youden"
"Early NK cells (PLA+)",2,0,21,0,0.421589335325776,23,0.0869565217391304,0.0434782589792061,"AUCell","GOBP_REG",TRUE,"youden"
"Early NK cells (PLA−)",0,0,0,93,-0.34908882176946,93,1,0.499999994623656,"AUCell","GOBP_REG",TRUE,"youden"
"Intermediate monocytes (PLA+)",5,0,9,0,0.96475607340582,14,0.357142857142857,0.178571415816327,"AUCell","GOBP_REG",TRUE,"youden"
"Intermediate monocytes (PLA−)",0,90,0,163,1.019695114878,253,0.644268774703557,0.32213438607852,"AUCell","GOBP_REG",TRUE,"youden"
"Monocytes (PLA+)",4,0,6,0,0.987866555985119,10,0.4,0.199999980000002,"AUCell","GOBP_REG",TRUE,"youden"
"Monocytes (PLA−)",0,292,0,4235,0.124969680135782,4527,0.93549812237685,0.467749061085101,"AUCell","GOBP_REG",TRUE,"youden"
"NK / Dendritic cells",0,0,0,0,1.19519349464612,11,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"NK cells",0,0,0,0,-0.426617315650128,34,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"NK cells (PLA+)",0,0,4,0,-0.340463239716165,4,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"NK cells (PLA−)",0,0,0,94,-0.461299742082651,94,1,0.499999994680851,"AUCell","GOBP_REG",TRUE,"youden"
"Neutrophils",0,0,0,0,-0.072746265692745,92,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"Neutrophils (PLA+)",20,0,50,0,0.645996345018761,70,0.285714285714286,0.142857140816327,"AUCell","GOBP_REG",TRUE,"youden"
"Neutrophils (PLA−)",0,44,0,560,0.15973173926155,604,0.927152317880795,0.463576158172887,"AUCell","GOBP_REG",TRUE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.850705892160884,48,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"Non-B cells",0,0,0,0,0.922308360819096,857,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"Non-T / Non-NK cells",0,0,0,0,0.183318019888575,73,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"Non-cDCs",0,0,0,0,-0.220846211193415,12,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"Non-classical monocytes (PLA+)",16,0,208,0,0.142617375045555,224,0.0714285714285714,0.0357142855548469,"AUCell","GOBP_REG",TRUE,"youden"
"Non-classical monocytes (PLA−)",0,107,0,1310,0.231961811069519,1417,0.924488355681016,0.462244177514295,"AUCell","GOBP_REG",TRUE,"youden"
"Other immune cells",0,0,0,0,0.115744342159668,11,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"R11",0,0,0,0,-0.497694331240317,512,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"R13",0,0,0,0,-0.6952457658225,204,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"R40",0,0,0,0,0.216521800372975,247,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"Singlets",0,0,0,0,0.144708021118284,1220,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"Total B cells",0,0,0,0,-0.537224158629997,1,0,0,"AUCell","GOBP_REG",TRUE,"youden"
NA,0,0,0,0,-0.269042302340232,260,0,0,"AUCell","GOBP_REG",TRUE,"youden"
