"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",29,0,41,0,-0.726627922617825,70,0.414285714285714,0.207142854183674,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"B cells (PLA−)",0,235,0,355,-0.955985698995325,590,0.601694915254237,0.300847457117208,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.23724551197498,6,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",249,0,202,0,-0.533611004400976,451,0.552106430155211,0.276053214465514,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,1261,0,1433,-0.846057646251536,2694,0.53192279138827,0.265961395595412,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-0.00238235208242067,4,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",39,0,29,0,-0.658305257501811,68,0.573529411764706,0.286764701665225,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,944,0,488,-0.574058207820079,1432,0.340782122905028,0.170391061333526,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",185,0,2,0,0.55963006141471,187,0.989304812834225,0.494652403771912,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,2150,0,39,0.558211981620655,2189,0.0178163544997716,0.00890817724581627,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,-0.0754494464048048,4,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,10,0,1,0.444689808513215,11,0.0909090909090909,0.0454545413223144,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA+)",20,0,3,0,0.517510616078291,23,0.869565217391304,0.434782589792061,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,74,0,19,-0.250716140212204,93,0.204301075268817,0.102150536536016,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",14,0,0,0,0.659015311753626,14,1,0.499999964285717,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,246,0,7,0.662645195594529,253,0.0276679841897233,0.0138339920401818,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Monocytes (PLA+)",9,0,1,0,0.252889503493571,10,0.9,0.449999955000005,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,3952,0,575,0.313071559650385,4527,0.127015683675723,0.063507841823833,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,0.68277404467242,11,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"NK cells",0,0,0,0,-0.540400919683033,34,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"NK cells (PLA+)",4,0,0,0,0.171193486611136,4,1,0.499999875000031,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"NK cells (PLA−)",0,74,0,20,-0.347254043244306,94,0.212765957446809,0.10638297759167,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,0.0757954005670426,92,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Neutrophils (PLA+)",66,0,4,0,0.505202965520096,70,0.942857142857143,0.471428564693878,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,538,0,66,0.396463511463167,604,0.109271523178808,0.0546357614989474,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,0.587686474200778,48,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,0.513453821258461,857,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,0.0934633055090461,73,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Non-cDCs",0,0,0,0,-0.470215226687963,12,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Non-classical monocytes (PLA+)",201,0,23,0,0.426447112033813,224,0.897321428571429,0.448660712282765,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Non-classical monocytes (PLA−)",0,1278,0,139,0.466234637913785,1417,0.0980945659844742,0.0490472829576237,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Other immune cells",0,0,0,0,0.390212635264836,11,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"R11",0,0,0,0,-0.47638736685532,512,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"R13",0,0,0,0,-0.684668719233791,204,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"R40",0,0,0,0,0.288824743115276,247,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Singlets",0,0,0,0,0.0218989453376555,1220,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Total B cells",0,0,0,0,-0.900485341506864,1,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
NA,0,0,0,0,-0.368438399801764,260,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
