"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,68,0,-0.726627922617825,70,0.0285714285714286,0.0142857140816327,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"B cells (PLA−)",0,8,0,582,-0.955985698995325,590,0.986440677966102,0.493220338147084,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"CD4 T cells",0,0,0,0,-0.23724551197498,6,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"CD4 T cells (PLA+)",36,0,415,0,-0.533611004400976,451,0.0798226164079823,0.039911308115496,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"CD4 T cells (PLA−)",0,36,0,2658,-0.846057646251536,2694,0.986636971046771,0.493318485340268,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"CD8 T cells",0,0,0,0,-0.00238235208242067,4,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"CD8 T cells (PLA+)",0,0,68,0,-0.658305257501811,68,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"CD8 T cells (PLA−)",0,7,0,1425,-0.574058207820079,1432,0.995111731843575,0.497555865574332,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Classical monocytes (PLA+)",143,0,44,0,0.55963006141471,187,0.764705882352941,0.382352939131802,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Classical monocytes (PLA−)",0,1661,0,528,0.558211981620655,2189,0.241206030150754,0.120603015020282,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Dendritic cells",0,0,0,0,-0.0754494464048048,4,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Dendritic cells (PLA−)",0,6,0,5,0.444689808513215,11,0.454545454545455,0.227272706611572,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Early NK cells (PLA+)",4,0,19,0,0.517510616078291,23,0.173913043478261,0.0869565179584123,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Early NK cells (PLA−)",0,7,0,86,-0.250716140212204,93,0.924731182795699,0.462365586426176,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Intermediate monocytes (PLA+)",10,0,4,0,0.659015311753626,14,0.714285714285714,0.357142831632655,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Intermediate monocytes (PLA−)",0,173,0,80,0.662645195594529,253,0.316205533596838,0.158102766173507,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Monocytes (PLA+)",8,0,2,0,0.252889503493571,10,0.8,0.399999960000004,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Monocytes (PLA−)",0,1052,0,3475,0.313071559650385,4527,0.76761652308372,0.383808261457078,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"NK / Dendritic cells",0,0,0,0,0.68277404467242,11,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"NK cells",0,0,0,0,-0.540400919683033,34,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"NK cells (PLA+)",1,0,3,0,0.171193486611136,4,0.25,0.124999968750008,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"NK cells (PLA−)",0,1,0,93,-0.347254043244306,94,0.98936170212766,0.494680845801268,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Neutrophils",0,0,0,0,0.0757954005670426,92,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Neutrophils (PLA+)",36,0,34,0,0.505202965520096,70,0.514285714285714,0.257142853469388,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Neutrophils (PLA−)",0,143,0,461,0.396463511463167,604,0.763245033112583,0.381622515924466,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,0.587686474200778,48,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Non-B cells",0,0,0,0,0.513453821258461,857,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,0.0934633055090461,73,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Non-cDCs",0,0,0,0,-0.470215226687963,12,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Non-classical monocytes (PLA+)",47,0,177,0,0.426447112033813,224,0.209821428571429,0.104910713817363,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Non-classical monocytes (PLA−)",0,353,0,1064,0.466234637913785,1417,0.750882145377558,0.375441072423824,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Other immune cells",0,0,0,0,0.390212635264836,11,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"R11",0,0,0,0,-0.47638736685532,512,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"R13",0,0,0,0,-0.684668719233791,204,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"R40",0,0,0,0,0.288824743115276,247,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Singlets",0,0,0,0,0.0218989453376555,1220,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Total B cells",0,0,0,0,-0.900485341506864,1,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
NA,0,0,0,0,-0.368438399801764,260,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
