"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",0,0,70,0,-0.727294638008663,70,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"B cells (PLA−)",0,0,0,590,-0.918928661352685,590,1,0.499999999152542,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.40347273364985,6,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",3,0,448,0,-0.477612165225791,451,0.00665188470066519,0.003325942342958,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,0,0,2694,-0.887975744954879,2694,1,0.499999999814402,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-0.149966387386608,4,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",0,0,68,0,-0.722037643743013,68,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,0,0,1432,-0.68068702225233,1432,1,0.499999999650838,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",1,0,186,0,0.637063094124493,187,0.0053475935828877,0.00267379677714547,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,0,0,2189,0.646029308093885,2189,1,0.499999999771585,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,-0.0200121350869788,4,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,0,0,11,0.34388200127005,11,1,0.499999954545459,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA+)",1,0,22,0,0.759525131258609,23,0.0434782608695652,0.0217391294896031,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,0,0,93,-0.367095552106224,93,1,0.499999994623656,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",0,0,14,0,0.787084183240163,14,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,0,0,253,0.686955826231087,253,1,0.499999998023715,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Monocytes (PLA+)",0,0,10,0,0.394861347776799,10,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,0,0,4527,0.306164810464124,4527,1,0.499999999889552,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,0.91803123981374,11,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"NK cells",0,0,0,0,-0.646258617735421,34,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"NK cells (PLA+)",0,0,4,0,0.17722550415825,4,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"NK cells (PLA−)",0,0,0,94,-0.495719145014592,94,1,0.499999994680851,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,-0.015066056313578,92,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA+)",0,0,70,0,0.620543350698395,70,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,0,0,604,0.381144111348724,604,1,0.499999999172185,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,1.28031512438644,48,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,0.526465203887178,857,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,0.422211416695944,73,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Non-cDCs",0,0,0,0,-0.426464769280515,12,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Non-classical monocytes (PLA+)",0,0,224,0,0.40895682595037,224,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Non-classical monocytes (PLA−)",0,0,0,1417,0.449551958220901,1417,1,0.499999999647142,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Other immune cells",0,0,0,0,0.262084892555211,11,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"R11",0,0,0,0,-0.525182599151534,512,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"R13",0,0,0,0,-0.797188432461669,204,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"R40",0,0,0,0,0.430335377505759,247,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Singlets",0,0,0,0,0.0384355139442973,1220,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Total B cells",0,0,0,0,-1.15695216102889,1,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
NA,0,0,0,0,-0.278447467731735,260,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
