"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,68,0,-0.727294638008663,70,0.0285714285714286,0.0142857140816327,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"B cells (PLA−)",0,8,0,582,-0.918928661352685,590,0.986440677966102,0.493220338147084,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"CD4 T cells",0,0,0,0,-0.40347273364985,6,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"CD4 T cells (PLA+)",40,0,411,0,-0.477612165225791,451,0.0886917960088692,0.0443458979061067,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"CD4 T cells (PLA−)",0,34,0,2660,-0.887975744954879,2694,0.987379361544172,0.493689680588831,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"CD8 T cells",0,0,0,0,-0.149966387386608,4,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"CD8 T cells (PLA+)",0,0,68,0,-0.722037643743013,68,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"CD8 T cells (PLA−)",0,6,0,1426,-0.68068702225233,1432,0.995810055865922,0.497905027585262,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Classical monocytes (PLA+)",154,0,33,0,0.637063094124493,187,0.823529411764706,0.411764703680403,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Classical monocytes (PLA−)",0,1687,0,502,0.646029308093885,2189,0.229328460484239,0.114664230189738,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Dendritic cells",0,0,0,0,-0.0200121350869788,4,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Dendritic cells (PLA−)",0,6,0,5,0.34388200127005,11,0.454545454545455,0.227272706611572,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Early NK cells (PLA+)",3,0,20,0,0.759525131258609,23,0.130434782608696,0.0652173884688092,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Early NK cells (PLA−)",0,8,0,85,-0.367095552106224,93,0.913978494623656,0.456989242397965,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Intermediate monocytes (PLA+)",12,0,2,0,0.787084183240163,14,0.857142857142857,0.428571397959186,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Intermediate monocytes (PLA−)",0,180,0,73,0.686955826231087,253,0.288537549407115,0.144268774133325,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Monocytes (PLA+)",8,0,2,0,0.394861347776799,10,0.8,0.399999960000004,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Monocytes (PLA−)",0,1198,0,3329,0.306164810464124,4527,0.735365584272145,0.367682792054852,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"NK / Dendritic cells",0,0,0,0,0.91803123981374,11,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"NK cells",0,0,0,0,-0.646258617735421,34,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"NK cells (PLA+)",1,0,3,0,0.17722550415825,4,0.25,0.124999968750008,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"NK cells (PLA−)",0,1,0,93,-0.495719145014592,94,0.98936170212766,0.494680845801268,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Neutrophils",0,0,0,0,-0.015066056313578,92,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Neutrophils (PLA+)",36,0,34,0,0.620543350698395,70,0.514285714285714,0.257142853469388,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Neutrophils (PLA−)",0,160,0,444,0.381144111348724,604,0.735099337748344,0.367549668265646,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,1.28031512438644,48,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Non-B cells",0,0,0,0,0.526465203887178,857,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,0.422211416695944,73,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Non-cDCs",0,0,0,0,-0.426464769280515,12,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Non-classical monocytes (PLA+)",49,0,175,0,0.40895682595037,224,0.21875,0.109374999511719,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Non-classical monocytes (PLA−)",0,386,0,1031,0.449551958220901,1417,0.727593507410021,0.363796753448273,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Other immune cells",0,0,0,0,0.262084892555211,11,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"R11",0,0,0,0,-0.525182599151534,512,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"R13",0,0,0,0,-0.797188432461669,204,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"R40",0,0,0,0,0.430335377505759,247,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Singlets",0,0,0,0,0.0384355139442973,1220,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Total B cells",0,0,0,0,-1.15695216102889,1,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
NA,0,0,0,0,-0.278447467731735,260,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
