"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",62,0,8,0,1.26893497134225,70,0.885714285714286,0.442857136530612,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"B cells (PLA−)",0,562,0,28,1.4641971116596,590,0.0474576271186441,0.0237288135191037,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.500367399889923,6,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",188,0,263,0,-0.170893741463678,451,0.416851441241685,0.208425720158701,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,496,0,2198,-0.546741036145995,2694,0.815887156644395,0.407943578170771,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-0.657293534039968,4,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",11,0,57,0,-0.649862120169622,68,0.161764705882353,0.0808823517517301,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,110,0,1322,-0.8012572186253,1432,0.923184357541899,0.461592178448609,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",181,0,6,0,1.11408630925909,187,0.967914438502674,0.48395721666333,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,2131,0,58,1.07752830856334,2189,0.0264961169483783,0.013248058468137,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,-0.0122157070164353,4,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,9,0,2,1.44334671899603,11,0.181818181818182,0.0909090826446289,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA+)",7,0,16,0,-0.369378044779274,23,0.304347826086957,0.152173906427221,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,11,0,82,-0.705967580877057,93,0.881720430107527,0.440860210313331,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",14,0,0,0,1.12630133605291,14,1,0.499999964285717,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,225,0,28,0.771386419559391,253,0.110671936758893,0.0553359681607274,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Monocytes (PLA+)",10,0,0,0,0.937008006483709,10,1,0.499999950000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,1491,0,3036,-0.256694408190128,4527,0.67064280980782,0.335321404829838,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,0.882663255333355,11,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"NK cells",0,0,0,0,-0.660392733546436,34,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"NK cells (PLA+)",1,0,3,0,-0.500178559776626,4,0.25,0.124999968750008,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"NK cells (PLA−)",0,5,0,89,-0.889490533775363,94,0.946808510638298,0.473404250282934,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,-0.42250780013348,92,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Neutrophils (PLA+)",56,0,14,0,0.42346001608764,70,0.8,0.399999994285714,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,189,0,415,-0.313882160323356,604,0.687086092715232,0.343543045788836,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,0.29719881862117,48,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,0.969934671036658,857,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,-0.0381540606607079,73,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Non-cDCs",0,0,0,0,-0.00252191453384119,12,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Non-classical monocytes (PLA+)",94,0,130,0,-0.168457295755778,224,0.419642857142857,0.209821427634726,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Non-classical monocytes (PLA−)",0,405,0,1012,-0.346500688803367,1417,0.714184897671136,0.357092448583562,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Other immune cells",0,0,0,0,0.0422904165943726,11,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
