"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,68,0,1.26893497134225,70,0.0285714285714286,0.0142857140816327,"AUCell","MANNE_DN",FALSE,"kmeans"
"B cells (PLA−)",0,6,0,584,1.4641971116596,590,0.989830508474576,0.494915253398449,"AUCell","MANNE_DN",FALSE,"kmeans"
"CD4 T cells",0,0,0,0,-0.500367399889923,6,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
"CD4 T cells (PLA+)",24,0,427,0,-0.170893741463678,451,0.0532150776053215,0.026607538743664,"AUCell","MANNE_DN",FALSE,"kmeans"
"CD4 T cells (PLA−)",0,20,0,2674,-0.546741036145995,2694,0.992576095025984,0.496288047328772,"AUCell","MANNE_DN",FALSE,"kmeans"
"CD8 T cells",0,0,0,0,-0.657293534039968,4,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
"CD8 T cells (PLA+)",0,0,68,0,-0.649862120169622,68,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
"CD8 T cells (PLA−)",0,1,0,1431,-0.8012572186253,1432,0.999301675977654,0.499650837639909,"AUCell","MANNE_DN",FALSE,"kmeans"
"Classical monocytes (PLA+)",171,0,16,0,1.11408630925909,187,0.914438502673797,0.457219248891876,"AUCell","MANNE_DN",FALSE,"kmeans"
"Classical monocytes (PLA−)",0,1980,0,209,1.07752830856334,2189,0.0954773869346734,0.0477386934455282,"AUCell","MANNE_DN",FALSE,"kmeans"
"Dendritic cells",0,0,0,0,-0.0122157070164353,4,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
"Dendritic cells (PLA−)",0,8,0,3,1.44334671899603,11,0.272727272727273,0.136363623966943,"AUCell","MANNE_DN",FALSE,"kmeans"
"Early NK cells (PLA+)",2,0,21,0,-0.369378044779274,23,0.0869565217391304,0.0434782589792061,"AUCell","MANNE_DN",FALSE,"kmeans"
"Early NK cells (PLA−)",0,2,0,91,-0.705967580877057,93,0.978494623655914,0.489247306567233,"AUCell","MANNE_DN",FALSE,"kmeans"
"Intermediate monocytes (PLA+)",12,0,2,0,1.12630133605291,14,0.857142857142857,0.428571397959186,"AUCell","MANNE_DN",FALSE,"kmeans"
"Intermediate monocytes (PLA−)",0,196,0,57,0.771386419559391,253,0.225296442687747,0.112648220898624,"AUCell","MANNE_DN",FALSE,"kmeans"
"Monocytes (PLA+)",10,0,0,0,0.937008006483709,10,1,0.499999950000005,"AUCell","MANNE_DN",FALSE,"kmeans"
"Monocytes (PLA−)",0,356,0,4171,-0.256694408190128,4527,0.921360724541639,0.460680362169057,"AUCell","MANNE_DN",FALSE,"kmeans"
"NK / Dendritic cells",0,0,0,0,0.882663255333355,11,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
"NK cells",0,0,0,0,-0.660392733546436,34,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
"NK cells (PLA+)",0,0,4,0,-0.500178559776626,4,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
"NK cells (PLA−)",0,0,0,94,-0.889490533775363,94,1,0.499999994680851,"AUCell","MANNE_DN",FALSE,"kmeans"
"Neutrophils",0,0,0,0,-0.42250780013348,92,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
"Neutrophils (PLA+)",36,0,34,0,0.42346001608764,70,0.514285714285714,0.257142853469388,"AUCell","MANNE_DN",FALSE,"kmeans"
"Neutrophils (PLA−)",0,44,0,560,-0.313882160323356,604,0.927152317880795,0.463576158172887,"AUCell","MANNE_DN",FALSE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,0.29719881862117,48,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
"Non-B cells",0,0,0,0,0.969934671036658,857,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,-0.0381540606607079,73,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
"Non-cDCs",0,0,0,0,-0.00252191453384119,12,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
"Non-classical monocytes (PLA+)",14,0,210,0,-0.168457295755778,224,0.0625,0.0312499998604911,"AUCell","MANNE_DN",FALSE,"kmeans"
"Non-classical monocytes (PLA−)",0,88,0,1329,-0.346500688803367,1417,0.937896965419901,0.468948482379006,"AUCell","MANNE_DN",FALSE,"kmeans"
"Other immune cells",0,0,0,0,0.0422904165943726,11,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
"R11",0,0,0,0,-0.604756149081924,512,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
"R13",0,0,0,0,-0.752250489049948,204,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
"R40",0,0,0,0,-0.0519784011560248,247,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
"Singlets",0,0,0,0,0.305263529754789,1220,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
"Total B cells",0,0,0,0,1.91867445144833,1,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
NA,0,0,0,0,1.19957420524477,260,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
