"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",62,0,8,0,1.26893497134225,70,0.885714285714286,0.442857136530612,"AUCell","MANNE_DN",FALSE,"youden"
"B cells (PLA−)",0,560,0,30,1.4641971116596,590,0.0508474576271186,0.0254237287704683,"AUCell","MANNE_DN",FALSE,"youden"
"CD4 T cells",0,0,0,0,-0.500367399889923,6,0,0,"AUCell","MANNE_DN",FALSE,"youden"
"CD4 T cells (PLA+)",184,0,267,0,-0.170893741463678,451,0.407982261640798,0.203991130368091,"AUCell","MANNE_DN",FALSE,"youden"
"CD4 T cells (PLA−)",0,464,0,2230,-0.546741036145995,2694,0.827765404602821,0.413882702147779,"AUCell","MANNE_DN",FALSE,"youden"
"CD8 T cells",0,0,0,0,-0.657293534039968,4,0,0,"AUCell","MANNE_DN",FALSE,"youden"
"CD8 T cells (PLA+)",11,0,57,0,-0.649862120169622,68,0.161764705882353,0.0808823517517301,"AUCell","MANNE_DN",FALSE,"youden"
"CD8 T cells (PLA−)",0,100,0,1332,-0.8012572186253,1432,0.930167597765363,0.465083798557902,"AUCell","MANNE_DN",FALSE,"youden"
"Classical monocytes (PLA+)",181,0,6,0,1.11408630925909,187,0.967914438502674,0.48395721666333,"AUCell","MANNE_DN",FALSE,"youden"
"Classical monocytes (PLA−)",0,2119,0,70,1.07752830856334,2189,0.0319780721790772,0.0159890360822343,"AUCell","MANNE_DN",FALSE,"youden"
"Dendritic cells",0,0,0,0,-0.0122157070164353,4,0,0,"AUCell","MANNE_DN",FALSE,"youden"
"Dendritic cells (PLA−)",0,9,0,2,1.44334671899603,11,0.181818181818182,0.0909090826446289,"AUCell","MANNE_DN",FALSE,"youden"
"Early NK cells (PLA+)",7,0,16,0,-0.369378044779274,23,0.304347826086957,0.152173906427221,"AUCell","MANNE_DN",FALSE,"youden"
"Early NK cells (PLA−)",0,10,0,83,-0.705967580877057,93,0.89247311827957,0.446236554341542,"AUCell","MANNE_DN",FALSE,"youden"
"Intermediate monocytes (PLA+)",14,0,0,0,1.12630133605291,14,1,0.499999964285717,"AUCell","MANNE_DN",FALSE,"youden"
"Intermediate monocytes (PLA−)",0,222,0,31,0.771386419559391,253,0.122529644268775,0.0612648218922339,"AUCell","MANNE_DN",FALSE,"youden"
"Monocytes (PLA+)",10,0,0,0,0.937008006483709,10,1,0.499999950000005,"AUCell","MANNE_DN",FALSE,"youden"
"Monocytes (PLA−)",0,1413,0,3114,-0.256694408190128,4527,0.687872763419483,0.343936381633767,"AUCell","MANNE_DN",FALSE,"youden"
"NK / Dendritic cells",0,0,0,0,0.882663255333355,11,0,0,"AUCell","MANNE_DN",FALSE,"youden"
"NK cells",0,0,0,0,-0.660392733546436,34,0,0,"AUCell","MANNE_DN",FALSE,"youden"
"NK cells (PLA+)",1,0,3,0,-0.500178559776626,4,0.25,0.124999968750008,"AUCell","MANNE_DN",FALSE,"youden"
"NK cells (PLA−)",0,5,0,89,-0.889490533775363,94,0.946808510638298,0.473404250282934,"AUCell","MANNE_DN",FALSE,"youden"
"Neutrophils",0,0,0,0,-0.42250780013348,92,0,0,"AUCell","MANNE_DN",FALSE,"youden"
"Neutrophils (PLA+)",54,0,16,0,0.42346001608764,70,0.771428571428571,0.385714280204082,"AUCell","MANNE_DN",FALSE,"youden"
"Neutrophils (PLA−)",0,183,0,421,-0.313882160323356,604,0.697019867549669,0.348509933197831,"AUCell","MANNE_DN",FALSE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.29719881862117,48,0,0,"AUCell","MANNE_DN",FALSE,"youden"
"Non-B cells",0,0,0,0,0.969934671036658,857,0,0,"AUCell","MANNE_DN",FALSE,"youden"
"Non-T / Non-NK cells",0,0,0,0,-0.0381540606607079,73,0,0,"AUCell","MANNE_DN",FALSE,"youden"
"Non-cDCs",0,0,0,0,-0.00252191453384119,12,0,0,"AUCell","MANNE_DN",FALSE,"youden"
"Non-classical monocytes (PLA+)",91,0,133,0,-0.168457295755778,224,0.40625,0.203124999093192,"AUCell","MANNE_DN",FALSE,"youden"
"Non-classical monocytes (PLA−)",0,379,0,1038,-0.346500688803367,1417,0.732533521524347,0.366266760503693,"AUCell","MANNE_DN",FALSE,"youden"
"Other immune cells",0,0,0,0,0.0422904165943726,11,0,0,"AUCell","MANNE_DN",FALSE,"youden"
"R11",0,0,0,0,-0.604756149081924,512,0,0,"AUCell","MANNE_DN",FALSE,"youden"
"R13",0,0,0,0,-0.752250489049948,204,0,0,"AUCell","MANNE_DN",FALSE,"youden"
"R40",0,0,0,0,-0.0519784011560248,247,0,0,"AUCell","MANNE_DN",FALSE,"youden"
"Singlets",0,0,0,0,0.305263529754789,1220,0,0,"AUCell","MANNE_DN",FALSE,"youden"
"Total B cells",0,0,0,0,1.91867445144833,1,0,0,"AUCell","MANNE_DN",FALSE,"youden"
NA,0,0,0,0,1.19957420524477,260,0,0,"AUCell","MANNE_DN",FALSE,"youden"
