"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",67,0,3,0,2.7498543645469,70,0.957142857142857,0.478571421734694,"AUCell","MANNE_DN",TRUE,"youden"
"B cells (PLA−)",0,588,0,2,3.14020341761675,590,0.00338983050847458,0.00169491525136455,"AUCell","MANNE_DN",TRUE,"youden"
"CD4 T cells",0,0,0,0,-0.501981133425124,6,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"CD4 T cells (PLA+)",287,0,164,0,-0.204030335292911,451,0.636363636363636,0.318181817476315,"AUCell","MANNE_DN",TRUE,"youden"
"CD4 T cells (PLA−)",0,945,0,1749,-0.508873180076729,2694,0.649220489977728,0.32461024486837,"AUCell","MANNE_DN",TRUE,"youden"
"CD8 T cells",0,0,0,0,-0.536160862635572,4,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"CD8 T cells (PLA+)",20,0,48,0,-0.58238055596936,68,0.294117647058824,0.147058821366782,"AUCell","MANNE_DN",TRUE,"youden"
"CD8 T cells (PLA−)",0,250,0,1182,-0.705302710876403,1432,0.825418994413408,0.412709496918499,"AUCell","MANNE_DN",TRUE,"youden"
"Classical monocytes (PLA+)",183,0,4,0,0.648892644363041,187,0.978609625668449,0.489304810217621,"AUCell","MANNE_DN",TRUE,"youden"
"Classical monocytes (PLA−)",0,2171,0,18,0.619399513942907,2189,0.00822293284604842,0.00411146642114597,"AUCell","MANNE_DN",TRUE,"youden"
"Dendritic cells",0,0,0,0,-0.124275176391385,4,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"Dendritic cells (PLA−)",0,9,0,2,0.999339593486128,11,0.181818181818182,0.0909090826446289,"AUCell","MANNE_DN",TRUE,"youden"
"Early NK cells (PLA+)",12,0,11,0,-0.308189990681267,23,0.521739130434783,0.260869553875237,"AUCell","MANNE_DN",TRUE,"youden"
"Early NK cells (PLA−)",0,19,0,74,-0.623761702443294,93,0.795698924731183,0.39784945808764,"AUCell","MANNE_DN",TRUE,"youden"
"Intermediate monocytes (PLA+)",14,0,0,0,0.670351279694083,14,1,0.499999964285717,"AUCell","MANNE_DN",TRUE,"youden"
"Intermediate monocytes (PLA−)",0,234,0,19,0.411713820639293,253,0.075098814229249,0.0375494069662079,"AUCell","MANNE_DN",TRUE,"youden"
"Monocytes (PLA+)",10,0,0,0,0.510324029447414,10,1,0.499999950000005,"AUCell","MANNE_DN",TRUE,"youden"
"Monocytes (PLA−)",0,2505,0,2022,-0.242612102491559,4527,0.446653412856196,0.223326706378766,"AUCell","MANNE_DN",TRUE,"youden"
"NK / Dendritic cells",0,0,0,0,0.546817872619969,11,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"NK cells",0,0,0,0,-0.481859763883062,34,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"NK cells (PLA+)",1,0,3,0,-0.494799400439271,4,0.25,0.124999968750008,"AUCell","MANNE_DN",TRUE,"youden"
"NK cells (PLA−)",0,11,0,83,-0.763975732989402,94,0.882978723404255,0.441489357005432,"AUCell","MANNE_DN",TRUE,"youden"
"Neutrophils",0,0,0,0,-0.369772483675899,92,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"Neutrophils (PLA+)",61,0,9,0,0.200035165871347,70,0.871428571428571,0.435714279489796,"AUCell","MANNE_DN",TRUE,"youden"
"Neutrophils (PLA−)",0,331,0,273,-0.289535184403957,604,0.451986754966887,0.225993377109282,"AUCell","MANNE_DN",TRUE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.147389389888281,48,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"Non-B cells",0,0,0,0,0.552560403572225,857,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"Non-T / Non-NK cells",0,0,0,0,-0.0586922174810024,73,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"Non-cDCs",0,0,0,0,-0.115231512631422,12,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"Non-classical monocytes (PLA+)",150,0,74,0,-0.156117992487388,224,0.669642857142857,0.33482142707669,"AUCell","MANNE_DN",TRUE,"youden"
"Non-classical monocytes (PLA−)",0,742,0,675,-0.318231147961403,1417,0.47635850388144,0.238179251772633,"AUCell","MANNE_DN",TRUE,"youden"
"Other immune cells",0,0,0,0,0.00666450077492074,11,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"R11",0,0,0,0,-0.545269984899312,512,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"R13",0,0,0,0,-0.647297789429716,204,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"R40",0,0,0,0,-0.0623856312676866,247,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"Singlets",0,0,0,0,0.152851198842124,1220,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"Total B cells",0,0,0,0,4.49517507417548,1,0,0,"AUCell","MANNE_DN",TRUE,"youden"
NA,0,0,0,0,2.13503868470246,260,0,0,"AUCell","MANNE_DN",TRUE,"youden"
