"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",60,0,10,0,1.20425923669824,70,0.857142857142857,0.42857142244898,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"B cells (PLA−)",0,537,0,53,1.45208778776756,590,0.0898305084745763,0.0449152541611606,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.72079537188086,6,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",126,0,325,0,-0.153672313657817,451,0.279379157427938,0.139689578404236,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,207,0,2487,-0.708048874285229,2694,0.923162583518931,0.461581291588129,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-0.607370590040329,4,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",7,0,61,0,-0.735270849576987,68,0.102941176470588,0.0514705874783737,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,39,0,1393,-0.998114958375118,1432,0.972765363128492,0.486382681224593,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",162,0,25,0,1.08726462850403,187,0.866310160427808,0.433155077897566,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,1885,0,304,1.01045129686607,2189,0.138876199177707,0.069438099557132,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,-0.109299657950562,4,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,8,0,3,1.14445108801612,11,0.272727272727273,0.136363623966943,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA+)",4,0,19,0,-0.220154940371495,23,0.173913043478261,0.0869565179584123,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,12,0,81,-0.787451009518802,93,0.870967741935484,0.43548386628512,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",12,0,2,0,1.25816020308531,14,0.857142857142857,0.428571397959186,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,191,0,62,0.753728070929351,253,0.245059288537549,0.122529643784468,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Monocytes (PLA+)",7,0,3,0,0.625735166245789,10,0.7,0.349999965000004,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,910,0,3617,-0.0961860910406183,4527,0.798983874530594,0.399491937177051,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,0.860395712276714,11,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"NK cells",0,0,0,0,-0.802545624460384,34,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"NK cells (PLA+)",1,0,3,0,-0.430746195357901,4,0.25,0.124999968750008,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"NK cells (PLA−)",0,5,0,89,-1.03256281745397,94,0.946808510638298,0.473404250282934,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,-0.526948228258192,92,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Neutrophils (PLA+)",44,0,26,0,0.516337178005069,70,0.628571428571429,0.314285709795918,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,111,0,493,-0.1274116671557,604,0.816225165562914,0.408112582105774,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,0.325471364545624,48,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,0.882453870674329,857,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,-0.0407475064801054,73,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Non-cDCs",0,0,0,0,-0.129119299267686,12,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Non-classical monocytes (PLA+)",53,0,171,0,-0.0173775268227345,224,0.236607142857143,0.11830357090043,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Non-classical monocytes (PLA−)",0,238,0,1179,-0.148862902338777,1417,0.832039520112915,0.416019759762865,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Other immune cells",0,0,0,0,0.439693818202227,11,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"R11",0,0,0,0,-0.702581902966334,512,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"R13",0,0,0,0,-1.03907969770468,204,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"R40",0,0,0,0,0.111644383452383,247,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Singlets",0,0,0,0,0.228643647969436,1220,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Total B cells",0,0,0,0,1.92147939100384,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
NA,0,0,0,0,1.17466916442362,260,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
