"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",61,0,9,0,1.20425923669824,70,0.871428571428571,0.435714279489796,"AddModuleScore","MANNE_DN",FALSE,"youden"
"B cells (PLA−)",0,557,0,33,1.45208778776756,590,0.0559322033898305,0.0279661016475151,"AddModuleScore","MANNE_DN",FALSE,"youden"
"CD4 T cells",0,0,0,0,-0.72079537188086,6,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"CD4 T cells (PLA+)",166,0,285,0,-0.153672313657817,451,0.368070953436807,0.184035476310343,"AddModuleScore","MANNE_DN",FALSE,"youden"
"CD4 T cells (PLA−)",0,309,0,2385,-0.708048874285229,2694,0.885300668151448,0.442650333911414,"AddModuleScore","MANNE_DN",FALSE,"youden"
"CD8 T cells",0,0,0,0,-0.607370590040329,4,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"CD8 T cells (PLA+)",10,0,58,0,-0.735270849576987,68,0.147058823529412,0.073529410683391,"AddModuleScore","MANNE_DN",FALSE,"youden"
"CD8 T cells (PLA−)",0,69,0,1363,-0.998114958375118,1432,0.951815642458101,0.475907820896712,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Classical monocytes (PLA+)",173,0,14,0,1.08726462850403,187,0.925133689839572,0.462566842446167,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Classical monocytes (PLA−)",0,2002,0,187,1.01045129686607,2189,0.085427135678392,0.0427135678196832,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Dendritic cells",0,0,0,0,-0.109299657950562,4,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Dendritic cells (PLA−)",0,8,0,3,1.14445108801612,11,0.272727272727273,0.136363623966943,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Early NK cells (PLA+)",8,0,15,0,-0.220154940371495,23,0.347826086956522,0.173913035916825,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Early NK cells (PLA−)",0,12,0,81,-0.787451009518802,93,0.870967741935484,0.43548386628512,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Intermediate monocytes (PLA+)",12,0,2,0,1.25816020308531,14,0.857142857142857,0.428571397959186,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Intermediate monocytes (PLA−)",0,207,0,46,0.753728070929351,253,0.181818181818182,0.0909090905497664,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Monocytes (PLA+)",9,0,1,0,0.625735166245789,10,0.9,0.449999955000005,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Monocytes (PLA−)",0,1330,0,3197,-0.0961860910406183,4527,0.706207201237022,0.353103600540512,"AddModuleScore","MANNE_DN",FALSE,"youden"
"NK / Dendritic cells",0,0,0,0,0.860395712276714,11,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"NK cells",0,0,0,0,-0.802545624460384,34,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"NK cells (PLA+)",1,0,3,0,-0.430746195357901,4,0.25,0.124999968750008,"AddModuleScore","MANNE_DN",FALSE,"youden"
"NK cells (PLA−)",0,4,0,90,-1.03256281745397,94,0.957446808510638,0.478723399162517,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Neutrophils",0,0,0,0,-0.526948228258192,92,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Neutrophils (PLA+)",46,0,24,0,0.516337178005069,70,0.657142857142857,0.328571423877551,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Neutrophils (PLA−)",0,176,0,428,-0.1274116671557,604,0.708609271523179,0.354304635174992,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.325471364545624,48,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Non-B cells",0,0,0,0,0.882453870674329,857,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Non-T / Non-NK cells",0,0,0,0,-0.0407475064801054,73,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Non-cDCs",0,0,0,0,-0.129119299267686,12,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Non-classical monocytes (PLA+)",81,0,143,0,-0.0173775268227345,224,0.361607142857143,0.180803570621413,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Non-classical monocytes (PLA−)",0,383,0,1034,-0.148862902338777,1417,0.729710656316161,0.364855327900596,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Other immune cells",0,0,0,0,0.439693818202227,11,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"R11",0,0,0,0,-0.702581902966334,512,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"R13",0,0,0,0,-1.03907969770468,204,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"R40",0,0,0,0,0.111644383452383,247,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Singlets",0,0,0,0,0.228643647969436,1220,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Total B cells",0,0,0,0,1.92147939100384,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
NA,0,0,0,0,1.17466916442362,260,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
