"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",4,0,66,0,1.99136637316656,70,0.0571428571428571,0.0285714281632653,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"B cells (PLA−)",0,15,0,575,2.36096809675656,590,0.974576271186441,0.487288134767308,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"CD4 T cells",0,0,0,0,-0.736090947594536,6,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"CD4 T cells (PLA+)",13,0,438,0,-0.175979331828883,451,0.0288248337028825,0.0144124168194847,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"CD4 T cells (PLA−)",0,1,0,2693,-0.716942845968584,2694,0.999628804751299,0.499814402190121,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"CD8 T cells",0,0,0,0,-0.595170295248987,4,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"CD8 T cells (PLA+)",0,0,68,0,-0.71307523234595,68,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"CD8 T cells (PLA−)",0,0,0,1432,-0.974068495550292,1432,1,0.499999999650838,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical monocytes (PLA+)",20,0,167,0,0.771759142463357,187,0.106951871657754,0.0534759355429094,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical monocytes (PLA−)",0,213,0,1976,0.699991367666616,2189,0.902695294655094,0.451347647121358,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Dendritic cells",0,0,0,0,-0.208100645282175,4,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Dendritic cells (PLA−)",0,3,0,8,0.954417369210031,11,0.727272727272727,0.363636330578515,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Early NK cells (PLA+)",1,0,22,0,0.00536233242701436,23,0.0434782608695652,0.0217391294896031,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Early NK cells (PLA−)",0,0,0,93,-0.754274683151146,93,1,0.499999994623656,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Intermediate monocytes (PLA+)",2,0,12,0,0.927382259402491,14,0.142857142857143,0.071428566326531,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Intermediate monocytes (PLA−)",0,16,0,237,0.497819987400453,253,0.936758893280632,0.468379444789014,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Monocytes (PLA+)",0,0,10,0,0.352897480211842,10,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Monocytes (PLA−)",0,52,0,4475,-0.0378274444242722,4527,0.988513364258891,0.494256682020266,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"NK / Dendritic cells",0,0,0,0,0.784439427530918,11,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"NK cells",0,0,0,0,-0.72864619429592,34,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"NK cells (PLA+)",0,0,4,0,-0.380920902270834,4,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"NK cells (PLA−)",0,0,0,94,-0.987974942324306,94,1,0.499999994680851,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Neutrophils",0,0,0,0,-0.461446701584303,92,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Neutrophils (PLA+)",2,0,68,0,0.39070402721388,70,0.0285714285714286,0.0142857140816327,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Neutrophils (PLA−)",0,1,0,603,-0.0711291923732867,604,0.998344370860927,0.49917218460402,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Non-B / Non-monocyte cells",0,0,0,0,0.598761927252435,48,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Non-B cells",0,0,0,0,0.596275902822583,857,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Non-T / Non-NK cells",0,0,0,0,0.0514202786476102,73,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Non-cDCs",0,0,0,0,-0.213516919659447,12,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Non-classical monocytes (PLA+)",3,0,221,0,0.0329171641875693,224,0.0133928571428571,0.0066964285415338,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
