"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",48,0,22,0,1.99136637316656,70,0.685714285714286,0.342857137959184,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"B cells (PLA−)",0,476,0,114,2.36096809675656,590,0.193220338983051,0.0966101693277794,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.736090947594536,6,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",20,0,431,0,-0.175979331828883,451,0.0443458980044346,0.0221729489530533,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,3,0,2691,-0.716942845968584,2694,0.998886414253898,0.499443206941558,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-0.595170295248987,4,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",0,0,68,0,-0.71307523234595,68,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,0,0,1432,-0.974068495550292,1432,1,0.499999999650838,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",21,0,166,0,0.771759142463357,187,0.112299465240642,0.0561497323200549,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,217,0,1972,0.699991367666616,2189,0.900867976244861,0.450433987916659,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,-0.208100645282175,4,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,4,0,7,0.954417369210031,11,0.636363636363636,0.318181789256201,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA+)",1,0,22,0,0.00536233242701436,23,0.0434782608695652,0.0217391294896031,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,0,0,93,-0.754274683151146,93,1,0.499999994623656,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",2,0,12,0,0.927382259402491,14,0.142857142857143,0.071428566326531,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,18,0,235,0.497819987400453,253,0.928853754940711,0.464426875634676,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Monocytes (PLA+)",0,0,10,0,0.352897480211842,10,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,69,0,4458,-0.0378274444242722,4527,0.984758117958913,0.492379058870692,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,0.784439427530918,11,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"NK cells",0,0,0,0,-0.72864619429592,34,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"NK cells (PLA+)",0,0,4,0,-0.380920902270834,4,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"NK cells (PLA−)",0,0,0,94,-0.987974942324306,94,1,0.499999994680851,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,-0.461446701584303,92,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA+)",2,0,68,0,0.39070402721388,70,0.0285714285714286,0.0142857140816327,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,1,0,603,-0.0711291923732867,604,0.998344370860927,0.49917218460402,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,0.598761927252435,48,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,0.596275902822583,857,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,0.0514202786476102,73,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Non-cDCs",0,0,0,0,-0.213516919659447,12,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Non-classical monocytes (PLA+)",3,0,221,0,0.0329171641875693,224,0.0133928571428571,0.0066964285415338,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Non-classical monocytes (PLA−)",0,7,0,1410,-0.0933703804393769,1417,0.995059985885674,0.497529992591722,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Other immune cells",0,0,0,0,0.295936860676096,11,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"R11",0,0,0,0,-0.687360094615398,512,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"R13",0,0,0,0,-1.01554267581864,204,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"R40",0,0,0,0,0.197666960324055,247,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Singlets",0,0,0,0,0.129295701267302,1220,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Total B cells",0,0,0,0,3.49909392914557,1,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
NA,0,0,0,0,1.69044117789077,260,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
