"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",65,0,5,0,1.99136637316656,70,0.928571428571429,0.464285707653061,"AddModuleScore","MANNE_DN",TRUE,"youden"
"B cells (PLA−)",0,582,0,8,2.36096809675656,590,0.0135593220338983,0.0067796610054582,"AddModuleScore","MANNE_DN",TRUE,"youden"
"CD4 T cells",0,0,0,0,-0.736090947594536,6,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"CD4 T cells (PLA+)",173,0,278,0,-0.175979331828883,451,0.383592017738359,0.191796008443911,"AddModuleScore","MANNE_DN",TRUE,"youden"
"CD4 T cells (PLA−)",0,306,0,2388,-0.716942845968584,2694,0.88641425389755,0.443207126784259,"AddModuleScore","MANNE_DN",TRUE,"youden"
"CD8 T cells",0,0,0,0,-0.595170295248987,4,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"CD8 T cells (PLA+)",12,0,56,0,-0.71307523234595,68,0.176470588235294,0.0882352928200692,"AddModuleScore","MANNE_DN",TRUE,"youden"
"CD8 T cells (PLA−)",0,66,0,1366,-0.974068495550292,1432,0.95391061452514,0.4769553069295,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Classical monocytes (PLA+)",170,0,17,0,0.771759142463357,187,0.909090909090909,0.45454545211473,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Classical monocytes (PLA−)",0,1951,0,238,0.699991367666616,2189,0.108725445408862,0.0543627226795967,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Dendritic cells",0,0,0,0,-0.208100645282175,4,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Dendritic cells (PLA−)",0,8,0,3,0.954417369210031,11,0.272727272727273,0.136363623966943,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Early NK cells (PLA+)",8,0,15,0,0.00536233242701436,23,0.347826086956522,0.173913035916825,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Early NK cells (PLA−)",0,12,0,81,-0.754274683151146,93,0.870967741935484,0.43548386628512,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Intermediate monocytes (PLA+)",13,0,1,0,0.927382259402491,14,0.928571428571429,0.464285681122451,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Intermediate monocytes (PLA−)",0,204,0,49,0.497819987400453,253,0.193675889328063,0.0968379442812729,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Monocytes (PLA+)",8,0,2,0,0.352897480211842,10,0.8,0.399999960000004,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Monocytes (PLA−)",0,1824,0,2703,-0.0378274444242722,4527,0.597084161696488,0.298542080782297,"AddModuleScore","MANNE_DN",TRUE,"youden"
"NK / Dendritic cells",0,0,0,0,0.784439427530918,11,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"NK cells",0,0,0,0,-0.72864619429592,34,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"NK cells (PLA+)",1,0,3,0,-0.380920902270834,4,0.25,0.124999968750008,"AddModuleScore","MANNE_DN",TRUE,"youden"
"NK cells (PLA−)",0,5,0,89,-0.987974942324306,94,0.946808510638298,0.473404250282934,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Neutrophils",0,0,0,0,-0.461446701584303,92,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Neutrophils (PLA+)",52,0,18,0,0.39070402721388,70,0.742857142857143,0.371428566122449,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Neutrophils (PLA−)",0,241,0,363,-0.0711291923732867,604,0.600993377483444,0.300496688244211,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.598761927252435,48,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Non-B cells",0,0,0,0,0.596275902822583,857,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Non-T / Non-NK cells",0,0,0,0,0.0514202786476102,73,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Non-cDCs",0,0,0,0,-0.213516919659447,12,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Non-classical monocytes (PLA+)",113,0,111,0,0.0329171641875693,224,0.504464285714286,0.252232141731107,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Non-classical monocytes (PLA−)",0,533,0,884,-0.0933703804393769,1417,0.623853211009174,0.311926605284455,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Other immune cells",0,0,0,0,0.295936860676096,11,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"R11",0,0,0,0,-0.687360094615398,512,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"R13",0,0,0,0,-1.01554267581864,204,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"R40",0,0,0,0,0.197666960324055,247,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Singlets",0,0,0,0,0.129295701267302,1220,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Total B cells",0,0,0,0,3.49909392914557,1,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
NA,0,0,0,0,1.69044117789077,260,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
