"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,68,0,-0.788167089982178,70,0.0285714285714286,0.0142857140816327,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"B cells (PLA−)",0,8,0,582,-0.975280668693027,590,0.986440677966102,0.493220338147084,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.450250074980289,6,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",15,0,436,0,-0.625949622184698,451,0.0332594235033259,0.01662971171479,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,66,0,2628,-0.610876998292873,2694,0.975501113585746,0.487750556611822,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-0.176675528825795,4,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",3,0,65,0,-0.468563453327193,68,0.0441176470588235,0.0220588232050173,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,81,0,1351,-0.243771638963746,1432,0.943435754189944,0.47171787676556,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",157,0,30,0,1.41707305955208,187,0.839572192513369,0.419786094011839,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,1768,0,421,1.32109800649606,2189,0.192325262677021,0.0961626312945808,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,0.942657370806072,4,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,7,0,4,1.08120023826385,11,0.363636363636364,0.181818165289258,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA+)",2,0,21,0,-0.0927152296586486,23,0.0869565217391304,0.0434782589792061,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,7,0,86,-0.0978624571419859,93,0.924731182795699,0.462365586426176,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",9,0,5,0,0.871865928770988,14,0.642857142857143,0.321428548469389,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,176,0,77,1.07934608930465,253,0.304347826086957,0.152173912442,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Monocytes (PLA+)",7,0,3,0,1.28940825507069,10,0.7,0.349999965000004,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,403,0,4124,-0.228361741133027,4527,0.910978573006406,0.455489286402587,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,1.34359618172498,11,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"NK cells",0,0,0,0,-0.320390858063304,34,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"NK cells (PLA+)",0,0,4,0,-0.915266559476318,4,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"NK cells (PLA−)",0,5,0,89,-0.0235262507743134,94,0.946808510638298,0.473404250282934,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,-0.225825292503385,92,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Neutrophils (PLA+)",27,0,43,0,0.531493254939624,70,0.385714285714286,0.192857140102041,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,51,0,553,-0.244342048615091,604,0.915562913907285,0.457781456195726,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,0.271969099929195,48,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,1.19884075772594,857,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,-0.0280086406887549,73,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Non-cDCs",0,0,0,0,-0.314054085279039,12,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Non-classical monocytes (PLA+)",8,0,216,0,-0.398428310526875,224,0.0357142857142857,0.0178571427774235,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Non-classical monocytes (PLA−)",0,84,0,1333,-0.274382758534547,1417,0.940719830628088,0.470359914982103,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Other immune cells",0,0,0,0,0.0819779864064653,11,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"R11",0,0,0,0,-0.220345606254463,512,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"R13",0,0,0,0,-0.322051176533084,204,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"R40",0,0,0,0,-0.124818292015587,247,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Singlets",0,0,0,0,0.306051365045845,1220,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Total B cells",0,0,0,0,0.343497653989612,1,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
NA,0,0,0,0,-0.27494013214236,260,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
