"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,68,0,-0.782561990519966,70,0.0285714285714286,0.0142857140816327,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"B cells (PLA−)",0,6,0,584,-0.973361174730304,590,0.989830508474576,0.494915253398449,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"CD4 T cells",0,0,0,0,-0.461988674720546,6,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"CD4 T cells (PLA+)",14,0,437,0,-0.624272659218996,451,0.0310421286031042,0.0155210642671373,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"CD4 T cells (PLA−)",0,32,0,2662,-0.638405916511903,2694,0.988121752041574,0.494060875837394,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"CD8 T cells",0,0,0,0,-0.228380480127879,4,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"CD8 T cells (PLA+)",0,0,68,0,-0.499320284953628,68,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"CD8 T cells (PLA−)",0,17,0,1415,-0.288313769557358,1432,0.988128491620112,0.494064245465039,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Classical monocytes (PLA+)",172,0,15,0,1.43436339489895,187,0.919786096256685,0.459893045669021,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Classical monocytes (PLA−)",0,1978,0,211,1.33840079288021,2189,0.0963910461397899,0.0481955230478778,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Dendritic cells",0,0,0,0,0.977844600658781,4,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Dendritic cells (PLA−)",0,8,0,3,1.08704156371449,11,0.272727272727273,0.136363623966943,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Early NK cells (PLA+)",1,0,22,0,-0.0155593177670262,23,0.0434782608695652,0.0217391294896031,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Early NK cells (PLA−)",0,6,0,87,-0.128792245433978,93,0.935483870967742,0.467741930454388,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Intermediate monocytes (PLA+)",9,0,5,0,0.923591639666974,14,0.642857142857143,0.321428548469389,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Intermediate monocytes (PLA−)",0,201,0,52,1.10789203688883,253,0.205533596837945,0.102766798012779,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Monocytes (PLA+)",10,0,0,0,1.3252410096884,10,1,0.499999950000005,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Monocytes (PLA−)",0,542,0,3985,-0.21825876742201,4527,0.880273912083057,0.440136955944304,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"NK / Dendritic cells",0,0,0,0,1.38822237657776,11,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"NK cells",0,0,0,0,-0.347543070389264,34,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"NK cells (PLA+)",0,0,4,0,-0.92068887663841,4,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"NK cells (PLA−)",0,2,0,92,-0.0755482286717591,94,0.978723404255319,0.489361696921684,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Neutrophils",0,0,0,0,-0.223294153178657,92,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Neutrophils (PLA+)",34,0,36,0,0.531038399203844,70,0.485714285714286,0.242857139387755,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Neutrophils (PLA−)",0,58,0,546,-0.234034756930372,604,0.903973509933775,0.451986754218565,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Non-B / Non-monocyte cells",0,0,0,0,0.414981183422429,48,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Non-B cells",0,0,0,0,1.21125041491983,857,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Non-T / Non-NK cells",0,0,0,0,0.0552061875911823,73,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Non-cDCs",0,0,0,0,-0.289125013870294,12,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Non-classical monocytes (PLA+)",19,0,205,0,-0.364724089438811,224,0.0848214285714286,0.0424107140963807,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Non-classical monocytes (PLA−)",0,139,0,1278,-0.260987146015783,1417,0.901905434015526,0.450952716689518,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Other immune cells",0,0,0,0,0.0678466243521966,11,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"R11",0,0,0,0,-0.249298765300376,512,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"R13",0,0,0,0,-0.358680781910677,204,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"R40",0,0,0,0,-0.073911396648449,247,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Singlets",0,0,0,0,0.305751468247156,1220,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Total B cells",0,0,0,0,0.269208175928663,1,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
NA,0,0,0,0,-0.264892216956284,260,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
