"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",5,0,65,0,-0.782561990519966,70,0.0714285714285714,0.0357142852040816,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"B cells (PLA−)",0,17,0,573,-0.973361174730304,590,0.971186440677966,0.485593219515944,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.461988674720546,6,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",42,0,409,0,-0.624272659218996,451,0.0931263858093126,0.046563192801412,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,190,0,2504,-0.638405916511903,2694,0.929472902746845,0.464736451200915,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-0.228380480127879,4,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",8,0,60,0,-0.499320284953628,68,0.117647058823529,0.0588235285467128,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,236,0,1196,-0.288313769557358,1432,0.835195530726257,0.41759776507151,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",174,0,13,0,1.43436339489895,187,0.93048128342246,0.465240639223312,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,2027,0,162,1.33840079288021,2189,0.0740063956144358,0.0370031977903138,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,0.977844600658781,4,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,8,0,3,1.08704156371449,11,0.272727272727273,0.136363623966943,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA+)",3,0,20,0,-0.0155593177670262,23,0.130434782608696,0.0652173884688092,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,22,0,71,-0.128792245433978,93,0.763440860215054,0.381720426003006,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",9,0,5,0,0.923591639666974,14,0.642857142857143,0.321428548469389,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,212,0,41,1.10789203688883,253,0.162055335968379,0.0810276676639223,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Monocytes (PLA+)",10,0,0,0,1.3252410096884,10,1,0.499999950000005,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,874,0,3653,-0.21825876742201,4527,0.8069361608129,0.403468080317325,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,1.38822237657776,11,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"NK cells",0,0,0,0,-0.347543070389264,34,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"NK cells (PLA+)",0,0,4,0,-0.92068887663841,4,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"NK cells (PLA−)",0,17,0,77,-0.0755482286717591,94,0.819148936170213,0.409574463727931,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,-0.223294153178657,92,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA+)",36,0,34,0,0.531038399203844,70,0.514285714285714,0.257142853469388,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,114,0,490,-0.234034756930372,604,0.811258278145695,0.405629138401276,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,0.414981183422429,48,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,1.21125041491983,857,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,0.0552061875911823,73,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Non-cDCs",0,0,0,0,-0.289125013870294,12,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Non-classical monocytes (PLA+)",33,0,191,0,-0.364724089438811,224,0.147321428571429,0.0736607139568718,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Non-classical monocytes (PLA−)",0,234,0,1183,-0.260987146015783,1417,0.834862385321101,0.417431192365962,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Other immune cells",0,0,0,0,0.0678466243521966,11,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"R11",0,0,0,0,-0.249298765300376,512,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"R13",0,0,0,0,-0.358680781910677,204,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"R40",0,0,0,0,-0.073911396648449,247,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Singlets",0,0,0,0,0.305751468247156,1220,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Total B cells",0,0,0,0,0.269208175928663,1,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
NA,0,0,0,0,-0.264892216956284,260,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
