"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,68,0,-0.782561990519966,70,0.0285714285714286,0.0142857140816327,"AUCell","REACTOME",TRUE,"kmeans"
"B cells (PLA−)",0,6,0,584,-0.973361174730304,590,0.989830508474576,0.494915253398449,"AUCell","REACTOME",TRUE,"kmeans"
"CD4 T cells",0,0,0,0,-0.461988674720546,6,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"CD4 T cells (PLA+)",9,0,442,0,-0.624272659218996,451,0.0199556541019956,0.009977827028874,"AUCell","REACTOME",TRUE,"kmeans"
"CD4 T cells (PLA−)",0,19,0,2675,-0.638405916511903,2694,0.992947290274685,0.496473644953054,"AUCell","REACTOME",TRUE,"kmeans"
"CD8 T cells",0,0,0,0,-0.228380480127879,4,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"CD8 T cells (PLA+)",0,0,68,0,-0.499320284953628,68,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"CD8 T cells (PLA−)",0,5,0,1427,-0.288313769557358,1432,0.996508379888268,0.498254189596191,"AUCell","REACTOME",TRUE,"kmeans"
"Classical monocytes (PLA+)",169,0,18,0,1.43436339489895,187,0.903743315508021,0.451871655337585,"AUCell","REACTOME",TRUE,"kmeans"
"Classical monocytes (PLA−)",0,1901,0,288,1.33840079288021,2189,0.131566925536775,0.0657834627383356,"AUCell","REACTOME",TRUE,"kmeans"
"Dendritic cells",0,0,0,0,0.977844600658781,4,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"Dendritic cells (PLA−)",0,7,0,4,1.08704156371449,11,0.363636363636364,0.181818165289258,"AUCell","REACTOME",TRUE,"kmeans"
"Early NK cells (PLA+)",1,0,22,0,-0.0155593177670262,23,0.0434782608695652,0.0217391294896031,"AUCell","REACTOME",TRUE,"kmeans"
"Early NK cells (PLA−)",0,3,0,90,-0.128792245433978,93,0.967741935483871,0.483870962539022,"AUCell","REACTOME",TRUE,"kmeans"
"Intermediate monocytes (PLA+)",9,0,5,0,0.923591639666974,14,0.642857142857143,0.321428548469389,"AUCell","REACTOME",TRUE,"kmeans"
"Intermediate monocytes (PLA−)",0,191,0,62,1.10789203688883,253,0.245059288537549,0.122529643784468,"AUCell","REACTOME",TRUE,"kmeans"
"Monocytes (PLA+)",8,0,2,0,1.3252410096884,10,0.8,0.399999960000004,"AUCell","REACTOME",TRUE,"kmeans"
"Monocytes (PLA−)",0,316,0,4211,-0.21825876742201,4527,0.930196598188646,0.465098298991584,"AUCell","REACTOME",TRUE,"kmeans"
"NK / Dendritic cells",0,0,0,0,1.38822237657776,11,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"NK cells",0,0,0,0,-0.347543070389264,34,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"NK cells (PLA+)",0,0,4,0,-0.92068887663841,4,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"NK cells (PLA−)",0,2,0,92,-0.0755482286717591,94,0.978723404255319,0.489361696921684,"AUCell","REACTOME",TRUE,"kmeans"
"Neutrophils",0,0,0,0,-0.223294153178657,92,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"Neutrophils (PLA+)",31,0,39,0,0.531038399203844,70,0.442857142857143,0.221428568265306,"AUCell","REACTOME",TRUE,"kmeans"
"Neutrophils (PLA−)",0,42,0,562,-0.234034756930372,604,0.93046357615894,0.465231787309219,"AUCell","REACTOME",TRUE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,0.414981183422429,48,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"Non-B cells",0,0,0,0,1.21125041491983,857,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,0.0552061875911823,73,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"Non-cDCs",0,0,0,0,-0.289125013870294,12,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"Non-classical monocytes (PLA+)",7,0,217,0,-0.364724089438811,224,0.03125,0.0156249999302455,"AUCell","REACTOME",TRUE,"kmeans"
"Non-classical monocytes (PLA−)",0,78,0,1339,-0.260987146015783,1417,0.944954128440367,0.472477063886749,"AUCell","REACTOME",TRUE,"kmeans"
"Other immune cells",0,0,0,0,0.0678466243521966,11,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"R11",0,0,0,0,-0.249298765300376,512,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"R13",0,0,0,0,-0.358680781910677,204,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"R40",0,0,0,0,-0.073911396648449,247,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"Singlets",0,0,0,0,0.305751468247156,1220,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"Total B cells",0,0,0,0,0.269208175928663,1,0,0,"AUCell","REACTOME",TRUE,"kmeans"
NA,0,0,0,0,-0.264892216956284,260,0,0,"AUCell","REACTOME",TRUE,"kmeans"
