"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",1,0,69,0,-0.782561990519966,70,0.0142857142857143,0.00714285704081633,"AUCell","REACTOME",TRUE,"youden"
"B cells (PLA−)",0,4,0,586,-0.973361174730304,590,0.993220338983051,0.496610168649813,"AUCell","REACTOME",TRUE,"youden"
"CD4 T cells",0,0,0,0,-0.461988674720546,6,0,0,"AUCell","REACTOME",TRUE,"youden"
"CD4 T cells (PLA+)",6,0,445,0,-0.624272659218996,451,0.0133037694013304,0.006651884685916,"AUCell","REACTOME",TRUE,"youden"
"CD4 T cells (PLA−)",0,13,0,2681,-0.638405916511903,2694,0.995174461766889,0.497587230698743,"AUCell","REACTOME",TRUE,"youden"
"CD8 T cells",0,0,0,0,-0.228380480127879,4,0,0,"AUCell","REACTOME",TRUE,"youden"
"CD8 T cells (PLA+)",0,0,68,0,-0.499320284953628,68,0,0,"AUCell","REACTOME",TRUE,"youden"
"CD8 T cells (PLA−)",0,2,0,1430,-0.288313769557358,1432,0.998603351955307,0.499301675628979,"AUCell","REACTOME",TRUE,"youden"
"Classical monocytes (PLA+)",124,0,63,0,1.43436339489895,187,0.663101604278075,0.331550800366039,"AUCell","REACTOME",TRUE,"youden"
"Classical monocytes (PLA−)",0,1222,0,967,1.33840079288021,2189,0.441754225673824,0.220877112736009,"AUCell","REACTOME",TRUE,"youden"
"Dendritic cells",0,0,0,0,0.977844600658781,4,0,0,"AUCell","REACTOME",TRUE,"youden"
"Dendritic cells (PLA−)",0,5,0,6,1.08704156371449,11,0.545454545454545,0.272727247933887,"AUCell","REACTOME",TRUE,"youden"
"Early NK cells (PLA+)",1,0,22,0,-0.0155593177670262,23,0.0434782608695652,0.0217391294896031,"AUCell","REACTOME",TRUE,"youden"
"Early NK cells (PLA−)",0,2,0,91,-0.128792245433978,93,0.978494623655914,0.489247306567233,"AUCell","REACTOME",TRUE,"youden"
"Intermediate monocytes (PLA+)",7,0,7,0,0.923591639666974,14,0.5,0.249999982142858,"AUCell","REACTOME",TRUE,"youden"
"Intermediate monocytes (PLA−)",0,101,0,152,1.10789203688883,253,0.600790513833992,0.300395255729663,"AUCell","REACTOME",TRUE,"youden"
"Monocytes (PLA+)",6,0,4,0,1.3252410096884,10,0.6,0.299999970000003,"AUCell","REACTOME",TRUE,"youden"
"Monocytes (PLA−)",0,127,0,4400,-0.21825876742201,4527,0.971946101170753,0.485973050478027,"AUCell","REACTOME",TRUE,"youden"
"NK / Dendritic cells",0,0,0,0,1.38822237657776,11,0,0,"AUCell","REACTOME",TRUE,"youden"
"NK cells",0,0,0,0,-0.347543070389264,34,0,0,"AUCell","REACTOME",TRUE,"youden"
"NK cells (PLA+)",0,0,4,0,-0.92068887663841,4,0,0,"AUCell","REACTOME",TRUE,"youden"
"NK cells (PLA−)",0,0,0,94,-0.0755482286717591,94,1,0.499999994680851,"AUCell","REACTOME",TRUE,"youden"
"Neutrophils",0,0,0,0,-0.223294153178657,92,0,0,"AUCell","REACTOME",TRUE,"youden"
"Neutrophils (PLA+)",18,0,52,0,0.531038399203844,70,0.257142857142857,0.128571426734694,"AUCell","REACTOME",TRUE,"youden"
"Neutrophils (PLA−)",0,18,0,586,-0.234034756930372,604,0.970198675496689,0.4850993369452,"AUCell","REACTOME",TRUE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.414981183422429,48,0,0,"AUCell","REACTOME",TRUE,"youden"
"Non-B cells",0,0,0,0,1.21125041491983,857,0,0,"AUCell","REACTOME",TRUE,"youden"
"Non-T / Non-NK cells",0,0,0,0,0.0552061875911823,73,0,0,"AUCell","REACTOME",TRUE,"youden"
"Non-cDCs",0,0,0,0,-0.289125013870294,12,0,0,"AUCell","REACTOME",TRUE,"youden"
"Non-classical monocytes (PLA+)",2,0,222,0,-0.364724089438811,224,0.00892857142857143,0.00446428569435587,"AUCell","REACTOME",TRUE,"youden"
"Non-classical monocytes (PLA−)",0,27,0,1390,-0.260987146015783,1417,0.980945659844742,0.490472829576237,"AUCell","REACTOME",TRUE,"youden"
"Other immune cells",0,0,0,0,0.0678466243521966,11,0,0,"AUCell","REACTOME",TRUE,"youden"
"R11",0,0,0,0,-0.249298765300376,512,0,0,"AUCell","REACTOME",TRUE,"youden"
"R13",0,0,0,0,-0.358680781910677,204,0,0,"AUCell","REACTOME",TRUE,"youden"
"R40",0,0,0,0,-0.073911396648449,247,0,0,"AUCell","REACTOME",TRUE,"youden"
"Singlets",0,0,0,0,0.305751468247156,1220,0,0,"AUCell","REACTOME",TRUE,"youden"
"Total B cells",0,0,0,0,0.269208175928663,1,0,0,"AUCell","REACTOME",TRUE,"youden"
NA,0,0,0,0,-0.264892216956284,260,0,0,"AUCell","REACTOME",TRUE,"youden"
