"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",0,0,70,0,-0.843309771538773,70,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"B cells (PLA−)",0,2,0,588,-1.01266497148356,590,0.996610169491525,0.498305083901178,"AddModuleScore","REACTOME",FALSE,"youden"
"CD4 T cells",0,0,0,0,-0.447144763985786,6,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"CD4 T cells (PLA+)",8,0,443,0,-0.539686078022865,451,0.0177383592017738,0.00886917958122133,"AddModuleScore","REACTOME",FALSE,"youden"
"CD4 T cells (PLA−)",0,17,0,2677,-0.540408609842063,2694,0.993689680772086,0.496844840201617,"AddModuleScore","REACTOME",FALSE,"youden"
"CD8 T cells",0,0,0,0,-0.0629856989545754,4,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"CD8 T cells (PLA+)",0,0,68,0,-0.43285931630993,68,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"CD8 T cells (PLA−)",0,12,0,1420,-0.101656615503383,1432,0.991620111731844,0.495810055519686,"AddModuleScore","REACTOME",FALSE,"youden"
"Classical monocytes (PLA+)",74,0,113,0,1.27960127386264,187,0.39572192513369,0.197860961508765,"AddModuleScore","REACTOME",FALSE,"youden"
"Classical monocytes (PLA−)",0,691,0,1498,1.21175668893496,2189,0.684330744632252,0.342165372159815,"AddModuleScore","REACTOME",FALSE,"youden"
"Dendritic cells",0,0,0,0,1.08406668002392,4,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"Dendritic cells (PLA−)",0,4,0,7,0.931267844853302,11,0.636363636363636,0.318181789256201,"AddModuleScore","REACTOME",FALSE,"youden"
"Early NK cells (PLA+)",2,0,21,0,0.046332357044046,23,0.0869565217391304,0.0434782589792061,"AddModuleScore","REACTOME",FALSE,"youden"
"Early NK cells (PLA−)",0,1,0,92,0.019069371017374,93,0.989247311827957,0.494623650595445,"AddModuleScore","REACTOME",FALSE,"youden"
"Intermediate monocytes (PLA+)",4,0,10,0,0.766158593473616,14,0.285714285714286,0.142857132653062,"AddModuleScore","REACTOME",FALSE,"youden"
"Intermediate monocytes (PLA−)",0,62,0,191,1.00168045276346,253,0.754940711462451,0.377470354239248,"AddModuleScore","REACTOME",FALSE,"youden"
"Monocytes (PLA+)",1,0,9,0,0.975829121495419,10,0.1,0.0499999950000005,"AddModuleScore","REACTOME",FALSE,"youden"
"Monocytes (PLA−)",0,110,0,4417,-0.246484461744233,4527,0.975701347470731,0.487850673627601,"AddModuleScore","REACTOME",FALSE,"youden"
"NK / Dendritic cells",0,0,0,0,1.47579865900075,11,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"NK cells",0,0,0,0,-0.170035769131749,34,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"NK cells (PLA+)",0,0,4,0,-0.940875703590682,4,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"NK cells (PLA−)",0,1,0,93,0.0979784397035532,94,0.98936170212766,0.494680845801268,"AddModuleScore","REACTOME",FALSE,"youden"
"Neutrophils",0,0,0,0,-0.142490607127981,92,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"Neutrophils (PLA+)",13,0,57,0,0.464113785148053,70,0.185714285714286,0.0928571415306123,"AddModuleScore","REACTOME",FALSE,"youden"
"Neutrophils (PLA−)",0,10,0,594,-0.262965810920122,604,0.983443708609272,0.491721853490527,"AddModuleScore","REACTOME",FALSE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.36087758891329,48,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"Non-B cells",0,0,0,0,1.0735642937581,857,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"Non-T / Non-NK cells",0,0,0,0,0.100348974147961,73,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"Non-cDCs",0,0,0,0,-0.266022935833001,12,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"Non-classical monocytes (PLA+)",3,0,221,0,-0.414785437084248,224,0.0133928571428571,0.0066964285415338,"AddModuleScore","REACTOME",FALSE,"youden"
"Non-classical monocytes (PLA−)",0,22,0,1395,-0.289157561863964,1417,0.984474241354975,0.492237120330108,"AddModuleScore","REACTOME",FALSE,"youden"
"Other immune cells",0,0,0,0,0.152578831253722,11,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"R11",0,0,0,0,-0.137949078379088,512,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"R13",0,0,0,0,-0.156812961341611,204,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"R40",0,0,0,0,-0.101435490693297,247,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"Singlets",0,0,0,0,0.296249842312685,1220,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"Total B cells",0,0,0,0,-0.672033765643164,1,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
NA,0,0,0,0,-0.32178822121203,260,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
