"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,68,0,-0.854567681197411,70,0.0285714285714286,0.0142857140816327,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"B cells (PLA−)",0,6,0,584,-1.02800144336786,590,0.989830508474576,0.494915253398449,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"CD4 T cells",0,0,0,0,-0.492665020392419,6,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"CD4 T cells (PLA+)",40,0,411,0,-0.545972930348638,451,0.0886917960088692,0.0443458979061067,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"CD4 T cells (PLA−)",0,48,0,2646,-0.605850358073922,2694,0.982182628062361,0.49109131384889,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"CD8 T cells",0,0,0,0,-0.10355161521437,4,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"CD8 T cells (PLA+)",1,0,67,0,-0.500040763948508,68,0.0147058823529412,0.0073529410683391,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"CD8 T cells (PLA−)",0,29,0,1403,-0.182225938286207,1432,0.979748603351955,0.489874301333887,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Classical monocytes (PLA+)",174,0,13,0,1.29898741235948,187,0.93048128342246,0.465240639223312,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Classical monocytes (PLA−)",0,2039,0,150,1.22466868558476,2189,0.0685244403837369,0.0342622201762164,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Dendritic cells",0,0,0,0,1.054677504871,4,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Dendritic cells (PLA−)",0,7,0,4,0.88817478705363,11,0.363636363636364,0.181818165289258,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Early NK cells (PLA+)",4,0,19,0,0.114794354156238,23,0.173913043478261,0.0869565179584123,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Early NK cells (PLA−)",0,7,0,86,-0.0389955003711943,93,0.924731182795699,0.462365586426176,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Intermediate monocytes (PLA+)",11,0,3,0,0.857601114356817,14,0.785714285714286,0.39285711479592,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Intermediate monocytes (PLA−)",0,205,0,48,1.02783155023663,253,0.189723320158103,0.0948616597041041,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Monocytes (PLA+)",10,0,0,0,1.01295297881028,10,1,0.499999950000005,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Monocytes (PLA−)",0,1029,0,3498,-0.205301788670978,4527,0.772697150430749,0.386348575130031,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"NK / Dendritic cells",0,0,0,0,1.52037742348705,11,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"NK cells",0,0,0,0,-0.246481492218547,34,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"NK cells (PLA+)",0,0,4,0,-0.939395045226436,4,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"NK cells (PLA−)",0,7,0,87,0.00895568795587494,94,0.925531914893617,0.462765952523766,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Neutrophils",0,0,0,0,-0.150413901525912,92,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Neutrophils (PLA+)",42,0,28,0,0.499681021300088,70,0.6,0.299999995714286,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Neutrophils (PLA−)",0,126,0,478,-0.222103003757579,604,0.791390728476821,0.395695363583286,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Non-B / Non-monocyte cells",0,0,0,0,0.56893798082688,48,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Non-B cells",0,0,0,0,1.07323482763412,857,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Non-T / Non-NK cells",0,0,0,0,0.221794113347205,73,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Non-cDCs",0,0,0,0,-0.298379635221327,12,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Non-classical monocytes (PLA+)",40,0,184,0,-0.361150886429079,224,0.178571428571429,0.0892857138871174,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Non-classical monocytes (PLA−)",0,306,0,1111,-0.238975154133567,1417,0.784050811573747,0.392025405510215,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Other immune cells",0,0,0,0,0.171368608221082,11,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"R11",0,0,0,0,-0.189831770358161,512,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"R13",0,0,0,0,-0.244789587485528,204,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"R40",0,0,0,0,-0.00914776494915815,247,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Singlets",0,0,0,0,0.288197465089057,1220,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Total B cells",0,0,0,0,-0.829099412851417,1,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
NA,0,0,0,0,-0.31643469989918,260,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
