"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",10,0,60,0,-0.854567681197411,70,0.142857142857143,0.0714285704081633,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"B cells (PLA−)",0,46,0,544,-1.02800144336786,590,0.922033898305085,0.461016948371158,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.492665020392419,6,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",118,0,333,0,-0.545972930348638,451,0.261640798226164,0.130820398823015,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,625,0,2069,-0.605850358073922,2694,0.76800296956199,0.384001484638455,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-0.10355161521437,4,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",21,0,47,0,-0.500040763948508,68,0.308823529411765,0.154411762435121,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,625,0,807,-0.182225938286207,1432,0.56354748603352,0.28177374281999,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",180,0,7,0,1.29898741235948,187,0.962566844919786,0.481283419886185,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,2151,0,38,1.22466868558476,2189,0.0173595248972133,0.0086797624446415,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,1.054677504871,4,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,10,0,1,0.88817478705363,11,0.0909090909090909,0.0454545413223144,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA+)",10,0,13,0,0.114794354156238,23,0.434782608695652,0.217391294896031,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,45,0,48,-0.0389955003711943,93,0.516129032258065,0.258064513354145,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",12,0,2,0,0.857601114356817,14,0.857142857142857,0.428571397959186,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,233,0,20,1.02783155023663,253,0.0790513833992095,0.0395256915433767,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Monocytes (PLA+)",10,0,0,0,1.01295297881028,10,1,0.499999950000005,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,1801,0,2726,-0.205301788670978,4527,0.602164789043517,0.30108239445525,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,1.52037742348705,11,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"NK cells",0,0,0,0,-0.246481492218547,34,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"NK cells (PLA+)",0,0,4,0,-0.939395045226436,4,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"NK cells (PLA−)",0,55,0,39,0.00895568795587494,94,0.414893617021277,0.207446806303757,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,-0.150413901525912,92,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA+)",51,0,19,0,0.499681021300088,70,0.728571428571429,0.364285709081633,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,233,0,371,-0.222103003757579,604,0.614238410596026,0.307119204789538,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,0.56893798082688,48,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,1.07323482763412,857,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,0.221794113347205,73,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Non-cDCs",0,0,0,0,-0.298379635221327,12,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Non-classical monocytes (PLA+)",79,0,145,0,-0.361150886429079,224,0.352678571428571,0.176339284927057,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Non-classical monocytes (PLA−)",0,555,0,862,-0.238975154133567,1417,0.60832745236415,0.304163725967421,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Other immune cells",0,0,0,0,0.171368608221082,11,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
