"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,68,0,-0.854567681197411,70,0.0285714285714286,0.0142857140816327,"AddModuleScore","REACTOME",TRUE,"kmeans"
"B cells (PLA−)",0,6,0,584,-1.02800144336786,590,0.989830508474576,0.494915253398449,"AddModuleScore","REACTOME",TRUE,"kmeans"
"CD4 T cells",0,0,0,0,-0.492665020392419,6,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"CD4 T cells (PLA+)",32,0,419,0,-0.545972930348638,451,0.0709534368070953,0.0354767183248853,"AddModuleScore","REACTOME",TRUE,"kmeans"
"CD4 T cells (PLA−)",0,37,0,2657,-0.605850358073922,2694,0.98626577579807,0.493132887715986,"AddModuleScore","REACTOME",TRUE,"kmeans"
"CD8 T cells",0,0,0,0,-0.10355161521437,4,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"CD8 T cells (PLA+)",0,0,68,0,-0.500040763948508,68,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"CD8 T cells (PLA−)",0,21,0,1411,-0.182225938286207,1432,0.985335195530726,0.492667597421321,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Classical monocytes (PLA+)",173,0,14,0,1.29898741235948,187,0.925133689839572,0.462566842446167,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Classical monocytes (PLA−)",0,2015,0,174,1.22466868558476,2189,0.0794883508451348,0.0397441754044111,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Dendritic cells",0,0,0,0,1.054677504871,4,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Dendritic cells (PLA−)",0,7,0,4,0.88817478705363,11,0.363636363636364,0.181818165289258,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Early NK cells (PLA+)",2,0,21,0,0.114794354156238,23,0.0869565217391304,0.0434782589792061,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Early NK cells (PLA−)",0,6,0,87,-0.0389955003711943,93,0.935483870967742,0.467741930454388,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Intermediate monocytes (PLA+)",10,0,4,0,0.857601114356817,14,0.714285714285714,0.357142831632655,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Intermediate monocytes (PLA−)",0,204,0,49,1.02783155023663,253,0.193675889328063,0.0968379442812729,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Monocytes (PLA+)",9,0,1,0,1.01295297881028,10,0.9,0.449999955000005,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Monocytes (PLA−)",0,685,0,3842,-0.205301788670978,4527,0.848685663795008,0.424342831803768,"AddModuleScore","REACTOME",TRUE,"kmeans"
"NK / Dendritic cells",0,0,0,0,1.52037742348705,11,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"NK cells",0,0,0,0,-0.246481492218547,34,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"NK cells (PLA+)",0,0,4,0,-0.939395045226436,4,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"NK cells (PLA−)",0,4,0,90,0.00895568795587494,94,0.957446808510638,0.478723399162517,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Neutrophils",0,0,0,0,-0.150413901525912,92,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Neutrophils (PLA+)",35,0,35,0,0.499681021300088,70,0.5,0.249999996428571,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Neutrophils (PLA−)",0,81,0,523,-0.222103003757579,604,0.865894039735099,0.43294701915075,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,0.56893798082688,48,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Non-B cells",0,0,0,0,1.07323482763412,857,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,0.221794113347205,73,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Non-cDCs",0,0,0,0,-0.298379635221327,12,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Non-classical monocytes (PLA+)",25,0,199,0,-0.361150886429079,224,0.111607142857143,0.0558035711794483,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Non-classical monocytes (PLA−)",0,194,0,1223,-0.238975154133567,1417,0.863091037402964,0.431545518396933,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Other immune cells",0,0,0,0,0.171368608221082,11,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"R11",0,0,0,0,-0.189831770358161,512,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"R13",0,0,0,0,-0.244789587485528,204,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"R40",0,0,0,0,-0.00914776494915815,247,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Singlets",0,0,0,0,0.288197465089057,1220,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Total B cells",0,0,0,0,-0.829099412851417,1,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
NA,0,0,0,0,-0.31643469989918,260,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
