"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",0,0,70,0,-0.854567681197411,70,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"B cells (PLA−)",0,4,0,586,-1.02800144336786,590,0.993220338983051,0.496610168649813,"AddModuleScore","REACTOME",TRUE,"youden"
"CD4 T cells",0,0,0,0,-0.492665020392419,6,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"CD4 T cells (PLA+)",12,0,439,0,-0.545972930348638,451,0.0266075388026608,0.013303769371832,"AddModuleScore","REACTOME",TRUE,"youden"
"CD4 T cells (PLA−)",0,27,0,2667,-0.605850358073922,2694,0.989977728285078,0.494988863958801,"AddModuleScore","REACTOME",TRUE,"youden"
"CD8 T cells",0,0,0,0,-0.10355161521437,4,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"CD8 T cells (PLA+)",0,0,68,0,-0.500040763948508,68,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"CD8 T cells (PLA−)",0,17,0,1415,-0.182225938286207,1432,0.988128491620112,0.494064245465039,"AddModuleScore","REACTOME",TRUE,"youden"
"Classical monocytes (PLA+)",120,0,67,0,1.29898741235948,187,0.641711229946524,0.320855613257457,"AddModuleScore","REACTOME",TRUE,"youden"
"Classical monocytes (PLA−)",0,1152,0,1037,1.22466868558476,2189,0.473732297852901,0.236866148818243,"AddModuleScore","REACTOME",TRUE,"youden"
"Dendritic cells",0,0,0,0,1.054677504871,4,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Dendritic cells (PLA−)",0,4,0,7,0.88817478705363,11,0.636363636363636,0.318181789256201,"AddModuleScore","REACTOME",TRUE,"youden"
"Early NK cells (PLA+)",2,0,21,0,0.114794354156238,23,0.0869565217391304,0.0434782589792061,"AddModuleScore","REACTOME",TRUE,"youden"
"Early NK cells (PLA−)",0,5,0,88,-0.0389955003711943,93,0.946236559139785,0.473118274482599,"AddModuleScore","REACTOME",TRUE,"youden"
"Intermediate monocytes (PLA+)",4,0,10,0,0.857601114356817,14,0.285714285714286,0.142857132653062,"AddModuleScore","REACTOME",TRUE,"youden"
"Intermediate monocytes (PLA−)",0,106,0,147,1.02783155023663,253,0.58102766798419,0.290513832843819,"AddModuleScore","REACTOME",TRUE,"youden"
"Monocytes (PLA+)",2,0,8,0,1.01295297881028,10,0.2,0.099999990000001,"AddModuleScore","REACTOME",TRUE,"youden"
"Monocytes (PLA−)",0,190,0,4337,-0.205301788670978,4527,0.958029600176717,0.479014799982546,"AddModuleScore","REACTOME",TRUE,"youden"
"NK / Dendritic cells",0,0,0,0,1.52037742348705,11,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"NK cells",0,0,0,0,-0.246481492218547,34,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"NK cells (PLA+)",0,0,4,0,-0.939395045226436,4,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"NK cells (PLA−)",0,1,0,93,0.00895568795587494,94,0.98936170212766,0.494680845801268,"AddModuleScore","REACTOME",TRUE,"youden"
"Neutrophils",0,0,0,0,-0.150413901525912,92,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Neutrophils (PLA+)",17,0,53,0,0.499681021300088,70,0.242857142857143,0.121428569693878,"AddModuleScore","REACTOME",TRUE,"youden"
"Neutrophils (PLA−)",0,22,0,582,-0.222103003757579,604,0.963576158940397,0.481788078672536,"AddModuleScore","REACTOME",TRUE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.56893798082688,48,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Non-B cells",0,0,0,0,1.07323482763412,857,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Non-T / Non-NK cells",0,0,0,0,0.221794113347205,73,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Non-cDCs",0,0,0,0,-0.298379635221327,12,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Non-classical monocytes (PLA+)",5,0,219,0,-0.361150886429079,224,0.0223214285714286,0.0111607142358897,"AddModuleScore","REACTOME",TRUE,"youden"
"Non-classical monocytes (PLA−)",0,44,0,1373,-0.238975154133567,1417,0.968948482709951,0.484474241013074,"AddModuleScore","REACTOME",TRUE,"youden"
"Other immune cells",0,0,0,0,0.171368608221082,11,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"R11",0,0,0,0,-0.189831770358161,512,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"R13",0,0,0,0,-0.244789587485528,204,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"R40",0,0,0,0,-0.00914776494915815,247,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Singlets",0,0,0,0,0.288197465089057,1220,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Total B cells",0,0,0,0,-0.829099412851417,1,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
NA,0,0,0,0,-0.31643469989918,260,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
