"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,68,0,-0.666592629633447,70,0.0285714285714286,0.0142857140816327,"AUCell","Standard",FALSE,"gmm_dist_dual"
"B cells (PLA−)",0,7,0,583,-0.697897455971486,590,0.988135593220339,0.494067795772766,"AUCell","Standard",FALSE,"gmm_dist_dual"
"CD4 T cells",0,0,0,0,-0.352086257578421,6,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"CD4 T cells (PLA+)",22,0,429,0,-0.414025444343622,451,0.0487804878048781,0.0243902438483587,"AUCell","Standard",FALSE,"gmm_dist_dual"
"CD4 T cells (PLA−)",0,34,0,2660,-0.483248513356016,2694,0.987379361544172,0.493689680588831,"AUCell","Standard",FALSE,"gmm_dist_dual"
"CD8 T cells",0,0,0,0,-1.28904376141076,4,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"CD8 T cells (PLA+)",0,0,68,0,-0.551833735657256,68,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"CD8 T cells (PLA−)",0,17,0,1415,-0.224369044274046,1432,0.988128491620112,0.494064245465039,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Classical monocytes (PLA+)",170,0,17,0,1.23049727047394,187,0.909090909090909,0.45454545211473,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Classical monocytes (PLA−)",0,1930,0,259,1.18159985992522,2189,0.118318867062586,0.059159433504267,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Dendritic cells",0,0,0,0,0.799251196859037,4,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Dendritic cells (PLA−)",0,7,0,4,1.09195783207306,11,0.363636363636364,0.181818165289258,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Early NK cells (PLA+)",4,0,19,0,-0.0893307836776123,23,0.173913043478261,0.0869565179584123,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Early NK cells (PLA−)",0,5,0,88,0.0636858970265637,93,0.946236559139785,0.473118274482599,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Intermediate monocytes (PLA+)",10,0,4,0,0.694934654895095,14,0.714285714285714,0.357142831632655,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Intermediate monocytes (PLA−)",0,200,0,53,0.925506582788533,253,0.209486166007905,0.104743082589948,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Monocytes (PLA+)",10,0,0,0,0.987050070453258,10,1,0.499999950000005,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Monocytes (PLA−)",0,655,0,3872,-0.24868334453519,4527,0.855312569030263,0.427656284420664,"AUCell","Standard",FALSE,"gmm_dist_dual"
"NK / Dendritic cells",0,0,0,0,1.0767739357659,11,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"NK cells",0,0,0,0,-0.0988860727991761,34,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"NK cells (PLA+)",0,0,4,0,-0.514016956610315,4,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"NK cells (PLA−)",0,5,0,89,0.15095417839447,94,0.946808510638298,0.473404250282934,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Neutrophils",0,0,0,0,-0.0666485303062457,92,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Neutrophils (PLA+)",37,0,33,0,0.415404149908592,70,0.528571428571429,0.264285710510204,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Neutrophils (PLA−)",0,88,0,516,-0.256159736288244,604,0.854304635761589,0.427152317173589,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Non-B / Non-monocyte cells",0,0,0,0,0.416066130753691,48,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Non-B cells",0,0,0,0,1.07567944809273,857,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Non-T / Non-NK cells",0,0,0,0,0.113365100378077,73,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Non-cDCs",0,0,0,0,0.0239697840412441,12,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Non-classical monocytes (PLA+)",23,0,201,0,-0.438598424615114,224,0.102678571428571,0.0513392854850925,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Non-classical monocytes (PLA−)",0,159,0,1258,-0.375763904786433,1417,0.887791107974594,0.443895553674033,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Other immune cells",0,0,0,0,-0.111551119736877,11,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"R11",0,0,0,0,-0.258267181436785,512,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"R13",0,0,0,0,-0.154620267027566,204,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"R40",0,0,0,0,-0.0521848139890647,247,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Singlets",0,0,0,0,0.300189430767527,1220,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Total B cells",0,0,0,0,-0.933610969196102,1,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
NA,0,0,0,0,-0.178819626205011,260,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
