"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",6,0,64,0,-0.666592629633447,70,0.0857142857142857,0.042857142244898,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"B cells (PLA−)",0,65,0,525,-0.697897455971486,590,0.889830508474576,0.444915253483194,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.352086257578421,6,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",88,0,363,0,-0.414025444343622,451,0.195121951219512,0.0975609753934346,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,458,0,2236,-0.483248513356016,2694,0.829992576095026,0.414996287893468,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-1.28904376141076,4,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",15,0,53,0,-0.551833735657256,68,0.220588235294118,0.110294116025087,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,423,0,1009,-0.224369044274046,1432,0.704608938547486,0.35230446902772,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",173,0,14,0,1.23049727047394,187,0.925133689839572,0.462566842446167,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,1982,0,207,1.18159985992522,2189,0.0945637277295569,0.0472818638431787,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,0.799251196859037,4,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,8,0,3,1.09195783207306,11,0.272727272727273,0.136363623966943,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA+)",7,0,16,0,-0.0893307836776123,23,0.304347826086957,0.152173906427221,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,36,0,57,0.0636858970265637,93,0.612903225806452,0.306451609608047,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",11,0,3,0,0.694934654895095,14,0.785714285714286,0.39285711479592,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,212,0,41,0.925506582788533,253,0.162055335968379,0.0810276676639223,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Monocytes (PLA+)",10,0,0,0,0.987050070453258,10,1,0.499999950000005,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,1168,0,3359,-0.24868334453519,4527,0.7419924895074,0.370996244671748,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,1.0767739357659,11,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"NK cells",0,0,0,0,-0.0988860727991761,34,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"NK cells (PLA+)",0,0,4,0,-0.514016956610315,4,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"NK cells (PLA−)",0,49,0,45,0.15095417839447,94,0.478723404255319,0.239361699581259,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,-0.0666485303062457,92,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Neutrophils (PLA+)",39,0,31,0,0.415404149908592,70,0.557142857142857,0.278571424591837,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,153,0,451,-0.256159736288244,604,0.746688741721854,0.373344370242807,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,0.416066130753691,48,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,1.07567944809273,857,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,0.113365100378077,73,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Non-cDCs",0,0,0,0,0.0239697840412441,12,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Non-classical monocytes (PLA+)",46,0,178,0,-0.438598424615114,224,0.205357142857143,0.102678570970185,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Non-classical monocytes (PLA−)",0,315,0,1102,-0.375763904786433,1417,0.777699364855328,0.388849682153247,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Other immune cells",0,0,0,0,-0.111551119736877,11,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"R11",0,0,0,0,-0.258267181436785,512,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"R13",0,0,0,0,-0.154620267027566,204,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"R40",0,0,0,0,-0.0521848139890647,247,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Singlets",0,0,0,0,0.300189430767527,1220,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Total B cells",0,0,0,0,-0.933610969196102,1,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
NA,0,0,0,0,-0.178819626205011,260,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
