"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,68,0,-0.666592629633447,70,0.0285714285714286,0.0142857140816327,"AUCell","Standard",FALSE,"kmeans"
"B cells (PLA−)",0,6,0,584,-0.697897455971486,590,0.989830508474576,0.494915253398449,"AUCell","Standard",FALSE,"kmeans"
"CD4 T cells",0,0,0,0,-0.352086257578421,6,0,0,"AUCell","Standard",FALSE,"kmeans"
"CD4 T cells (PLA+)",15,0,436,0,-0.414025444343622,451,0.0332594235033259,0.01662971171479,"AUCell","Standard",FALSE,"kmeans"
"CD4 T cells (PLA−)",0,26,0,2668,-0.483248513356016,2694,0.990348923533779,0.495174461583083,"AUCell","Standard",FALSE,"kmeans"
"CD8 T cells",0,0,0,0,-1.28904376141076,4,0,0,"AUCell","Standard",FALSE,"kmeans"
"CD8 T cells (PLA+)",0,0,68,0,-0.551833735657256,68,0,0,"AUCell","Standard",FALSE,"kmeans"
"CD8 T cells (PLA−)",0,14,0,1418,-0.224369044274046,1432,0.990223463687151,0.495111731497827,"AUCell","Standard",FALSE,"kmeans"
"Classical monocytes (PLA+)",160,0,27,0,1.23049727047394,187,0.855614973262032,0.427807484343275,"AUCell","Standard",FALSE,"kmeans"
"Classical monocytes (PLA−)",0,1806,0,383,1.18159985992522,2189,0.174965737779808,0.0874828688499393,"AUCell","Standard",FALSE,"kmeans"
"Dendritic cells",0,0,0,0,0.799251196859037,4,0,0,"AUCell","Standard",FALSE,"kmeans"
"Dendritic cells (PLA−)",0,7,0,4,1.09195783207306,11,0.363636363636364,0.181818165289258,"AUCell","Standard",FALSE,"kmeans"
"Early NK cells (PLA+)",2,0,21,0,-0.0893307836776123,23,0.0869565217391304,0.0434782589792061,"AUCell","Standard",FALSE,"kmeans"
"Early NK cells (PLA−)",0,4,0,89,0.0636858970265637,93,0.956989247311828,0.478494618510811,"AUCell","Standard",FALSE,"kmeans"
"Intermediate monocytes (PLA+)",10,0,4,0,0.694934654895095,14,0.714285714285714,0.357142831632655,"AUCell","Standard",FALSE,"kmeans"
"Intermediate monocytes (PLA−)",0,189,0,64,0.925506582788533,253,0.25296442687747,0.126482212938805,"AUCell","Standard",FALSE,"kmeans"
"Monocytes (PLA+)",8,0,2,0,0.987050070453258,10,0.8,0.399999960000004,"AUCell","Standard",FALSE,"kmeans"
"Monocytes (PLA−)",0,362,0,4165,-0.24868334453519,4527,0.920035343494588,0.460017671645678,"AUCell","Standard",FALSE,"kmeans"
"NK / Dendritic cells",0,0,0,0,1.0767739357659,11,0,0,"AUCell","Standard",FALSE,"kmeans"
"NK cells",0,0,0,0,-0.0988860727991761,34,0,0,"AUCell","Standard",FALSE,"kmeans"
"NK cells (PLA+)",0,0,4,0,-0.514016956610315,4,0,0,"AUCell","Standard",FALSE,"kmeans"
"NK cells (PLA−)",0,5,0,89,0.15095417839447,94,0.946808510638298,0.473404250282934,"AUCell","Standard",FALSE,"kmeans"
"Neutrophils",0,0,0,0,-0.0666485303062457,92,0,0,"AUCell","Standard",FALSE,"kmeans"
"Neutrophils (PLA+)",34,0,36,0,0.415404149908592,70,0.485714285714286,0.242857139387755,"AUCell","Standard",FALSE,"kmeans"
"Neutrophils (PLA−)",0,38,0,566,-0.256159736288244,604,0.937086092715232,0.468543045581882,"AUCell","Standard",FALSE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,0.416066130753691,48,0,0,"AUCell","Standard",FALSE,"kmeans"
"Non-B cells",0,0,0,0,1.07567944809273,857,0,0,"AUCell","Standard",FALSE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,0.113365100378077,73,0,0,"AUCell","Standard",FALSE,"kmeans"
"Non-cDCs",0,0,0,0,0.0239697840412441,12,0,0,"AUCell","Standard",FALSE,"kmeans"
"Non-classical monocytes (PLA+)",12,0,212,0,-0.438598424615114,224,0.0535714285714286,0.0267857141661352,"AUCell","Standard",FALSE,"kmeans"
"Non-classical monocytes (PLA−)",0,57,0,1360,-0.375763904786433,1417,0.959774170783345,0.479887085053008,"AUCell","Standard",FALSE,"kmeans"
"Other immune cells",0,0,0,0,-0.111551119736877,11,0,0,"AUCell","Standard",FALSE,"kmeans"
"R11",0,0,0,0,-0.258267181436785,512,0,0,"AUCell","Standard",FALSE,"kmeans"
"R13",0,0,0,0,-0.154620267027566,204,0,0,"AUCell","Standard",FALSE,"kmeans"
"R40",0,0,0,0,-0.0521848139890647,247,0,0,"AUCell","Standard",FALSE,"kmeans"
"Singlets",0,0,0,0,0.300189430767527,1220,0,0,"AUCell","Standard",FALSE,"kmeans"
"Total B cells",0,0,0,0,-0.933610969196102,1,0,0,"AUCell","Standard",FALSE,"kmeans"
NA,0,0,0,0,-0.178819626205011,260,0,0,"AUCell","Standard",FALSE,"kmeans"
