"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,68,0,-0.704874435640388,70,0.0285714285714286,0.0142857140816327,"AUCell","Standard",TRUE,"gmm_dist_dual"
"B cells (PLA−)",0,6,0,584,-0.724636892886867,590,0.989830508474576,0.494915253398449,"AUCell","Standard",TRUE,"gmm_dist_dual"
"CD4 T cells",0,0,0,0,-0.525797450856913,6,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"CD4 T cells (PLA+)",16,0,435,0,-0.464202985385749,451,0.0354767184035477,0.0177383591624427,"AUCell","Standard",TRUE,"gmm_dist_dual"
"CD4 T cells (PLA−)",0,30,0,2664,-0.610195597787095,2694,0.988864142538975,0.494432071085957,"AUCell","Standard",TRUE,"gmm_dist_dual"
"CD8 T cells",0,0,0,0,-1.30124064416083,4,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"CD8 T cells (PLA+)",0,0,68,0,-0.650914220474626,68,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"CD8 T cells (PLA−)",0,10,0,1422,-0.397818869890608,1432,0.993016759776536,0.496508379541544,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Classical monocytes (PLA+)",169,0,18,0,1.20267421849232,187,0.903743315508021,0.451871655337585,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Classical monocytes (PLA−)",0,1963,0,226,1.1584949448053,2189,0.103243490178164,0.0516217450654994,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Dendritic cells",0,0,0,0,0.791255772141219,4,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Dendritic cells (PLA−)",0,7,0,4,0.96662123884835,11,0.363636363636364,0.181818165289258,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Early NK cells (PLA+)",4,0,19,0,0.087884896239743,23,0.173913043478261,0.0869565179584123,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Early NK cells (PLA−)",0,5,0,88,-0.115360060434934,93,0.946236559139785,0.473118274482599,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Intermediate monocytes (PLA+)",10,0,4,0,0.9585159541518,14,0.714285714285714,0.357142831632655,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Intermediate monocytes (PLA−)",0,195,0,58,0.941717422116082,253,0.229249011857708,0.114624505475792,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Monocytes (PLA+)",9,0,1,0,1.06374383394764,10,0.9,0.449999955000005,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Monocytes (PLA−)",0,744,0,3783,-0.129012579865795,4527,0.835652750165673,0.41782637499054,"AUCell","Standard",TRUE,"gmm_dist_dual"
"NK / Dendritic cells",0,0,0,0,1.18928007428555,11,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"NK cells",0,0,0,0,-0.267530080909233,34,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"NK cells (PLA+)",0,0,4,0,-0.648990970091995,4,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"NK cells (PLA−)",0,4,0,90,-0.086673064049743,94,0.957446808510638,0.478723399162517,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Neutrophils",0,0,0,0,-0.104013047070428,92,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Neutrophils (PLA+)",38,0,32,0,0.498724867739679,70,0.542857142857143,0.27142856755102,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Neutrophils (PLA−)",0,84,0,520,-0.172808911297423,604,0.860927152317881,0.430463575446252,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Non-B / Non-monocyte cells",0,0,0,0,0.939591529764424,48,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Non-B cells",0,0,0,0,1.02686319054611,857,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Non-T / Non-NK cells",0,0,0,0,0.403918747750904,73,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Non-cDCs",0,0,0,0,0.00118938394489514,12,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Non-classical monocytes (PLA+)",25,0,199,0,-0.288478468383875,224,0.111607142857143,0.0558035711794483,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Non-classical monocytes (PLA−)",0,179,0,1238,-0.220927368502995,1417,0.873676781933663,0.436838390658547,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Other immune cells",0,0,0,0,-0.0907636734745922,11,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"R11",0,0,0,0,-0.371196072397401,512,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"R13",0,0,0,0,-0.35347178207906,204,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"R40",0,0,0,0,0.113187351212279,247,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Singlets",0,0,0,0,0.239965169335816,1220,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Total B cells",0,0,0,0,-0.861303205369478,1,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
NA,0,0,0,0,-0.152541993012885,260,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
