"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",5,0,65,0,-0.704874435640388,70,0.0714285714285714,0.0357142852040816,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"B cells (PLA−)",0,41,0,549,-0.724636892886867,590,0.930508474576271,0.465254236499569,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.525797450856913,6,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",65,0,386,0,-0.464202985385749,451,0.144124168514412,0.0720620840974233,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,266,0,2428,-0.610195597787095,2694,0.901262063845583,0.450631031755519,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-1.30124064416083,4,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",9,0,59,0,-0.650914220474626,68,0.132352941176471,0.0661764696150519,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,253,0,1179,-0.397818869890608,1432,0.823324022346369,0.411662010885711,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",172,0,15,0,1.20267421849232,187,0.919786096256685,0.459893045669021,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,2014,0,175,1.1584949448053,2189,0.079945180447693,0.0399725902055858,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,0.791255772141219,4,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,8,0,3,0.96662123884835,11,0.272727272727273,0.136363623966943,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA+)",8,0,15,0,0.087884896239743,23,0.347826086956522,0.173913035916825,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,26,0,67,-0.115360060434934,93,0.720430107526882,0.360215049890161,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",11,0,3,0,0.9585159541518,14,0.785714285714286,0.39285711479592,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,210,0,43,0.941717422116082,253,0.1699604743083,0.0849802368182599,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Monocytes (PLA+)",9,0,1,0,1.06374383394764,10,0.9,0.449999955000005,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,1372,0,3155,-0.129012579865795,4527,0.696929533907665,0.348464766876858,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,1.18928007428555,11,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"NK cells",0,0,0,0,-0.267530080909233,34,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"NK cells (PLA+)",0,0,4,0,-0.648990970091995,4,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"NK cells (PLA−)",0,28,0,66,-0.086673064049743,94,0.702127659574468,0.351063826052513,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,-0.104013047070428,92,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA+)",43,0,27,0,0.498724867739679,70,0.614285714285714,0.307142852755102,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,164,0,440,-0.172808911297423,604,0.728476821192053,0.364238409992983,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,0.939591529764424,48,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,1.02686319054611,857,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,0.403918747750904,73,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Non-cDCs",0,0,0,0,0.00118938394489514,12,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Non-classical monocytes (PLA+)",61,0,163,0,-0.288478468383875,224,0.272321428571429,0.136160713677854,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Non-classical monocytes (PLA−)",0,368,0,1049,-0.220927368502995,1417,0.74029640084686,0.37014820016221,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Other immune cells",0,0,0,0,-0.0907636734745922,11,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"R11",0,0,0,0,-0.371196072397401,512,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"R13",0,0,0,0,-0.35347178207906,204,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"R40",0,0,0,0,0.113187351212279,247,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Singlets",0,0,0,0,0.239965169335816,1220,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Total B cells",0,0,0,0,-0.861303205369478,1,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
NA,0,0,0,0,-0.152541993012885,260,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
