"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,68,0,-0.704874435640388,70,0.0285714285714286,0.0142857140816327,"AUCell","Standard",TRUE,"kmeans"
"B cells (PLA−)",0,6,0,584,-0.724636892886867,590,0.989830508474576,0.494915253398449,"AUCell","Standard",TRUE,"kmeans"
"CD4 T cells",0,0,0,0,-0.525797450856913,6,0,0,"AUCell","Standard",TRUE,"kmeans"
"CD4 T cells (PLA+)",12,0,439,0,-0.464202985385749,451,0.0266075388026608,0.013303769371832,"AUCell","Standard",TRUE,"kmeans"
"CD4 T cells (PLA−)",0,24,0,2670,-0.610195597787095,2694,0.99109131403118,0.495545656831646,"AUCell","Standard",TRUE,"kmeans"
"CD8 T cells",0,0,0,0,-1.30124064416083,4,0,0,"AUCell","Standard",TRUE,"kmeans"
"CD8 T cells (PLA+)",0,0,68,0,-0.650914220474626,68,0,0,"AUCell","Standard",TRUE,"kmeans"
"CD8 T cells (PLA−)",0,7,0,1425,-0.397818869890608,1432,0.995111731843575,0.497555865574332,"AUCell","Standard",TRUE,"kmeans"
"Classical monocytes (PLA+)",162,0,25,0,1.20267421849232,187,0.866310160427808,0.433155077897566,"AUCell","Standard",TRUE,"kmeans"
"Classical monocytes (PLA−)",0,1875,0,314,1.1584949448053,2189,0.143444495203289,0.0717222475688797,"AUCell","Standard",TRUE,"kmeans"
"Dendritic cells",0,0,0,0,0.791255772141219,4,0,0,"AUCell","Standard",TRUE,"kmeans"
"Dendritic cells (PLA−)",0,7,0,4,0.96662123884835,11,0.363636363636364,0.181818165289258,"AUCell","Standard",TRUE,"kmeans"
"Early NK cells (PLA+)",2,0,21,0,0.087884896239743,23,0.0869565217391304,0.0434782589792061,"AUCell","Standard",TRUE,"kmeans"
"Early NK cells (PLA−)",0,3,0,90,-0.115360060434934,93,0.967741935483871,0.483870962539022,"AUCell","Standard",TRUE,"kmeans"
"Intermediate monocytes (PLA+)",9,0,5,0,0.9585159541518,14,0.642857142857143,0.321428548469389,"AUCell","Standard",TRUE,"kmeans"
"Intermediate monocytes (PLA−)",0,191,0,62,0.941717422116082,253,0.245059288537549,0.122529643784468,"AUCell","Standard",TRUE,"kmeans"
"Monocytes (PLA+)",9,0,1,0,1.06374383394764,10,0.9,0.449999955000005,"AUCell","Standard",TRUE,"kmeans"
"Monocytes (PLA−)",0,426,0,4101,-0.129012579865795,4527,0.905897945659377,0.452948972729634,"AUCell","Standard",TRUE,"kmeans"
"NK / Dendritic cells",0,0,0,0,1.18928007428555,11,0,0,"AUCell","Standard",TRUE,"kmeans"
"NK cells",0,0,0,0,-0.267530080909233,34,0,0,"AUCell","Standard",TRUE,"kmeans"
"NK cells (PLA+)",0,0,4,0,-0.648990970091995,4,0,0,"AUCell","Standard",TRUE,"kmeans"
"NK cells (PLA−)",0,2,0,92,-0.086673064049743,94,0.978723404255319,0.489361696921684,"AUCell","Standard",TRUE,"kmeans"
"Neutrophils",0,0,0,0,-0.104013047070428,92,0,0,"AUCell","Standard",TRUE,"kmeans"
"Neutrophils (PLA+)",34,0,36,0,0.498724867739679,70,0.485714285714286,0.242857139387755,"AUCell","Standard",TRUE,"kmeans"
"Neutrophils (PLA−)",0,46,0,558,-0.172808911297423,604,0.923841059602649,0.461920529036555,"AUCell","Standard",TRUE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,0.939591529764424,48,0,0,"AUCell","Standard",TRUE,"kmeans"
"Non-B cells",0,0,0,0,1.02686319054611,857,0,0,"AUCell","Standard",TRUE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,0.403918747750904,73,0,0,"AUCell","Standard",TRUE,"kmeans"
"Non-cDCs",0,0,0,0,0.00118938394489514,12,0,0,"AUCell","Standard",TRUE,"kmeans"
"Non-classical monocytes (PLA+)",12,0,212,0,-0.288478468383875,224,0.0535714285714286,0.0267857141661352,"AUCell","Standard",TRUE,"kmeans"
"Non-classical monocytes (PLA−)",0,90,0,1327,-0.220927368502995,1417,0.936485532815808,0.468242766077457,"AUCell","Standard",TRUE,"kmeans"
"Other immune cells",0,0,0,0,-0.0907636734745922,11,0,0,"AUCell","Standard",TRUE,"kmeans"
"R11",0,0,0,0,-0.371196072397401,512,0,0,"AUCell","Standard",TRUE,"kmeans"
"R13",0,0,0,0,-0.35347178207906,204,0,0,"AUCell","Standard",TRUE,"kmeans"
"R40",0,0,0,0,0.113187351212279,247,0,0,"AUCell","Standard",TRUE,"kmeans"
"Singlets",0,0,0,0,0.239965169335816,1220,0,0,"AUCell","Standard",TRUE,"kmeans"
"Total B cells",0,0,0,0,-0.861303205369478,1,0,0,"AUCell","Standard",TRUE,"kmeans"
NA,0,0,0,0,-0.152541993012885,260,0,0,"AUCell","Standard",TRUE,"kmeans"
