"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",4,0,66,0,-0.704874435640388,70,0.0571428571428571,0.0285714281632653,"AUCell","Standard",TRUE,"youden"
"B cells (PLA−)",0,20,0,570,-0.724636892886867,590,0.966101694915254,0.483050846638897,"AUCell","Standard",TRUE,"youden"
"CD4 T cells",0,0,0,0,-0.525797450856913,6,0,0,"AUCell","Standard",TRUE,"youden"
"CD4 T cells (PLA+)",34,0,417,0,-0.464202985385749,451,0.0753880266075388,0.0376940132201907,"AUCell","Standard",TRUE,"youden"
"CD4 T cells (PLA−)",0,114,0,2580,-0.610195597787095,2694,0.957683741648107,0.47884187064631,"AUCell","Standard",TRUE,"youden"
"CD8 T cells",0,0,0,0,-1.30124064416083,4,0,0,"AUCell","Standard",TRUE,"youden"
"CD8 T cells (PLA+)",5,0,63,0,-0.650914220474626,68,0.0735294117647059,0.0367647053416955,"AUCell","Standard",TRUE,"youden"
"CD8 T cells (PLA−)",0,110,0,1322,-0.397818869890608,1432,0.923184357541899,0.461592178448609,"AUCell","Standard",TRUE,"youden"
"Classical monocytes (PLA+)",154,0,33,0,1.20267421849232,187,0.823529411764706,0.411764703680403,"AUCell","Standard",TRUE,"youden"
"Classical monocytes (PLA−)",0,1806,0,383,1.1584949448053,2189,0.174965737779808,0.0874828688499393,"AUCell","Standard",TRUE,"youden"
"Dendritic cells",0,0,0,0,0.791255772141219,4,0,0,"AUCell","Standard",TRUE,"youden"
"Dendritic cells (PLA−)",0,7,0,4,0.96662123884835,11,0.363636363636364,0.181818165289258,"AUCell","Standard",TRUE,"youden"
"Early NK cells (PLA+)",5,0,18,0,0.087884896239743,23,0.217391304347826,0.108695647448015,"AUCell","Standard",TRUE,"youden"
"Early NK cells (PLA−)",0,18,0,75,-0.115360060434934,93,0.806451612903226,0.403225802115852,"AUCell","Standard",TRUE,"youden"
"Intermediate monocytes (PLA+)",11,0,3,0,0.9585159541518,14,0.785714285714286,0.39285711479592,"AUCell","Standard",TRUE,"youden"
"Intermediate monocytes (PLA−)",0,193,0,60,0.941717422116082,253,0.237154150197628,0.11857707463013,"AUCell","Standard",TRUE,"youden"
"Monocytes (PLA+)",9,0,1,0,1.06374383394764,10,0.9,0.449999955000005,"AUCell","Standard",TRUE,"youden"
"Monocytes (PLA−)",0,719,0,3808,-0.129012579865795,4527,0.841175171195052,0.420587585504619,"AUCell","Standard",TRUE,"youden"
"NK / Dendritic cells",0,0,0,0,1.18928007428555,11,0,0,"AUCell","Standard",TRUE,"youden"
"NK cells",0,0,0,0,-0.267530080909233,34,0,0,"AUCell","Standard",TRUE,"youden"
"NK cells (PLA+)",0,0,4,0,-0.648990970091995,4,0,0,"AUCell","Standard",TRUE,"youden"
"NK cells (PLA−)",0,16,0,78,-0.086673064049743,94,0.829787234042553,0.414893612607515,"AUCell","Standard",TRUE,"youden"
"Neutrophils",0,0,0,0,-0.104013047070428,92,0,0,"AUCell","Standard",TRUE,"youden"
"Neutrophils (PLA+)",37,0,33,0,0.498724867739679,70,0.528571428571429,0.264285710510204,"AUCell","Standard",TRUE,"youden"
"Neutrophils (PLA−)",0,76,0,528,-0.172808911297423,604,0.874172185430464,0.437086091991579,"AUCell","Standard",TRUE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.939591529764424,48,0,0,"AUCell","Standard",TRUE,"youden"
"Non-B cells",0,0,0,0,1.02686319054611,857,0,0,"AUCell","Standard",TRUE,"youden"
"Non-T / Non-NK cells",0,0,0,0,0.403918747750904,73,0,0,"AUCell","Standard",TRUE,"youden"
"Non-cDCs",0,0,0,0,0.00118938394489514,12,0,0,"AUCell","Standard",TRUE,"youden"
"Non-classical monocytes (PLA+)",31,0,193,0,-0.288478468383875,224,0.138392857142857,0.0691964282625159,"AUCell","Standard",TRUE,"youden"
"Non-classical monocytes (PLA−)",0,162,0,1255,-0.220927368502995,1417,0.885673959068454,0.44283697922171,"AUCell","Standard",TRUE,"youden"
"Other immune cells",0,0,0,0,-0.0907636734745922,11,0,0,"AUCell","Standard",TRUE,"youden"
"R11",0,0,0,0,-0.371196072397401,512,0,0,"AUCell","Standard",TRUE,"youden"
"R13",0,0,0,0,-0.35347178207906,204,0,0,"AUCell","Standard",TRUE,"youden"
"R40",0,0,0,0,0.113187351212279,247,0,0,"AUCell","Standard",TRUE,"youden"
"Singlets",0,0,0,0,0.239965169335816,1220,0,0,"AUCell","Standard",TRUE,"youden"
"Total B cells",0,0,0,0,-0.861303205369478,1,0,0,"AUCell","Standard",TRUE,"youden"
NA,0,0,0,0,-0.152541993012885,260,0,0,"AUCell","Standard",TRUE,"youden"
