"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",5,0,65,0,-0.686325356071974,70,0.0714285714285714,0.0357142852040816,"AddModuleScore","Standard",FALSE,"youden"
"B cells (PLA−)",0,20,0,570,-0.727899505817673,590,0.966101694915254,0.483050846638897,"AddModuleScore","Standard",FALSE,"youden"
"CD4 T cells",0,0,0,0,-0.400822848671394,6,0,0,"AddModuleScore","Standard",FALSE,"youden"
"CD4 T cells (PLA+)",48,0,403,0,-0.328326924372775,451,0.106430155210643,0.053215077487328,"AddModuleScore","Standard",FALSE,"youden"
"CD4 T cells (PLA−)",0,205,0,2489,-0.445061246152811,2694,0.923904974016333,0.461952486836692,"AddModuleScore","Standard",FALSE,"youden"
"CD8 T cells",0,0,0,0,-1.39044009780401,4,0,0,"AddModuleScore","Standard",FALSE,"youden"
"CD8 T cells (PLA+)",6,0,62,0,-0.551946388111602,68,0.0882352941176471,0.0441176464100346,"AddModuleScore","Standard",FALSE,"youden"
"CD8 T cells (PLA−)",0,231,0,1201,-0.0919467362487649,1432,0.838687150837989,0.419343575126157,"AddModuleScore","Standard",FALSE,"youden"
"Classical monocytes (PLA+)",126,0,61,0,1.04422930476556,187,0.67379679144385,0.336898393920329,"AddModuleScore","Standard",FALSE,"youden"
"Classical monocytes (PLA−)",0,1387,0,802,0.979467029044162,2189,0.366377341251713,0.183188670542171,"AddModuleScore","Standard",FALSE,"youden"
"Dendritic cells",0,0,0,0,0.860048918034851,4,0,0,"AddModuleScore","Standard",FALSE,"youden"
"Dendritic cells (PLA−)",0,6,0,5,0.920277924404249,11,0.454545454545455,0.227272706611572,"AddModuleScore","Standard",FALSE,"youden"
"Early NK cells (PLA+)",5,0,18,0,0.222336271313244,23,0.217391304347826,0.108695647448015,"AddModuleScore","Standard",FALSE,"youden"
"Early NK cells (PLA−)",0,26,0,67,0.253740552333856,93,0.720430107526882,0.360215049890161,"AddModuleScore","Standard",FALSE,"youden"
"Intermediate monocytes (PLA+)",9,0,5,0,0.835984235333403,14,0.642857142857143,0.321428548469389,"AddModuleScore","Standard",FALSE,"youden"
"Intermediate monocytes (PLA−)",0,141,0,112,0.750695731030894,253,0.442687747035573,0.22134387264291,"AddModuleScore","Standard",FALSE,"youden"
"Monocytes (PLA+)",5,0,5,0,0.772007112255523,10,0.5,0.249999975000003,"AddModuleScore","Standard",FALSE,"youden"
"Monocytes (PLA−)",0,547,0,3980,-0.19398998416637,4527,0.879169427877181,0.439584713841488,"AddModuleScore","Standard",FALSE,"youden"
"NK / Dendritic cells",0,0,0,0,1.24091600931094,11,0,0,"AddModuleScore","Standard",FALSE,"youden"
"NK cells",0,0,0,0,-0.00238755665143676,34,0,0,"AddModuleScore","Standard",FALSE,"youden"
"NK cells (PLA+)",0,0,4,0,-0.383135276991506,4,0,0,"AddModuleScore","Standard",FALSE,"youden"
"NK cells (PLA−)",0,30,0,64,0.380917757729565,94,0.680851063829787,0.340425528293345,"AddModuleScore","Standard",FALSE,"youden"
"Neutrophils",0,0,0,0,0.052432688207869,92,0,0,"AddModuleScore","Standard",FALSE,"youden"
"Neutrophils (PLA+)",25,0,45,0,0.404041270897358,70,0.357142857142857,0.178571426020408,"AddModuleScore","Standard",FALSE,"youden"
"Neutrophils (PLA−)",0,58,0,546,-0.198486053059239,604,0.903973509933775,0.451986754218565,"AddModuleScore","Standard",FALSE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.667627121362379,48,0,0,"AddModuleScore","Standard",FALSE,"youden"
"Non-B cells",0,0,0,0,0.857307698003817,857,0,0,"AddModuleScore","Standard",FALSE,"youden"
"Non-T / Non-NK cells",0,0,0,0,0.324890469191847,73,0,0,"AddModuleScore","Standard",FALSE,"youden"
"Non-cDCs",0,0,0,0,0.168978335333768,12,0,0,"AddModuleScore","Standard",FALSE,"youden"
"Non-classical monocytes (PLA+)",24,0,200,0,-0.395837134675773,224,0.107142857142857,0.0535714283322704,"AddModuleScore","Standard",FALSE,"youden"
"Non-classical monocytes (PLA−)",0,99,0,1318,-0.360453266902547,1417,0.930134086097389,0.465067042720489,"AddModuleScore","Standard",FALSE,"youden"
"Other immune cells",0,0,0,0,-0.0899113298312686,11,0,0,"AddModuleScore","Standard",FALSE,"youden"
"R11",0,0,0,0,-0.129241545069382,512,0,0,"AddModuleScore","Standard",FALSE,"youden"
"R13",0,0,0,0,-0.168334785349447,204,0,0,"AddModuleScore","Standard",FALSE,"youden"
"R40",0,0,0,0,0.037004639353954,247,0,0,"AddModuleScore","Standard",FALSE,"youden"
"Singlets",0,0,0,0,0.242681489545132,1220,0,0,"AddModuleScore","Standard",FALSE,"youden"
"Total B cells",0,0,0,0,-1.10700560910088,1,0,0,"AddModuleScore","Standard",FALSE,"youden"
NA,0,0,0,0,-0.260602440704204,260,0,0,"AddModuleScore","Standard",FALSE,"youden"
