"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,68,0,-0.728700114968764,70,0.0285714285714286,0.0142857140816327,"AddModuleScore","Standard",TRUE,"kmeans"
"B cells (PLA−)",0,6,0,584,-0.782312170845708,590,0.989830508474576,0.494915253398449,"AddModuleScore","Standard",TRUE,"kmeans"
"CD4 T cells",0,0,0,0,-0.704446860035903,6,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"CD4 T cells (PLA+)",25,0,426,0,-0.408108983275717,451,0.0554323725055432,0.0277161861913167,"AddModuleScore","Standard",TRUE,"kmeans"
"CD4 T cells (PLA−)",0,31,0,2663,-0.660073551583807,2694,0.988492947290275,0.494246473461675,"AddModuleScore","Standard",TRUE,"kmeans"
"CD8 T cells",0,0,0,0,-1.25054492077574,4,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"CD8 T cells (PLA+)",0,0,68,0,-0.707970629479062,68,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"CD8 T cells (PLA−)",0,13,0,1419,-0.381296358816576,1432,0.990921787709497,0.495460893508756,"AddModuleScore","Standard",TRUE,"kmeans"
"Classical monocytes (PLA+)",155,0,32,0,0.991424608158062,187,0.828877005347594,0.414438500457548,"AddModuleScore","Standard",TRUE,"kmeans"
"Classical monocytes (PLA−)",0,1727,0,462,0.915494936164936,2189,0.21105527638191,0.105527638142747,"AddModuleScore","Standard",TRUE,"kmeans"
"Dendritic cells",0,0,0,0,0.643054517555285,4,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Dendritic cells (PLA−)",0,4,0,7,0.62995148852746,11,0.636363636363636,0.318181789256201,"AddModuleScore","Standard",TRUE,"kmeans"
"Early NK cells (PLA+)",3,0,20,0,0.327773266396576,23,0.130434782608696,0.0652173884688092,"AddModuleScore","Standard",TRUE,"kmeans"
"Early NK cells (PLA−)",0,8,0,85,-0.0179713765245422,93,0.913978494623656,0.456989242397965,"AddModuleScore","Standard",TRUE,"kmeans"
"Intermediate monocytes (PLA+)",10,0,4,0,1.08106203494129,14,0.714285714285714,0.357142831632655,"AddModuleScore","Standard",TRUE,"kmeans"
"Intermediate monocytes (PLA−)",0,169,0,84,0.771271043273153,253,0.33201581027668,0.166007904482182,"AddModuleScore","Standard",TRUE,"kmeans"
"Monocytes (PLA+)",7,0,3,0,0.812994699730831,10,0.7,0.349999965000004,"AddModuleScore","Standard",TRUE,"kmeans"
"Monocytes (PLA−)",0,742,0,3785,0.00743957623928292,4527,0.836094543848023,0.418047271831666,"AddModuleScore","Standard",TRUE,"kmeans"
"NK / Dendritic cells",0,0,0,0,1.34771230892152,11,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"NK cells",0,0,0,0,-0.309260716340907,34,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"NK cells (PLA+)",0,0,4,0,-0.51090612861941,4,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"NK cells (PLA−)",0,6,0,88,0.0193515586764166,94,0.936170212765957,0.46808510140335,"AddModuleScore","Standard",TRUE,"kmeans"
"Neutrophils",0,0,0,0,-0.00294823353239271,92,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Neutrophils (PLA+)",35,0,35,0,0.539244033639266,70,0.5,0.249999996428571,"AddModuleScore","Standard",TRUE,"kmeans"
"Neutrophils (PLA−)",0,92,0,512,-0.0250661294122194,604,0.847682119205298,0.423841058900925,"AddModuleScore","Standard",TRUE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,1.23827178495475,48,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Non-B cells",0,0,0,0,0.784518159492851,857,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,0.621020322046401,73,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Non-cDCs",0,0,0,0,-0.0306884640146563,12,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Non-classical monocytes (PLA+)",26,0,198,0,-0.128648342797275,224,0.116071428571429,0.0580357140266263,"AddModuleScore","Standard",TRUE,"kmeans"
"Non-classical monocytes (PLA−)",0,187,0,1230,-0.0782250464362501,1417,0.86803105151729,0.434015525452353,"AddModuleScore","Standard",TRUE,"kmeans"
"Other immune cells",0,0,0,0,-0.00954783749522455,11,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"R11",0,0,0,0,-0.308598825981494,512,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"R13",0,0,0,0,-0.480492701968902,204,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"R40",0,0,0,0,0.301923575053582,247,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Singlets",0,0,0,0,0.166093124695902,1220,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Total B cells",0,0,0,0,-1.24710778489136,1,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
NA,0,0,0,0,-0.238198305394103,260,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
