"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,68,0,-0.728700114968764,70,0.0285714285714286,0.0142857140816327,"AddModuleScore","Standard",TRUE,"youden"
"B cells (PLA−)",0,4,0,586,-0.782312170845708,590,0.993220338983051,0.496610168649813,"AddModuleScore","Standard",TRUE,"youden"
"CD4 T cells",0,0,0,0,-0.704446860035903,6,0,0,"AddModuleScore","Standard",TRUE,"youden"
"CD4 T cells (PLA+)",21,0,430,0,-0.408108983275717,451,0.0465631929046563,0.023281596400706,"AddModuleScore","Standard",TRUE,"youden"
"CD4 T cells (PLA−)",0,35,0,2659,-0.660073551583807,2694,0.987008166295471,0.493504082964549,"AddModuleScore","Standard",TRUE,"youden"
"CD8 T cells",0,0,0,0,-1.25054492077574,4,0,0,"AddModuleScore","Standard",TRUE,"youden"
"CD8 T cells (PLA+)",1,0,67,0,-0.707970629479062,68,0.0147058823529412,0.0073529410683391,"AddModuleScore","Standard",TRUE,"youden"
"CD8 T cells (PLA−)",0,34,0,1398,-0.381296358816576,1432,0.976256983240223,0.48812849127924,"AddModuleScore","Standard",TRUE,"youden"
"Classical monocytes (PLA+)",89,0,98,0,0.991424608158062,187,0.475935828877005,0.237967913165947,"AddModuleScore","Standard",TRUE,"youden"
"Classical monocytes (PLA−)",0,930,0,1259,0.915494936164936,2189,0.575148469620831,0.287574234679043,"AddModuleScore","Standard",TRUE,"youden"
"Dendritic cells",0,0,0,0,0.643054517555285,4,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Dendritic cells (PLA−)",0,4,0,7,0.62995148852746,11,0.636363636363636,0.318181789256201,"AddModuleScore","Standard",TRUE,"youden"
"Early NK cells (PLA+)",3,0,20,0,0.327773266396576,23,0.130434782608696,0.0652173884688092,"AddModuleScore","Standard",TRUE,"youden"
"Early NK cells (PLA−)",0,10,0,83,-0.0179713765245422,93,0.89247311827957,0.446236554341542,"AddModuleScore","Standard",TRUE,"youden"
"Intermediate monocytes (PLA+)",8,0,6,0,1.08106203494129,14,0.571428571428571,0.285714265306124,"AddModuleScore","Standard",TRUE,"youden"
"Intermediate monocytes (PLA−)",0,92,0,161,0.771271043273153,253,0.636363636363636,0.318181816924183,"AddModuleScore","Standard",TRUE,"youden"
"Monocytes (PLA+)",5,0,5,0,0.812994699730831,10,0.5,0.249999975000003,"AddModuleScore","Standard",TRUE,"youden"
"Monocytes (PLA−)",0,323,0,4204,0.00743957623928292,4527,0.92865032030042,0.464325160047642,"AddModuleScore","Standard",TRUE,"youden"
"NK / Dendritic cells",0,0,0,0,1.34771230892152,11,0,0,"AddModuleScore","Standard",TRUE,"youden"
"NK cells",0,0,0,0,-0.309260716340907,34,0,0,"AddModuleScore","Standard",TRUE,"youden"
"NK cells (PLA+)",0,0,4,0,-0.51090612861941,4,0,0,"AddModuleScore","Standard",TRUE,"youden"
"NK cells (PLA−)",0,9,0,85,0.0193515586764166,94,0.904255319148936,0.452127654764599,"AddModuleScore","Standard",TRUE,"youden"
"Neutrophils",0,0,0,0,-0.00294823353239271,92,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Neutrophils (PLA+)",16,0,54,0,0.539244033639266,70,0.228571428571429,0.114285712653061,"AddModuleScore","Standard",TRUE,"youden"
"Neutrophils (PLA−)",0,32,0,572,-0.0250661294122194,604,0.947019867549669,0.473509932990878,"AddModuleScore","Standard",TRUE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,1.23827178495475,48,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Non-B cells",0,0,0,0,0.784518159492851,857,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Non-T / Non-NK cells",0,0,0,0,0.621020322046401,73,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Non-cDCs",0,0,0,0,-0.0306884640146563,12,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Non-classical monocytes (PLA+)",16,0,208,0,-0.128648342797275,224,0.0714285714285714,0.0357142855548469,"AddModuleScore","Standard",TRUE,"youden"
"Non-classical monocytes (PLA−)",0,78,0,1339,-0.0782250464362501,1417,0.944954128440367,0.472477063886749,"AddModuleScore","Standard",TRUE,"youden"
"Other immune cells",0,0,0,0,-0.00954783749522455,11,0,0,"AddModuleScore","Standard",TRUE,"youden"
"R11",0,0,0,0,-0.308598825981494,512,0,0,"AddModuleScore","Standard",TRUE,"youden"
"R13",0,0,0,0,-0.480492701968902,204,0,0,"AddModuleScore","Standard",TRUE,"youden"
"R40",0,0,0,0,0.301923575053582,247,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Singlets",0,0,0,0,0.166093124695902,1220,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Total B cells",0,0,0,0,-1.24710778489136,1,0,0,"AddModuleScore","Standard",TRUE,"youden"
NA,0,0,0,0,-0.238198305394103,260,0,0,"AddModuleScore","Standard",TRUE,"youden"
