"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",17,0,63,0,-0.697077938713149,80,0.2125,0.106249998671875,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"B cells (PLA−)",0,38,0,564,-0.947695646876769,602,0.93687707641196,0.468438537427843,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.422080158092619,6,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",129,0,398,0,-0.554446070134644,527,0.244781783681214,0.122390891608366,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,419,0,2303,-0.730460059253285,2722,0.846069066862601,0.423034533275887,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-0.219520782081796,4,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",13,0,57,0,-0.557756837849497,70,0.185714285714286,0.0928571415306123,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,449,0,984,-0.345282521258711,1433,0.686671318911375,0.343335659216095,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",214,0,36,0,0.849269564657435,250,0.856,0.427999998288,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,2059,0,167,1.0475700996226,2226,0.0750224618149146,0.0375112308906059,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,-0.219829718598335,7,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,24,0,12,0.321238263840336,36,0.333333333333333,0.166666662037037,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA+)",16,0,9,0,0.209236144524003,25,0.64,0.319999987200001,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,45,0,50,-0.093241192366594,95,0.526315789473684,0.263157891966759,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",20,0,11,0,0.447285802077446,31,0.645161290322581,0.322580634755463,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,243,0,23,1.06765508417016,266,0.0864661654135338,0.0432330825442365,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Monocytes (PLA+)",11,0,1,0,0.778859060533826,12,0.916666666666667,0.458333295138892,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,3036,0,1559,0.301304970856575,4595,0.339281828073993,0.169640914000078,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,1.03729475450269,14,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"NK cells",0,0,0,0,-0.223685246324744,35,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"NK cells (PLA+)",2,0,2,0,-0.126963401726673,4,0.5,0.249999937500016,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"NK cells (PLA−)",0,39,0,59,-0.200490292662986,98,0.602040816326531,0.301020405091629,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,-0.258298820443776,7071,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Neutrophils (PLA+)",58,0,27,0,0.535923499084966,85,0.682352941176471,0.341176466574395,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,432,0,248,0.273998579177046,680,0.364705882352941,0.182352940908305,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,0.50731824067343,53,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,0.741196159018117,1277,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,-0.10878516946894,6912,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Non-cDCs",0,0,0,0,0.0242943882630178,25,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Non-classical monocytes (PLA+)",158,0,94,0,0.247934493721523,252,0.626984126984127,0.313492062248047,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Non-classical monocytes (PLA−)",0,1030,0,409,0.4197429810515,1439,0.284225156358582,0.142112578080533,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Other immune cells",0,0,0,0,0.481579748552106,11,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Plasmacytoid DCs",0,0,0,0,0.25552060151654,3,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"R11",0,0,0,0,-0.313988487266854,535,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"R13",0,0,0,0,-0.499132247215505,248,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"R16",0,0,0,0,0.333228433310016,4,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"R40",0,0,0,0,0.234357657988695,273,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Singlets",0,0,0,0,0.166021560724552,1795,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Total B cells",0,0,0,0,-0.424098543334008,2,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
NA,0,0,0,0,-0.32758027164052,475,0,0,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
