"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",3,0,77,0,-0.697077938713149,80,0.0375,0.018749999765625,"AUCell","GOBP_REG",FALSE,"kmeans"
"B cells (PLA−)",0,7,0,595,-0.947695646876769,602,0.988372093023256,0.494186045690721,"AUCell","GOBP_REG",FALSE,"kmeans"
"CD4 T cells",0,0,0,0,-0.422080158092619,6,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"CD4 T cells (PLA+)",16,0,511,0,-0.554446070134644,527,0.0303605313092979,0.0151802656258439,"AUCell","GOBP_REG",FALSE,"kmeans"
"CD4 T cells (PLA−)",0,32,0,2690,-0.730460059253285,2722,0.988243938280676,0.494121968958809,"AUCell","GOBP_REG",FALSE,"kmeans"
"CD8 T cells",0,0,0,0,-0.219520782081796,4,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"CD8 T cells (PLA+)",0,0,70,0,-0.557756837849497,70,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"CD8 T cells (PLA−)",0,1,0,1432,-0.345282521258711,1433,0.999302163293789,0.49965108129822,"AUCell","GOBP_REG",FALSE,"kmeans"
"Classical monocytes (PLA+)",168,0,82,0,0.849269564657435,250,0.672,0.335999998656,"AUCell","GOBP_REG",FALSE,"kmeans"
"Classical monocytes (PLA−)",0,1837,0,389,1.0475700996226,2226,0.174752920035939,0.0873764599787168,"AUCell","GOBP_REG",FALSE,"kmeans"
"Dendritic cells",0,0,0,0,-0.219829718598335,7,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Dendritic cells (PLA−)",0,8,0,28,0.321238263840336,36,0.777777777777778,0.38888887808642,"AUCell","GOBP_REG",FALSE,"kmeans"
"Early NK cells (PLA+)",3,0,22,0,0.209236144524003,25,0.12,0.0599999976000001,"AUCell","GOBP_REG",FALSE,"kmeans"
"Early NK cells (PLA−)",0,8,0,87,-0.093241192366594,95,0.91578947368421,0.457894732022161,"AUCell","GOBP_REG",FALSE,"kmeans"
"Intermediate monocytes (PLA+)",12,0,19,0,0.447285802077446,31,0.387096774193548,0.193548380853278,"AUCell","GOBP_REG",FALSE,"kmeans"
"Intermediate monocytes (PLA−)",0,199,0,67,1.06765508417016,266,0.25187969924812,0.125939849150602,"AUCell","GOBP_REG",FALSE,"kmeans"
"Monocytes (PLA+)",7,0,5,0,0.778859060533826,12,0.583333333333333,0.291666642361113,"AUCell","GOBP_REG",FALSE,"kmeans"
"Monocytes (PLA−)",0,960,0,3635,0.301304970856575,4595,0.79107725788901,0.395538628858425,"AUCell","GOBP_REG",FALSE,"kmeans"
"NK / Dendritic cells",0,0,0,0,1.03729475450269,14,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"NK cells",0,0,0,0,-0.223685246324744,35,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"NK cells (PLA+)",0,0,4,0,-0.126963401726673,4,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"NK cells (PLA−)",0,2,0,96,-0.200490292662986,98,0.979591836734694,0.489795913369429,"AUCell","GOBP_REG",FALSE,"kmeans"
"Neutrophils",0,0,0,0,-0.258298820443776,7071,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Neutrophils (PLA+)",35,0,50,0,0.535923499084966,85,0.411764705882353,0.205882350519031,"AUCell","GOBP_REG",FALSE,"kmeans"
"Neutrophils (PLA−)",0,132,0,548,0.273998579177046,680,0.805882352941176,0.402941175878028,"AUCell","GOBP_REG",FALSE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,0.50731824067343,53,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Non-B cells",0,0,0,0,0.741196159018117,1277,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,-0.10878516946894,6912,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Non-cDCs",0,0,0,0,0.0242943882630178,25,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Non-classical monocytes (PLA+)",42,0,210,0,0.247934493721523,252,0.166666666666667,0.0833333330026455,"AUCell","GOBP_REG",FALSE,"kmeans"
"Non-classical monocytes (PLA−)",0,336,0,1103,0.4197429810515,1439,0.766504517025712,0.383252258246524,"AUCell","GOBP_REG",FALSE,"kmeans"
"Other immune cells",0,0,0,0,0.481579748552106,11,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Plasmacytoid DCs",0,0,0,0,0.25552060151654,3,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"R11",0,0,0,0,-0.313988487266854,535,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"R13",0,0,0,0,-0.499132247215505,248,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"R16",0,0,0,0,0.333228433310016,4,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"R40",0,0,0,0,0.234357657988695,273,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Singlets",0,0,0,0,0.166021560724552,1795,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Total B cells",0,0,0,0,-0.424098543334008,2,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
NA,0,0,0,0,-0.32758027164052,475,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
