"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",0,0,80,0,-0.697077938713149,80,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"B cells (PLA−)",0,0,0,602,-0.947695646876769,602,1,0.499999999169435,"AUCell","GOBP_REG",FALSE,"youden"
"CD4 T cells",0,0,0,0,-0.422080158092619,6,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"CD4 T cells (PLA+)",2,0,525,0,-0.554446070134644,527,0.00379506641366224,0.00189753320323049,"AUCell","GOBP_REG",FALSE,"youden"
"CD4 T cells (PLA−)",0,1,0,2721,-0.730460059253285,2722,0.999632623071271,0.499816311352015,"AUCell","GOBP_REG",FALSE,"youden"
"CD8 T cells",0,0,0,0,-0.219520782081796,4,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"CD8 T cells (PLA+)",0,0,70,0,-0.557756837849497,70,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"CD8 T cells (PLA−)",0,0,0,1433,-0.345282521258711,1433,1,0.499999999651082,"AUCell","GOBP_REG",FALSE,"youden"
"Classical monocytes (PLA+)",4,0,246,0,0.849269564657435,250,0.016,0.007999999968,"AUCell","GOBP_REG",FALSE,"youden"
"Classical monocytes (PLA−)",0,20,0,2206,1.0475700996226,2226,0.991015274034142,0.495507636794471,"AUCell","GOBP_REG",FALSE,"youden"
"Dendritic cells",0,0,0,0,-0.219829718598335,7,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Dendritic cells (PLA−)",0,0,0,36,0.321238263840336,36,1,0.499999986111112,"AUCell","GOBP_REG",FALSE,"youden"
"Early NK cells (PLA+)",0,0,25,0,0.209236144524003,25,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Early NK cells (PLA−)",0,0,0,95,-0.093241192366594,95,1,0.499999994736842,"AUCell","GOBP_REG",FALSE,"youden"
"Intermediate monocytes (PLA+)",0,0,31,0,0.447285802077446,31,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Intermediate monocytes (PLA−)",0,6,0,260,1.06765508417016,266,0.977443609022556,0.488721802673978,"AUCell","GOBP_REG",FALSE,"youden"
"Monocytes (PLA+)",0,0,12,0,0.778859060533826,12,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Monocytes (PLA−)",0,16,0,4579,0.301304970856575,4595,0.99651795429815,0.49825897704064,"AUCell","GOBP_REG",FALSE,"youden"
"NK / Dendritic cells",0,0,0,0,1.03729475450269,14,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"NK cells",0,0,0,0,-0.223685246324744,35,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"NK cells (PLA+)",0,0,4,0,-0.126963401726673,4,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"NK cells (PLA−)",0,0,0,98,-0.200490292662986,98,1,0.499999994897959,"AUCell","GOBP_REG",FALSE,"youden"
"Neutrophils",0,0,0,0,-0.258298820443776,7071,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Neutrophils (PLA+)",0,0,85,0,0.535923499084966,85,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Neutrophils (PLA−)",0,1,0,679,0.273998579177046,680,0.998529411764706,0.49926470514814,"AUCell","GOBP_REG",FALSE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.50731824067343,53,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Non-B cells",0,0,0,0,0.741196159018117,1277,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Non-T / Non-NK cells",0,0,0,0,-0.10878516946894,6912,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Non-cDCs",0,0,0,0,0.0242943882630178,25,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Non-classical monocytes (PLA+)",0,0,252,0,0.247934493721523,252,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Non-classical monocytes (PLA−)",0,10,0,1429,0.4197429810515,1439,0.993050729673384,0.496525364491643,"AUCell","GOBP_REG",FALSE,"youden"
"Other immune cells",0,0,0,0,0.481579748552106,11,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Plasmacytoid DCs",0,0,0,0,0.25552060151654,3,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"R11",0,0,0,0,-0.313988487266854,535,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"R13",0,0,0,0,-0.499132247215505,248,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"R16",0,0,0,0,0.333228433310016,4,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"R40",0,0,0,0,0.234357657988695,273,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Singlets",0,0,0,0,0.166021560724552,1795,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Total B cells",0,0,0,0,-0.424098543334008,2,0,0,"AUCell","GOBP_REG",FALSE,"youden"
NA,0,0,0,0,-0.32758027164052,475,0,0,"AUCell","GOBP_REG",FALSE,"youden"
