"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",12,0,68,0,-0.733894147275095,80,0.15,0.0749999990625,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"B cells (PLA−)",0,25,0,577,-0.950196282755298,602,0.958471760797342,0.479235879602598,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.596167141760337,6,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",114,0,413,0,-0.589650417721129,527,0.216318785578748,0.108159392584138,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,238,0,2484,-0.812235671729346,2722,0.912564290962528,0.456282145313636,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-0.420923399325445,4,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",8,0,62,0,-0.669302891033598,70,0.114285714285714,0.0571428563265306,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,252,0,1181,-0.52007384664384,1433,0.824145150034892,0.412072574729887,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",225,0,25,0,0.833320910802221,250,0.9,0.4499999982,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,2122,0,104,0.990438222980189,2226,0.0467205750224618,0.0233602875007366,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,-0.155904507174378,7,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,26,0,10,0.278671263684172,36,0.277777777777778,0.138888885030864,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA+)",15,0,10,0,0.344159640425469,25,0.6,0.299999988,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,34,0,61,-0.295081270641923,95,0.642105263157895,0.321052628199446,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",27,0,4,0,0.639836089000501,31,0.870967741935484,0.435483856919876,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,245,0,21,0.955468656202925,266,0.0789473684210526,0.039473684062129,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Monocytes (PLA+)",12,0,0,0,1.01840524640084,12,1,0.499999958333337,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,2917,0,1678,0.154397000917349,4595,0.365179542981502,0.182589771451014,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,0.989308380533417,14,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"NK cells",0,0,0,0,-0.415831250611971,35,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"NK cells (PLA+)",1,0,3,0,-0.199135713956521,4,0.25,0.124999968750008,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"NK cells (PLA−)",0,26,0,72,-0.394664894807212,98,0.73469387755102,0.367346935027072,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,-0.180773687368225,7071,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA+)",65,0,20,0,0.564003724007396,85,0.764705882352941,0.382352936678201,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,415,0,265,0.138639633097474,680,0.389705882352941,0.194852940889922,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,0.924172487252609,53,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,0.683672022641582,1277,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,0.0896238788219408,6912,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Non-cDCs",0,0,0,0,0.196650125054185,25,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Non-classical monocytes (PLA+)",146,0,106,0,0.107557924816436,252,0.579365079365079,0.289682538533006,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Non-classical monocytes (PLA−)",0,1013,0,426,0.25016235668624,1439,0.296038915913829,0.148019457854052,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Other immune cells",0,0,0,0,0.175429339580853,11,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Plasmacytoid DCs",0,0,0,0,0.268125720267328,3,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"R11",0,0,0,0,-0.436268488543407,535,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"R13",0,0,0,0,-0.617651838642181,248,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"R16",0,0,0,0,0.469871351917327,4,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"R40",0,0,0,0,0.213804128115155,273,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Singlets",0,0,0,0,0.147373073290396,1795,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Total B cells",0,0,0,0,-0.589210395841372,2,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
NA,0,0,0,0,-0.306364101266186,475,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
