"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,78,0,-0.733894147275095,80,0.025,0.01249999984375,"AUCell","GOBP_REG",TRUE,"kmeans"
"B cells (PLA−)",0,7,0,595,-0.950196282755298,602,0.988372093023256,0.494186045690721,"AUCell","GOBP_REG",TRUE,"kmeans"
"CD4 T cells",0,0,0,0,-0.596167141760337,6,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"CD4 T cells (PLA+)",13,0,514,0,-0.589650417721129,527,0.0246679316888046,0.0123339658209982,"AUCell","GOBP_REG",TRUE,"kmeans"
"CD4 T cells (PLA−)",0,30,0,2692,-0.812235671729346,2722,0.988978692138134,0.494489345887403,"AUCell","GOBP_REG",TRUE,"kmeans"
"CD8 T cells",0,0,0,0,-0.420923399325445,4,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"CD8 T cells (PLA+)",0,0,70,0,-0.669302891033598,70,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"CD8 T cells (PLA−)",0,1,0,1432,-0.52007384664384,1433,0.999302163293789,0.49965108129822,"AUCell","GOBP_REG",TRUE,"kmeans"
"Classical monocytes (PLA+)",168,0,82,0,0.833320910802221,250,0.672,0.335999998656,"AUCell","GOBP_REG",TRUE,"kmeans"
"Classical monocytes (PLA−)",0,1881,0,345,0.990438222980189,2226,0.154986522911051,0.0774932614207128,"AUCell","GOBP_REG",TRUE,"kmeans"
"Dendritic cells",0,0,0,0,-0.155904507174378,7,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"Dendritic cells (PLA−)",0,7,0,29,0.278671263684172,36,0.805555555555556,0.402777766589507,"AUCell","GOBP_REG",TRUE,"kmeans"
"Early NK cells (PLA+)",2,0,23,0,0.344159640425469,25,0.08,0.0399999984000001,"AUCell","GOBP_REG",TRUE,"kmeans"
"Early NK cells (PLA−)",0,5,0,90,-0.295081270641923,95,0.947368421052632,0.473684205540166,"AUCell","GOBP_REG",TRUE,"kmeans"
"Intermediate monocytes (PLA+)",12,0,19,0,0.639836089000501,31,0.387096774193548,0.193548380853278,"AUCell","GOBP_REG",TRUE,"kmeans"
"Intermediate monocytes (PLA−)",0,202,0,64,0.955468656202925,266,0.240601503759398,0.120300751427441,"AUCell","GOBP_REG",TRUE,"kmeans"
"Monocytes (PLA+)",10,0,2,0,1.01840524640084,12,0.833333333333333,0.416666631944447,"AUCell","GOBP_REG",TRUE,"kmeans"
"Monocytes (PLA−)",0,691,0,3904,0.154397000917349,4595,0.84961915125136,0.42480957553323,"AUCell","GOBP_REG",TRUE,"kmeans"
"NK / Dendritic cells",0,0,0,0,0.989308380533417,14,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"NK cells",0,0,0,0,-0.415831250611971,35,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"NK cells (PLA+)",0,0,4,0,-0.199135713956521,4,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"NK cells (PLA−)",0,0,0,98,-0.394664894807212,98,1,0.499999994897959,"AUCell","GOBP_REG",TRUE,"kmeans"
"Neutrophils",0,0,0,0,-0.180773687368225,7071,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"Neutrophils (PLA+)",36,0,49,0,0.564003724007396,85,0.423529411764706,0.211764703391004,"AUCell","GOBP_REG",TRUE,"kmeans"
"Neutrophils (PLA−)",0,100,0,580,0.138639633097474,680,0.852941176470588,0.426470587608132,"AUCell","GOBP_REG",TRUE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,0.924172487252609,53,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"Non-B cells",0,0,0,0,0.683672022641582,1277,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,0.0896238788219408,6912,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"Non-cDCs",0,0,0,0,0.196650125054185,25,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"Non-classical monocytes (PLA+)",29,0,223,0,0.107557924816436,252,0.115079365079365,0.0575396823113505,"AUCell","GOBP_REG",TRUE,"kmeans"
"Non-classical monocytes (PLA−)",0,229,0,1210,0.25016235668624,1439,0.8408617095205,0.420430854468081,"AUCell","GOBP_REG",TRUE,"kmeans"
"Other immune cells",0,0,0,0,0.175429339580853,11,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"Plasmacytoid DCs",0,0,0,0,0.268125720267328,3,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"R11",0,0,0,0,-0.436268488543407,535,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"R13",0,0,0,0,-0.617651838642181,248,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"R16",0,0,0,0,0.469871351917327,4,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"R40",0,0,0,0,0.213804128115155,273,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"Singlets",0,0,0,0,0.147373073290396,1795,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
"Total B cells",0,0,0,0,-0.589210395841372,2,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
NA,0,0,0,0,-0.306364101266186,475,0,0,"AUCell","GOBP_REG",TRUE,"kmeans"
