"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",0,0,80,0,-0.733894147275095,80,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"B cells (PLA−)",0,3,0,599,-0.950196282755298,602,0.995016611295681,0.497508304821415,"AUCell","GOBP_REG",TRUE,"youden"
"CD4 T cells",0,0,0,0,-0.596167141760337,6,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"CD4 T cells (PLA+)",7,0,520,0,-0.589650417721129,527,0.0132827324478178,0.00664136621130671,"AUCell","GOBP_REG",TRUE,"youden"
"CD4 T cells (PLA−)",0,6,0,2716,-0.812235671729346,2722,0.997795738427627,0.49889786903053,"AUCell","GOBP_REG",TRUE,"youden"
"CD8 T cells",0,0,0,0,-0.420923399325445,4,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"CD8 T cells (PLA+)",0,0,70,0,-0.669302891033598,70,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"CD8 T cells (PLA−)",0,1,0,1432,-0.52007384664384,1433,0.999302163293789,0.49965108129822,"AUCell","GOBP_REG",TRUE,"youden"
"Classical monocytes (PLA+)",42,0,208,0,0.833320910802221,250,0.168,0.083999999664,"AUCell","GOBP_REG",TRUE,"youden"
"Classical monocytes (PLA−)",0,422,0,1804,0.990438222980189,2226,0.810422282120395,0.405211140878162,"AUCell","GOBP_REG",TRUE,"youden"
"Dendritic cells",0,0,0,0,-0.155904507174378,7,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"Dendritic cells (PLA−)",0,1,0,35,0.278671263684172,36,0.972222222222222,0.486111097608025,"AUCell","GOBP_REG",TRUE,"youden"
"Early NK cells (PLA+)",1,0,24,0,0.344159640425469,25,0.04,0.0199999992,"AUCell","GOBP_REG",TRUE,"youden"
"Early NK cells (PLA−)",0,0,0,95,-0.295081270641923,95,1,0.499999994736842,"AUCell","GOBP_REG",TRUE,"youden"
"Intermediate monocytes (PLA+)",5,0,26,0,0.639836089000501,31,0.161290322580645,0.0806451586888658,"AUCell","GOBP_REG",TRUE,"youden"
"Intermediate monocytes (PLA−)",0,58,0,208,0.955468656202925,266,0.781954887218045,0.390977442139183,"AUCell","GOBP_REG",TRUE,"youden"
"Monocytes (PLA+)",3,0,9,0,1.01840524640084,12,0.25,0.124999989583334,"AUCell","GOBP_REG",TRUE,"youden"
"Monocytes (PLA−)",0,117,0,4478,0.154397000917349,4595,0.974537540805223,0.487268770296568,"AUCell","GOBP_REG",TRUE,"youden"
"NK / Dendritic cells",0,0,0,0,0.989308380533417,14,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"NK cells",0,0,0,0,-0.415831250611971,35,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"NK cells (PLA+)",0,0,4,0,-0.199135713956521,4,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"NK cells (PLA−)",0,0,0,98,-0.394664894807212,98,1,0.499999994897959,"AUCell","GOBP_REG",TRUE,"youden"
"Neutrophils",0,0,0,0,-0.180773687368225,7071,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"Neutrophils (PLA+)",12,0,73,0,0.564003724007396,85,0.141176470588235,0.0705882344636678,"AUCell","GOBP_REG",TRUE,"youden"
"Neutrophils (PLA−)",0,21,0,659,0.138639633097474,680,0.969117647058824,0.484558822816825,"AUCell","GOBP_REG",TRUE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.924172487252609,53,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"Non-B cells",0,0,0,0,0.683672022641582,1277,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"Non-T / Non-NK cells",0,0,0,0,0.0896238788219408,6912,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"Non-cDCs",0,0,0,0,0.196650125054185,25,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"Non-classical monocytes (PLA+)",6,0,246,0,0.107557924816436,252,0.0238095238095238,0.0119047618575208,"AUCell","GOBP_REG",TRUE,"youden"
"Non-classical monocytes (PLA−)",0,50,0,1389,0.25016235668624,1439,0.965253648366922,0.48262682384807,"AUCell","GOBP_REG",TRUE,"youden"
"Other immune cells",0,0,0,0,0.175429339580853,11,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"Plasmacytoid DCs",0,0,0,0,0.268125720267328,3,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"R11",0,0,0,0,-0.436268488543407,535,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"R13",0,0,0,0,-0.617651838642181,248,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"R16",0,0,0,0,0.469871351917327,4,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"R40",0,0,0,0,0.213804128115155,273,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"Singlets",0,0,0,0,0.147373073290396,1795,0,0,"AUCell","GOBP_REG",TRUE,"youden"
"Total B cells",0,0,0,0,-0.589210395841372,2,0,0,"AUCell","GOBP_REG",TRUE,"youden"
NA,0,0,0,0,-0.306364101266186,475,0,0,"AUCell","GOBP_REG",TRUE,"youden"
