"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",8,0,72,0,-0.677407228855325,80,0.1,0.049999999375,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"B cells (PLA−)",0,14,0,588,-0.944469321186904,602,0.976744186046512,0.488372092212007,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"CD4 T cells",0,0,0,0,-0.317524670771767,6,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"CD4 T cells (PLA+)",91,0,436,0,-0.514527668361206,527,0.172675521821632,0.0863377607469872,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"CD4 T cells (PLA−)",0,100,0,2622,-0.852014757711744,2722,0.963262307127112,0.481631153386616,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"CD8 T cells",0,0,0,0,-0.108082047021099,4,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"CD8 T cells (PLA+)",4,0,66,0,-0.679356036598553,70,0.0571428571428571,0.0285714281632653,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"CD8 T cells (PLA−)",0,98,0,1335,-0.582347647157945,1433,0.931612002791347,0.465806001070617,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical monocytes (PLA+)",214,0,36,0,0.511504156091,250,0.856,0.427999998288,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical monocytes (PLA−)",0,2050,0,176,0.523282054129574,2226,0.0790655884995508,0.0395327942320158,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Dendritic cells",0,0,0,0,-0.117862873097648,7,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Dendritic cells (PLA−)",0,19,0,17,0.428396278576952,36,0.472222222222222,0.236111104552469,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Early NK cells (PLA+)",10,0,15,0,0.406071879243056,25,0.4,0.199999992,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Early NK cells (PLA−)",0,25,0,70,-0.241802204515917,95,0.736842105263158,0.368421048753463,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Intermediate monocytes (PLA+)",20,0,11,0,0.33506461337945,31,0.645161290322581,0.322580634755463,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Intermediate monocytes (PLA−)",0,236,0,30,0.594938459756114,266,0.112781954887218,0.0563909772316129,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Monocytes (PLA+)",10,0,2,0,0.281665999368954,12,0.833333333333333,0.416666631944447,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Monocytes (PLA−)",0,2662,0,1933,0.260156361336418,4595,0.420674646354733,0.210337323131591,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"NK / Dendritic cells",0,0,0,0,0.455050408148892,14,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"NK cells",0,0,0,0,-0.505056609056737,35,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"NK cells (PLA+)",1,0,3,0,0.0739583143788441,4,0.25,0.124999968750008,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"NK cells (PLA−)",0,19,0,79,-0.360641002031685,98,0.806122448979592,0.403061220376926,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Neutrophils",0,0,0,0,-0.0471318054189317,7071,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Neutrophils (PLA+)",49,0,36,0,0.354369448349482,85,0.576470588235294,0.288235290726644,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Neutrophils (PLA−)",0,379,0,301,0.290764983305377,680,0.442647058823529,0.221323529086289,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Non-B / Non-monocyte cells",0,0,0,0,0.542983394771556,53,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Non-B cells",0,0,0,0,0.430887503076662,1277,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Non-T / Non-NK cells",0,0,0,0,0.116724381607463,6912,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Non-cDCs",0,0,0,0,-0.105988263830929,25,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Non-classical monocytes (PLA+)",127,0,125,0,0.310376947664909,252,0.503968253968254,0.25198412598419,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Non-classical monocytes (PLA−)",0,861,0,578,0.395309414462864,1439,0.401667824878388,0.200833912299629,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Other immune cells",0,0,0,0,0.320153063140809,11,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Plasmacytoid DCs",0,0,0,0,0.815336507700998,3,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"R11",0,0,0,0,-0.480077432163556,535,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"R13",0,0,0,0,-0.635076911090721,248,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"R16",0,0,0,0,0.7049419683599,4,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"R40",0,0,0,0,0.200097342020894,273,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Singlets",0,0,0,0,0.0338277275000236,1795,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Total B cells",0,0,0,0,-0.47229050593805,2,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
NA,0,0,0,0,-0.319418633676546,475,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
