"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",1,0,79,0,-0.677407228855325,80,0.0125,0.006249999921875,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"B cells (PLA−)",0,4,0,598,-0.944469321186904,602,0.993355481727575,0.496677740038741,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"CD4 T cells",0,0,0,0,-0.317524670771767,6,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"CD4 T cells (PLA+)",20,0,507,0,-0.514527668361206,527,0.0379506641366224,0.0189753320323049,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"CD4 T cells (PLA−)",0,23,0,2699,-0.852014757711744,2722,0.991550330639236,0.495775165137482,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"CD8 T cells",0,0,0,0,-0.108082047021099,4,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"CD8 T cells (PLA+)",0,0,70,0,-0.679356036598553,70,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"CD8 T cells (PLA−)",0,6,0,1427,-0.582347647157945,1433,0.995812979762736,0.49790648953391,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Classical monocytes (PLA+)",81,0,169,0,0.511504156091,250,0.324,0.161999999352,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Classical monocytes (PLA−)",0,719,0,1507,0.523282054129574,2226,0.676999101527403,0.338499550611635,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Dendritic cells",0,0,0,0,-0.117862873097648,7,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Dendritic cells (PLA−)",0,12,0,24,0.428396278576952,36,0.666666666666667,0.333333324074074,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Early NK cells (PLA+)",6,0,19,0,0.406071879243056,25,0.24,0.1199999952,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Early NK cells (PLA−)",0,3,0,92,-0.241802204515917,95,0.968421052631579,0.484210521218837,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Intermediate monocytes (PLA+)",11,0,20,0,0.33506461337945,31,0.354838709677419,0.177419349115505,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Intermediate monocytes (PLA−)",0,102,0,164,0.594938459756114,266,0.616541353383459,0.308270675532817,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Monocytes (PLA+)",3,0,9,0,0.281665999368954,12,0.25,0.124999989583334,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Monocytes (PLA−)",0,1169,0,3426,0.260156361336418,4595,0.745593035908596,0.372796517873167,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"NK / Dendritic cells",0,0,0,0,0.455050408148892,14,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"NK cells",0,0,0,0,-0.505056609056737,35,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"NK cells (PLA+)",0,0,4,0,0.0739583143788441,4,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"NK cells (PLA−)",0,3,0,95,-0.360641002031685,98,0.969387755102041,0.484693872605165,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Neutrophils",0,0,0,0,-0.0471318054189317,7071,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Neutrophils (PLA+)",24,0,61,0,0.354369448349482,85,0.282352941176471,0.141176468927336,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Neutrophils (PLA−)",0,182,0,498,0.290764983305377,680,0.732352941176471,0.36617647004974,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,0.542983394771556,53,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Non-B cells",0,0,0,0,0.430887503076662,1277,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,0.116724381607463,6912,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Non-cDCs",0,0,0,0,-0.105988263830929,25,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Non-classical monocytes (PLA+)",59,0,193,0,0.310376947664909,252,0.234126984126984,0.117063491598954,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Non-classical monocytes (PLA−)",0,411,0,1028,0.395309414462864,1439,0.714384989576095,0.357192494539824,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Other immune cells",0,0,0,0,0.320153063140809,11,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Plasmacytoid DCs",0,0,0,0,0.815336507700998,3,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"R11",0,0,0,0,-0.480077432163556,535,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
