"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",80,0,0,0,-0.677407228855325,80,1,0.49999999375,"AddModuleScore","GOBP_REG",FALSE,"youden"
"B cells (PLA−)",0,580,0,22,-0.944469321186904,602,0.0365448504983389,0.0182724252188166,"AddModuleScore","GOBP_REG",FALSE,"youden"
"CD4 T cells",0,0,0,0,-0.317524670771767,6,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"CD4 T cells (PLA+)",521,0,6,0,-0.514527668361206,527,0.988614800759013,0.494307399441542,"AddModuleScore","GOBP_REG",FALSE,"youden"
"CD4 T cells (PLA−)",0,2604,0,118,-0.852014757711744,2722,0.0433504775900073,0.0216752387870407,"AddModuleScore","GOBP_REG",FALSE,"youden"
"CD8 T cells",0,0,0,0,-0.108082047021099,4,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"CD8 T cells (PLA+)",69,0,1,0,-0.679356036598553,70,0.985714285714286,0.492857135816327,"AddModuleScore","GOBP_REG",FALSE,"youden"
"CD8 T cells (PLA−)",0,1420,0,13,-0.582347647157945,1433,0.00907187718073971,0.00453593858720451,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Classical monocytes (PLA+)",250,0,0,0,0.511504156091,250,1,0.499999998,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Classical monocytes (PLA−)",0,2226,0,0,0.523282054129574,2226,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Dendritic cells",0,0,0,0,-0.117862873097648,7,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Dendritic cells (PLA−)",0,36,0,0,0.428396278576952,36,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Early NK cells (PLA+)",25,0,0,0,0.406071879243056,25,1,0.499999980000001,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Early NK cells (PLA−)",0,95,0,0,-0.241802204515917,95,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Intermediate monocytes (PLA+)",31,0,0,0,0.33506461337945,31,1,0.499999983870968,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Intermediate monocytes (PLA−)",0,266,0,0,0.594938459756114,266,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Monocytes (PLA+)",12,0,0,0,0.281665999368954,12,1,0.499999958333337,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Monocytes (PLA−)",0,4584,0,11,0.260156361336418,4595,0.00239390642002176,0.00119695320975039,"AddModuleScore","GOBP_REG",FALSE,"youden"
"NK / Dendritic cells",0,0,0,0,0.455050408148892,14,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"NK cells",0,0,0,0,-0.505056609056737,35,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"NK cells (PLA+)",4,0,0,0,0.0739583143788441,4,1,0.499999875000031,"AddModuleScore","GOBP_REG",FALSE,"youden"
"NK cells (PLA−)",0,98,0,0,-0.360641002031685,98,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Neutrophils",0,0,0,0,-0.0471318054189317,7071,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Neutrophils (PLA+)",84,0,1,0,0.354369448349482,85,0.988235294117647,0.494117641245675,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Neutrophils (PLA−)",0,679,0,1,0.290764983305377,680,0.00147058823529412,0.000735294116565744,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.542983394771556,53,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Non-B cells",0,0,0,0,0.430887503076662,1277,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Non-T / Non-NK cells",0,0,0,0,0.116724381607463,6912,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Non-cDCs",0,0,0,0,-0.105988263830929,25,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Non-classical monocytes (PLA+)",251,0,1,0,0.310376947664909,252,0.996031746031746,0.49801587103962,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Non-classical monocytes (PLA−)",0,1438,0,1,0.395309414462864,1439,0.000694927032661571,0.000347463516089323,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Other immune cells",0,0,0,0,0.320153063140809,11,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Plasmacytoid DCs",0,0,0,0,0.815336507700998,3,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"R11",0,0,0,0,-0.480077432163556,535,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"R13",0,0,0,0,-0.635076911090721,248,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"R16",0,0,0,0,0.7049419683599,4,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"R40",0,0,0,0,0.200097342020894,273,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Singlets",0,0,0,0,0.0338277275000236,1795,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
"Total B cells",0,0,0,0,-0.47229050593805,2,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
NA,0,0,0,0,-0.319418633676546,475,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden"
