"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",0,0,80,0,-0.716953215212753,80,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"B cells (PLA−)",0,0,0,602,-0.929976993848726,602,1,0.499999999169435,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"CD4 T cells",0,0,0,0,-0.524742066742418,6,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"CD4 T cells (PLA+)",0,0,527,0,-0.524473126720512,527,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"CD4 T cells (PLA−)",0,0,0,2722,-0.917892858597887,2722,1,0.499999999816312,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"CD8 T cells",0,0,0,0,-0.321743424797257,4,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"CD8 T cells (PLA+)",0,0,70,0,-0.769916312514853,70,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"CD8 T cells (PLA−)",0,1,0,1432,-0.725592653674726,1433,0.999302163293789,0.49965108129822,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Classical monocytes (PLA+)",2,0,248,0,0.467496854218547,250,0.008,0.003999999984,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Classical monocytes (PLA−)",0,1,0,2225,0.418398117027849,2226,0.999550763701707,0.499775381626336,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Dendritic cells",0,0,0,0,-0.189698002646936,7,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Dendritic cells (PLA−)",0,0,0,36,0.347869657065506,36,1,0.499999986111112,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Early NK cells (PLA+)",1,0,24,0,0.512713344688833,25,0.04,0.0199999992,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Early NK cells (PLA−)",0,0,0,95,-0.438758195489327,95,1,0.499999994736842,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Intermediate monocytes (PLA+)",0,0,31,0,0.522256728507256,31,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Intermediate monocytes (PLA−)",0,0,0,266,0.445237315266618,266,1,0.499999998120301,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Monocytes (PLA+)",0,0,12,0,0.313630048266998,12,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Monocytes (PLA−)",0,3,0,4592,0.142112382646218,4595,0.999347116430903,0.499673558106709,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"NK / Dendritic cells",0,0,0,0,0.553053264985144,14,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"NK cells",0,0,0,0,-0.667609428600464,35,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"NK cells (PLA+)",0,0,4,0,-0.0340096070043516,4,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"NK cells (PLA−)",0,0,0,98,-0.560305196790443,98,1,0.499999994897959,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Neutrophils",0,0,0,0,0.0185806913372394,7071,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Neutrophils (PLA+)",0,0,85,0,0.403488507481552,85,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Neutrophils (PLA−)",0,0,0,680,0.179832424577983,680,1,0.499999999264706,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Non-B / Non-monocyte cells",0,0,0,0,1.06836586655842,53,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Non-B cells",0,0,0,0,0.345546011351869,1277,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Non-T / Non-NK cells",0,0,0,0,0.29957939575129,6912,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Non-cDCs",0,0,0,0,0.110543279831394,25,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Non-classical monocytes (PLA+)",0,0,252,0,0.195934262564407,252,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Non-classical monocytes (PLA−)",0,1,0,1438,0.257233565052711,1439,0.999305072967338,0.499652536136447,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Other immune cells",0,0,0,0,0.0734159084320954,11,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Plasmacytoid DCs",0,0,0,0,0.676144972611642,3,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"R11",0,0,0,0,-0.579505749635158,535,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"R13",0,0,0,0,-0.753352658710881,248,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"R16",0,0,0,0,0.673161843505724,4,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"R40",0,0,0,0,0.23509932097293,273,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Singlets",0,0,0,0,0.0112686322674395,1795,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Total B cells",0,0,0,0,-0.601924677639721,2,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
