"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",0,0,80,0,-0.716953215212753,80,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"B cells (PLA−)",0,0,0,602,-0.929976993848726,602,1,0.499999999169435,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.524742066742418,6,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",5,0,522,0,-0.524473126720512,527,0.0094876660341556,0.00474383300807622,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,0,0,2722,-0.917892858597887,2722,1,0.499999999816312,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-0.321743424797257,4,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",0,0,70,0,-0.769916312514853,70,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,1,0,1432,-0.725592653674726,1433,0.999302163293789,0.49965108129822,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",3,0,247,0,0.467496854218547,250,0.012,0.005999999976,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,3,0,2223,0.418398117027849,2226,0.998652291105121,0.499326145328245,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,-0.189698002646936,7,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,0,0,36,0.347869657065506,36,1,0.499999986111112,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA+)",1,0,24,0,0.512713344688833,25,0.04,0.0199999992,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,0,0,95,-0.438758195489327,95,1,0.499999994736842,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",0,0,31,0,0.522256728507256,31,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,0,0,266,0.445237315266618,266,1,0.499999998120301,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
