"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",1,0,79,0,-0.716953215212753,80,0.0125,0.006249999921875,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"B cells (PLA−)",0,0,0,602,-0.929976993848726,602,1,0.499999999169435,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"CD4 T cells",0,0,0,0,-0.524742066742418,6,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"CD4 T cells (PLA+)",15,0,512,0,-0.524473126720512,527,0.0284629981024668,0.0142314990242287,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"CD4 T cells (PLA−)",0,11,0,2711,-0.917892858597887,2722,0.995958853783982,0.497979426709045,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"CD8 T cells",0,0,0,0,-0.321743424797257,4,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"CD8 T cells (PLA+)",0,0,70,0,-0.769916312514853,70,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"CD8 T cells (PLA−)",0,1,0,1432,-0.725592653674726,1433,0.999302163293789,0.49965108129822,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Classical monocytes (PLA+)",32,0,218,0,0.467496854218547,250,0.128,0.063999999744,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Classical monocytes (PLA−)",0,218,0,2008,0.418398117027849,2226,0.902066486972147,0.451033243283453,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Dendritic cells",0,0,0,0,-0.189698002646936,7,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Dendritic cells (PLA−)",0,5,0,31,0.347869657065506,36,0.861111111111111,0.430555543595679,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Early NK cells (PLA+)",3,0,22,0,0.512713344688833,25,0.12,0.0599999976000001,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Early NK cells (PLA−)",0,1,0,94,-0.438758195489327,95,0.989473684210526,0.494736836897507,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Intermediate monocytes (PLA+)",7,0,24,0,0.522256728507256,31,0.225806451612903,0.112903222164412,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Intermediate monocytes (PLA−)",0,27,0,239,0.445237315266618,266,0.898496240601504,0.449248118611849,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Monocytes (PLA+)",1,0,11,0,0.313630048266998,12,0.0833333333333333,0.0416666631944447,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Monocytes (PLA−)",0,488,0,4107,0.142112382646218,4595,0.89379760609358,0.446898802949532,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"NK / Dendritic cells",0,0,0,0,0.553053264985144,14,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"NK cells",0,0,0,0,-0.667609428600464,35,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"NK cells (PLA+)",0,0,4,0,-0.0340096070043516,4,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"NK cells (PLA−)",0,0,0,98,-0.560305196790443,98,1,0.499999994897959,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Neutrophils",0,0,0,0,0.0185806913372394,7071,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Neutrophils (PLA+)",15,0,70,0,0.403488507481552,85,0.176470588235294,0.0882352930795848,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Neutrophils (PLA−)",0,83,0,597,0.179832424577983,680,0.877941176470588,0.438970587589749,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,1.06836586655842,53,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Non-B cells",0,0,0,0,0.345546011351869,1277,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,0.29957939575129,6912,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Non-cDCs",0,0,0,0,0.110543279831394,25,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Non-classical monocytes (PLA+)",29,0,223,0,0.195934262564407,252,0.115079365079365,0.0575396823113505,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Non-classical monocytes (PLA−)",0,183,0,1256,0.257233565052711,1439,0.872828353022933,0.43641417620819,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Other immune cells",0,0,0,0,0.0734159084320954,11,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Plasmacytoid DCs",0,0,0,0,0.676144972611642,3,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"R11",0,0,0,0,-0.579505749635158,535,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"R13",0,0,0,0,-0.753352658710881,248,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"R16",0,0,0,0,0.673161843505724,4,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"R40",0,0,0,0,0.23509932097293,273,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Singlets",0,0,0,0,0.0112686322674395,1795,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Total B cells",0,0,0,0,-0.601924677639721,2,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
NA,0,0,0,0,-0.277443120867824,475,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
