"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",0,0,80,0,-0.716953215212753,80,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"B cells (PLA−)",0,0,0,602,-0.929976993848726,602,1,0.499999999169435,"AddModuleScore","GOBP_REG",TRUE,"youden"
"CD4 T cells",0,0,0,0,-0.524742066742418,6,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"CD4 T cells (PLA+)",10,0,517,0,-0.524473126720512,527,0.0189753320683112,0.00948766601615244,"AddModuleScore","GOBP_REG",TRUE,"youden"
"CD4 T cells (PLA−)",0,1,0,2721,-0.917892858597887,2722,0.999632623071271,0.499816311352015,"AddModuleScore","GOBP_REG",TRUE,"youden"
"CD8 T cells",0,0,0,0,-0.321743424797257,4,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"CD8 T cells (PLA+)",0,0,70,0,-0.769916312514853,70,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"CD8 T cells (PLA−)",0,1,0,1432,-0.725592653674726,1433,0.999302163293789,0.49965108129822,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Classical monocytes (PLA+)",17,0,233,0,0.467496854218547,250,0.068,0.033999999864,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Classical monocytes (PLA−)",0,74,0,2152,0.418398117027849,2226,0.966756513926325,0.483378256746012,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Dendritic cells",0,0,0,0,-0.189698002646936,7,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Dendritic cells (PLA−)",0,1,0,35,0.347869657065506,36,0.972222222222222,0.486111097608025,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Early NK cells (PLA+)",2,0,23,0,0.512713344688833,25,0.08,0.0399999984000001,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Early NK cells (PLA−)",0,1,0,94,-0.438758195489327,95,0.989473684210526,0.494736836897507,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Intermediate monocytes (PLA+)",4,0,27,0,0.522256728507256,31,0.129032258064516,0.0645161269510927,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Intermediate monocytes (PLA−)",0,11,0,255,0.445237315266618,266,0.958646616541353,0.479323306468709,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Monocytes (PLA+)",1,0,11,0,0.313630048266998,12,0.0833333333333333,0.0416666631944447,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Monocytes (PLA−)",0,154,0,4441,0.142112382646218,4595,0.966485310119695,0.483242654954681,"AddModuleScore","GOBP_REG",TRUE,"youden"
"NK / Dendritic cells",0,0,0,0,0.553053264985144,14,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"NK cells",0,0,0,0,-0.667609428600464,35,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"NK cells (PLA+)",0,0,4,0,-0.0340096070043516,4,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"NK cells (PLA−)",0,0,0,98,-0.560305196790443,98,1,0.499999994897959,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Neutrophils",0,0,0,0,0.0185806913372394,7071,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Neutrophils (PLA+)",12,0,73,0,0.403488507481552,85,0.141176470588235,0.0705882344636678,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Neutrophils (PLA−)",0,39,0,641,0.179832424577983,680,0.942647058823529,0.471323528718642,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,1.06836586655842,53,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Non-B cells",0,0,0,0,0.345546011351869,1277,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Non-T / Non-NK cells",0,0,0,0,0.29957939575129,6912,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Non-cDCs",0,0,0,0,0.110543279831394,25,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Non-classical monocytes (PLA+)",11,0,241,0,0.195934262564407,252,0.0436507936507936,0.0218253967387881,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Non-classical monocytes (PLA−)",0,64,0,1375,0.257233565052711,1439,0.955524669909659,0.47776233462282,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Other immune cells",0,0,0,0,0.0734159084320954,11,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Plasmacytoid DCs",0,0,0,0,0.676144972611642,3,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"R11",0,0,0,0,-0.579505749635158,535,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"R13",0,0,0,0,-0.753352658710881,248,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"R16",0,0,0,0,0.673161843505724,4,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"R40",0,0,0,0,0.23509932097293,273,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Singlets",0,0,0,0,0.0112686322674395,1795,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Total B cells",0,0,0,0,-0.601924677639721,2,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
NA,0,0,0,0,-0.277443120867824,475,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
