"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",4,0,76,0,0.853821281378342,80,0.05,0.0249999996875,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"B cells (PLA−)",0,14,0,588,1.04282655274177,602,0.976744186046512,0.488372092212007,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"CD4 T cells",0,0,0,0,-0.618427780490835,6,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"CD4 T cells (PLA+)",58,0,469,0,-0.338386889103181,527,0.110056925996205,0.0550284628936841,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"CD4 T cells (PLA−)",0,30,0,2692,-0.731705970981789,2722,0.988978692138134,0.494489345887403,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"CD8 T cells",0,0,0,0,-0.691138791242727,4,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"CD8 T cells (PLA+)",0,0,70,0,-0.832759097721992,70,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"CD8 T cells (PLA−)",0,5,0,1428,-0.964869512675683,1433,0.996510816468946,0.498255407886772,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical monocytes (PLA+)",198,0,52,0,0.674906680308356,250,0.792,0.395999998416,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical monocytes (PLA−)",0,2062,0,164,0.711993151910531,2226,0.0736747529200359,0.0368373764434693,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Dendritic cells",0,0,0,0,-0.488225462716967,7,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Dendritic cells (PLA−)",0,14,0,22,0.989980234781315,36,0.611111111111111,0.305555547067902,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Early NK cells (PLA+)",3,0,22,0,-0.288411944735693,25,0.12,0.0599999976000001,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
