"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",9,0,71,0,2.22495220922095,80,0.1125,0.056249999296875,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"B cells (PLA−)",0,46,0,556,2.70718456348874,602,0.92358803986711,0.461794019166455,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"CD4 T cells",0,0,0,0,-0.681262646392121,6,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"CD4 T cells (PLA+)",17,0,510,0,-0.390980634751357,527,0.032258064516129,0.0161290322274591,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"CD4 T cells (PLA−)",0,3,0,2719,-0.744972450507466,2722,0.998897869213813,0.499448934423421,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"CD8 T cells",0,0,0,0,-0.694841073455558,4,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"CD8 T cells (PLA+)",0,0,70,0,-0.816735102680042,70,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"CD8 T cells (PLA−)",0,0,0,1433,-0.936822864097738,1433,1,0.499999999651082,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical monocytes (PLA+)",63,0,187,0,0.316942094551768,250,0.252,0.125999999496,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical monocytes (PLA−)",0,540,0,1686,0.328220907912722,2226,0.757412398921833,0.378706199290788,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Dendritic cells",0,0,0,0,-0.548088914472216,7,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Dendritic cells (PLA−)",0,17,0,19,0.769373028284381,36,0.527777777777778,0.263888881558642,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Early NK cells (PLA+)",0,0,25,0,-0.279696528639408,25,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Early NK cells (PLA−)",0,1,0,94,-0.846359755539041,95,0.989473684210526,0.494736836897507,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Intermediate monocytes (PLA+)",4,0,27,0,0.226539326005207,31,0.129032258064516,0.0645161269510927,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Intermediate monocytes (PLA−)",0,44,0,222,0.1349371673362,266,0.834586466165414,0.417293231513935,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Monocytes (PLA+)",2,0,10,0,0.211910211690353,12,0.166666666666667,0.0833333263888895,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Monocytes (PLA−)",0,134,0,4461,-0.479131286563563,4595,0.970837867247008,0.485418933517863,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"NK / Dendritic cells",0,0,0,0,0.543913932781718,14,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"NK cells",0,0,0,0,-0.737788061056736,35,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"NK cells (PLA+)",0,0,4,0,-0.822503668089368,4,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"NK cells (PLA−)",0,0,0,98,-0.945481278065968,98,1,0.499999994897959,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Neutrophils",0,0,0,0,0.153791926510633,7071,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Neutrophils (PLA+)",8,0,77,0,0.0247827158933703,85,0.0941176470588235,0.0470588229757786,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Neutrophils (PLA−)",0,21,0,659,-0.46025601709231,680,0.969117647058824,0.484558822816825,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Non-B / Non-monocyte cells",0,0,0,0,-0.0141023995040969,53,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Non-B cells",0,0,0,0,0.252045403631667,1277,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
