"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",68,0,12,0,2.22495220922095,80,0.85,0.4249999946875,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"B cells (PLA−)",0,576,0,26,2.70718456348874,602,0.0431893687707641,0.0215946843495105,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.681262646392121,6,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",27,0,500,0,-0.390980634751357,527,0.0512333965844402,0.0256166982436116,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,9,0,2713,-0.744972450507466,2722,0.99669360764144,0.498346803637639,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-0.694841073455558,4,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",0,0,70,0,-0.816735102680042,70,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,1,0,1432,-0.936822864097738,1433,0.999302163293789,0.49965108129822,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",67,0,183,0,0.316942094551768,250,0.268,0.133999999464,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,548,0,1678,0.328220907912722,2226,0.75381850853549,0.376909254098424,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,-0.548088914472216,7,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,24,0,12,0.769373028284381,36,0.333333333333333,0.166666662037037,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA+)",1,0,24,0,-0.279696528639408,25,0.04,0.0199999992,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,1,0,94,-0.846359755539041,95,0.989473684210526,0.494736836897507,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",5,0,26,0,0.226539326005207,31,0.161290322580645,0.0806451586888658,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,45,0,221,0.1349371673362,266,0.830827067669173,0.415413532272881,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Monocytes (PLA+)",2,0,10,0,0.211910211690353,12,0.166666666666667,0.0833333263888895,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,151,0,4444,-0.479131286563563,4595,0.967138193688792,0.483569096739158,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,0.543913932781718,14,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"NK cells",0,0,0,0,-0.737788061056736,35,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"NK cells (PLA+)",0,0,4,0,-0.822503668089368,4,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"NK cells (PLA−)",0,0,0,98,-0.945481278065968,98,1,0.499999994897959,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,0.153791926510633,7071,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA+)",14,0,71,0,0.0247827158933703,85,0.164705882352941,0.0823529402076125,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,30,0,650,-0.46025601709231,680,0.955882352941177,0.477941175767734,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,-0.0141023995040969,53,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,0.252045403631667,1277,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,0.462477561122829,6912,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Non-cDCs",0,0,0,0,0.0971492377865998,25,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Non-classical monocytes (PLA+)",12,0,240,0,-0.353807225005435,252,0.0476190476190476,0.0238095237150416,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Non-classical monocytes (PLA−)",0,26,0,1413,-0.549961100680228,1439,0.981931897150799,0.490965948234214,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Other immune cells",0,0,0,0,-0.171281383209198,11,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Plasmacytoid DCs",0,0,0,0,5.09485640504817,3,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"R11",0,0,0,0,-0.751974834453777,535,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"R13",0,0,0,0,-0.743994815681732,248,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"R16",0,0,0,0,0.523917931378552,4,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"R40",0,0,0,0,-0.282451725410843,273,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Singlets",0,0,0,0,-0.0209558239562307,1795,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Total B cells",0,0,0,0,2.45801893019953,2,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
NA,0,0,0,0,1.30848652685441,475,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
