"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",77,0,3,0,2.22495220922095,80,0.9625,0.481249993984375,"AUCell","MANNE_DN",TRUE,"youden"
"B cells (PLA−)",0,600,0,2,2.70718456348874,602,0.00332225913621262,0.00166112956534696,"AUCell","MANNE_DN",TRUE,"youden"
"CD4 T cells",0,0,0,0,-0.681262646392121,6,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"CD4 T cells (PLA+)",333,0,194,0,-0.390980634751357,527,0.631878557874763,0.315939278337876,"AUCell","MANNE_DN",TRUE,"youden"
"CD4 T cells (PLA−)",0,879,0,1843,-0.744972450507466,2722,0.677075679647318,0.338537839699288,"AUCell","MANNE_DN",TRUE,"youden"
"CD8 T cells",0,0,0,0,-0.694841073455558,4,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"CD8 T cells (PLA+)",20,0,50,0,-0.816735102680042,70,0.285714285714286,0.142857140816327,"AUCell","MANNE_DN",TRUE,"youden"
"CD8 T cells (PLA−)",0,212,0,1221,-0.936822864097738,1433,0.852058618283322,0.426029308844362,"AUCell","MANNE_DN",TRUE,"youden"
"Classical monocytes (PLA+)",241,0,9,0,0.316942094551768,250,0.964,0.481999998072,"AUCell","MANNE_DN",TRUE,"youden"
"Classical monocytes (PLA−)",0,2202,0,24,0.328220907912722,2226,0.0107816711590297,0.00539083557709307,"AUCell","MANNE_DN",TRUE,"youden"
"Dendritic cells",0,0,0,0,-0.548088914472216,7,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"Dendritic cells (PLA−)",0,33,0,3,0.769373028284381,36,0.0833333333333333,0.0416666655092593,"AUCell","MANNE_DN",TRUE,"youden"
"Early NK cells (PLA+)",14,0,11,0,-0.279696528639408,25,0.56,0.2799999888,"AUCell","MANNE_DN",TRUE,"youden"
"Early NK cells (PLA−)",0,21,0,74,-0.846359755539041,95,0.778947368421053,0.389473680110803,"AUCell","MANNE_DN",TRUE,"youden"
"Intermediate monocytes (PLA+)",31,0,0,0,0.226539326005207,31,1,0.499999983870968,"AUCell","MANNE_DN",TRUE,"youden"
"Intermediate monocytes (PLA−)",0,248,0,18,0.1349371673362,266,0.0676691729323308,0.0338345863389677,"AUCell","MANNE_DN",TRUE,"youden"
"Monocytes (PLA+)",12,0,0,0,0.211910211690353,12,1,0.499999958333337,"AUCell","MANNE_DN",TRUE,"youden"
"Monocytes (PLA−)",0,2434,0,2161,-0.479131286563563,4595,0.470293797606094,0.235146898751872,"AUCell","MANNE_DN",TRUE,"youden"
"NK / Dendritic cells",0,0,0,0,0.543913932781718,14,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"NK cells",0,0,0,0,-0.737788061056736,35,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"NK cells (PLA+)",1,0,3,0,-0.822503668089368,4,0.25,0.124999968750008,"AUCell","MANNE_DN",TRUE,"youden"
"NK cells (PLA−)",0,14,0,84,-0.945481278065968,98,0.857142857142857,0.428571424198251,"AUCell","MANNE_DN",TRUE,"youden"
"Neutrophils",0,0,0,0,0.153791926510633,7071,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"Neutrophils (PLA+)",74,0,11,0,0.0247827158933703,85,0.870588235294118,0.435294112525952,"AUCell","MANNE_DN",TRUE,"youden"
"Neutrophils (PLA−)",0,376,0,304,-0.46025601709231,680,0.447058823529412,0.223529411435986,"AUCell","MANNE_DN",TRUE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,-0.0141023995040969,53,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"Non-B cells",0,0,0,0,0.252045403631667,1277,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"Non-T / Non-NK cells",0,0,0,0,0.462477561122829,6912,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"Non-cDCs",0,0,0,0,0.0971492377865998,25,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"Non-classical monocytes (PLA+)",166,0,86,0,-0.353807225005435,252,0.658730158730159,0.329365078058075,"AUCell","MANNE_DN",TRUE,"youden"
"Non-classical monocytes (PLA−)",0,714,0,725,-0.549961100680228,1439,0.503822098679639,0.251911049164759,"AUCell","MANNE_DN",TRUE,"youden"
"Other immune cells",0,0,0,0,-0.171281383209198,11,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"Plasmacytoid DCs",0,0,0,0,5.09485640504817,3,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"R11",0,0,0,0,-0.751974834453777,535,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"R13",0,0,0,0,-0.743994815681732,248,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"R16",0,0,0,0,0.523917931378552,4,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"R40",0,0,0,0,-0.282451725410843,273,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"Singlets",0,0,0,0,-0.0209558239562307,1795,0,0,"AUCell","MANNE_DN",TRUE,"youden"
"Total B cells",0,0,0,0,2.45801893019953,2,0,0,"AUCell","MANNE_DN",TRUE,"youden"
NA,0,0,0,0,1.30848652685441,475,0,0,"AUCell","MANNE_DN",TRUE,"youden"
