"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",9,0,71,0,0.718551068863971,80,0.1125,0.056249999296875,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_dual"
"B cells (PLA−)",0,49,0,553,0.919910264124136,602,0.918604651162791,0.459302324818435,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_dual"
"CD4 T cells",0,0,0,0,-0.888347012249106,6,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_dual"
"CD4 T cells (PLA+)",54,0,473,0,-0.346195328803121,527,0.10246679316888,0.0512333964872232,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_dual"
"CD4 T cells (PLA−)",0,27,0,2695,-0.901312131704353,2722,0.99008082292432,0.495040411280294,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_dual"
"CD8 T cells",0,0,0,0,-0.761732820696645,4,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_dual"
"CD8 T cells (PLA+)",2,0,68,0,-0.897092662402728,70,0.0285714285714286,0.0142857140816327,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_dual"
"CD8 T cells (PLA−)",0,22,0,1411,-1.17572933350093,1433,0.984647592463364,0.49232379588812,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical monocytes (PLA+)",163,0,87,0,0.484083969333755,250,0.652,0.325999998696,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical monocytes (PLA−)",0,1266,0,960,0.393102299234593,2226,0.431266846361186,0.215633423083723,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_dual"
"Dendritic cells",0,0,0,0,-0.529358072396492,7,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_dual"
"Dendritic cells (PLA−)",0,21,0,15,0.876327416333366,36,0.416666666666667,0.208333327546296,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_dual"
"Early NK cells (PLA+)",1,0,24,0,-0.225238171946563,25,0.04,0.0199999992,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_dual"
"Early NK cells (PLA−)",0,6,0,89,-0.966438093306855,95,0.936842105263158,0.468421047700831,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_dual"
"Intermediate monocytes (PLA+)",24,0,7,0,0.574522099351693,31,0.774193548387097,0.387096761706556,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_dual"
