"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",60,0,20,0,0.718551068863971,80,0.75,0.3749999953125,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"B cells (PLA−)",0,499,0,103,0.919910264124136,602,0.17109634551495,0.0855481726153685,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.888347012249106,6,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",104,0,423,0,-0.346195328803121,527,0.197343453510436,0.0986717265679853,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,103,0,2619,-0.901312131704353,2722,0.962160176340926,0.481080087993725,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-0.761732820696645,4,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",5,0,65,0,-0.897092662402728,70,0.0714285714285714,0.0357142852040816,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,54,0,1379,-1.17572933350093,1433,0.96231681786462,0.48115840859654,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",166,0,84,0,0.484083969333755,250,0.664,0.331999998672,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,1276,0,950,0.393102299234593,2226,0.426774483378257,0.213387241593267,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,-0.529358072396492,7,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,28,0,8,0.876327416333366,36,0.222222222222222,0.111111108024691,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA+)",2,0,23,0,-0.225238171946563,25,0.08,0.0399999984000001,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,7,0,88,-0.966438093306855,95,0.926315789473684,0.463157889861496,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",24,0,7,0,0.574522099351693,31,0.774193548387097,0.387096761706556,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,114,0,152,0.206417973444514,266,0.571428571428571,0.285714284640172,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Monocytes (PLA+)",5,0,7,0,0.154613933411931,12,0.416666666666667,0.208333315972224,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,448,0,4147,-0.35429915353519,4595,0.902502720348205,0.451251360075897,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,0.625892716812802,14,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"NK cells",0,0,0,0,-0.997273775350279,35,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"NK cells (PLA+)",0,0,4,0,-0.702297567885336,4,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"NK cells (PLA−)",0,6,0,92,-1.12792763563677,98,0.938775510204082,0.46938775031237,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,0.204593490743603,7071,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Neutrophils (PLA+)",31,0,54,0,0.122076052527613,85,0.364705882352941,0.182352939031142,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,83,0,597,-0.316976433388876,680,0.877941176470588,0.438970587589749,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,0.0703435574435125,53,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,0.397794785441321,1277,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,0.553887829519864,6912,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Non-cDCs",0,0,0,0,-0.0120964800984588,25,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Non-classical monocytes (PLA+)",36,0,216,0,-0.214005836576286,252,0.142857142857143,0.0714285711451247,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Non-classical monocytes (PLA−)",0,105,0,1334,-0.398238622735777,1439,0.927032661570535,0.463516330463157,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Other immune cells",0,0,0,0,-0.0178539000647599,11,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Plasmacytoid DCs",0,0,0,0,3.73477313264445,3,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"R11",0,0,0,0,-0.886301142793335,535,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"R13",0,0,0,0,-0.978730205511385,248,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"R16",0,0,0,0,1.00650360475146,4,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"R40",0,0,0,0,-0.155959876684409,273,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Singlets",0,0,0,0,0.0321575000003009,1795,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Total B cells",0,0,0,0,0.504098157273374,2,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
NA,0,0,0,0,0.585897985244809,475,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
