"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",9,0,71,0,0.718551068863971,80,0.1125,0.056249999296875,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"B cells (PLA−)",0,50,0,552,0.919910264124136,602,0.916943521594684,0.458471760035761,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"CD4 T cells",0,0,0,0,-0.888347012249106,6,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"CD4 T cells (PLA+)",25,0,502,0,-0.346195328803121,527,0.047438330170778,0.0237191650403811,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"CD4 T cells (PLA−)",0,4,0,2718,-0.901312131704353,2722,0.998530492285085,0.499265245959124,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"CD8 T cells",0,0,0,0,-0.761732820696645,4,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"CD8 T cells (PLA+)",0,0,70,0,-0.897092662402728,70,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"CD8 T cells (PLA−)",0,0,0,1433,-1.17572933350093,1433,1,0.499999999651082,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Classical monocytes (PLA+)",66,0,184,0,0.484083969333755,250,0.264,0.131999999472,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Classical monocytes (PLA−)",0,463,0,1763,0.393102299234593,2226,0.792003593890386,0.396001796767295,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Dendritic cells",0,0,0,0,-0.529358072396492,7,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Dendritic cells (PLA−)",0,14,0,22,0.876327416333366,36,0.611111111111111,0.305555547067902,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Early NK cells (PLA+)",1,0,24,0,-0.225238171946563,25,0.04,0.0199999992,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Early NK cells (PLA−)",0,1,0,94,-0.966438093306855,95,0.989473684210526,0.494736836897507,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Intermediate monocytes (PLA+)",9,0,22,0,0.574522099351693,31,0.290322580645161,0.145161285639959,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Intermediate monocytes (PLA−)",0,40,0,226,0.206417973444514,266,0.849624060150376,0.42481202847815,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Monocytes (PLA+)",0,0,12,0,0.154613933411931,12,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Monocytes (PLA−)",0,132,0,4463,-0.35429915353519,4595,0.971273122959739,0.485636561374181,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"NK / Dendritic cells",0,0,0,0,0.625892716812802,14,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"NK cells",0,0,0,0,-0.997273775350279,35,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"NK cells (PLA+)",0,0,4,0,-0.702297567885336,4,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"NK cells (PLA−)",0,1,0,97,-1.12792763563677,98,0.989795918367347,0.494897954133694,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Neutrophils",0,0,0,0,0.204593490743603,7071,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Neutrophils (PLA+)",9,0,76,0,0.122076052527613,85,0.105882352941176,0.0529411758477509,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Neutrophils (PLA−)",0,22,0,658,-0.316976433388876,680,0.967647058823529,0.48382352870026,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,0.0703435574435125,53,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Non-B cells",0,0,0,0,0.397794785441321,1277,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,0.553887829519864,6912,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Non-cDCs",0,0,0,0,-0.0120964800984588,25,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Non-classical monocytes (PLA+)",11,0,241,0,-0.214005836576286,252,0.0436507936507936,0.0218253967387881,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Non-classical monocytes (PLA−)",0,20,0,1419,-0.398238622735777,1439,0.986101459346769,0.49305072933075,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Other immune cells",0,0,0,0,-0.0178539000647599,11,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Plasmacytoid DCs",0,0,0,0,3.73477313264445,3,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"R11",0,0,0,0,-0.886301142793335,535,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"R13",0,0,0,0,-0.978730205511385,248,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"R16",0,0,0,0,1.00650360475146,4,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"R40",0,0,0,0,-0.155959876684409,273,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Singlets",0,0,0,0,0.0321575000003009,1795,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Total B cells",0,0,0,0,0.504098157273374,2,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
NA,0,0,0,0,0.585897985244809,475,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
