"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",73,0,7,0,0.718551068863971,80,0.9125,0.456249994296875,"AddModuleScore","MANNE_DN",FALSE,"youden"
"B cells (PLA−)",0,581,0,21,0.919910264124136,602,0.0348837209302326,0.0174418604361431,"AddModuleScore","MANNE_DN",FALSE,"youden"
"CD4 T cells",0,0,0,0,-0.888347012249106,6,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"CD4 T cells (PLA+)",242,0,285,0,-0.346195328803121,527,0.459203036053131,0.229601517590889,"AddModuleScore","MANNE_DN",FALSE,"youden"
"CD4 T cells (PLA−)",0,431,0,2291,-0.901312131704353,2722,0.841660543717854,0.420830271704324,"AddModuleScore","MANNE_DN",FALSE,"youden"
"CD8 T cells",0,0,0,0,-0.761732820696645,4,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"CD8 T cells (PLA+)",14,0,56,0,-0.897092662402728,70,0.2,0.0999999985714286,"AddModuleScore","MANNE_DN",FALSE,"youden"
"CD8 T cells (PLA−)",0,90,0,1343,-1.17572933350093,1433,0.937194696441033,0.468597347893512,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Classical monocytes (PLA+)",229,0,21,0,0.484083969333755,250,0.916,0.457999998168,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Classical monocytes (PLA−)",0,1996,0,230,0.393102299234593,2226,0.103324348607367,0.0516621742804752,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Dendritic cells",0,0,0,0,-0.529358072396492,7,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Dendritic cells (PLA−)",0,30,0,6,0.876327416333366,36,0.166666666666667,0.0833333310185186,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Early NK cells (PLA+)",12,0,13,0,-0.225238171946563,25,0.48,0.2399999904,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Early NK cells (PLA−)",0,14,0,81,-0.966438093306855,95,0.852631578947368,0.42631578498615,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Intermediate monocytes (PLA+)",28,0,3,0,0.574522099351693,31,0.903225806451613,0.451612888657649,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Intermediate monocytes (PLA−)",0,219,0,47,0.206417973444514,266,0.176691729323308,0.0883458643295268,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Monocytes (PLA+)",10,0,2,0,0.154613933411931,12,0.833333333333333,0.416666631944447,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Monocytes (PLA−)",0,1814,0,2781,-0.35429915353519,4595,0.605223068552775,0.302611534210531,"AddModuleScore","MANNE_DN",FALSE,"youden"
"NK / Dendritic cells",0,0,0,0,0.625892716812802,14,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"NK cells",0,0,0,0,-0.997273775350279,35,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"NK cells (PLA+)",1,0,3,0,-0.702297567885336,4,0.25,0.124999968750008,"AddModuleScore","MANNE_DN",FALSE,"youden"
"NK cells (PLA−)",0,7,0,91,-1.12792763563677,98,0.928571428571429,0.464285709548105,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Neutrophils",0,0,0,0,0.204593490743603,7071,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Neutrophils (PLA+)",63,0,22,0,0.122076052527613,85,0.741176470588235,0.370588230934256,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Neutrophils (PLA−)",0,288,0,392,-0.316976433388876,680,0.576470588235294,0.288235293693772,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.0703435574435125,53,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Non-B cells",0,0,0,0,0.397794785441321,1277,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Non-T / Non-NK cells",0,0,0,0,0.553887829519864,6912,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Non-cDCs",0,0,0,0,-0.0120964800984588,25,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Non-classical monocytes (PLA+)",139,0,113,0,-0.214005836576286,252,0.551587301587302,0.275793649699232,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Non-classical monocytes (PLA−)",0,538,0,901,-0.398238622735777,1439,0.626129256428075,0.31306462799648,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Other immune cells",0,0,0,0,-0.0178539000647599,11,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Plasmacytoid DCs",0,0,0,0,3.73477313264445,3,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"R11",0,0,0,0,-0.886301142793335,535,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"R13",0,0,0,0,-0.978730205511385,248,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"R16",0,0,0,0,1.00650360475146,4,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"R40",0,0,0,0,-0.155959876684409,273,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Singlets",0,0,0,0,0.0321575000003009,1795,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Total B cells",0,0,0,0,0.504098157273374,2,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
NA,0,0,0,0,0.585897985244809,475,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
