"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",17,0,63,0,1.27254060232454,80,0.2125,0.106249998671875,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"B cells (PLA−)",0,120,0,482,1.61265008475746,602,0.800664451827243,0.400332225248618,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"CD4 T cells",0,0,0,0,-0.929283513605795,6,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"CD4 T cells (PLA+)",33,0,494,0,-0.386095003656933,527,0.0626185958254269,0.031309297853303,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"CD4 T cells (PLA−)",0,10,0,2712,-0.941724356451558,2722,0.996326230712711,0.498163115173342,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"CD8 T cells",0,0,0,0,-0.777040702279525,4,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"CD8 T cells (PLA+)",0,0,70,0,-0.906662849222044,70,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"CD8 T cells (PLA−)",0,20,0,1413,-1.19193626411572,1433,0.986043265875785,0.493021632593844,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical monocytes (PLA+)",54,0,196,0,0.223269654420841,250,0.216,0.107999999568,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical monocytes (PLA−)",0,322,0,1904,0.0878140958293023,2226,0.855345911949686,0.427672955782717,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Dendritic cells",0,0,0,0,-0.579232690157809,7,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Dendritic cells (PLA−)",0,18,0,18,0.784862338211951,36,0.5,0.249999993055556,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Early NK cells (PLA+)",1,0,24,0,-0.0210569950399865,25,0.04,0.0199999992,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Early NK cells (PLA−)",0,3,0,92,-0.968267325093166,95,0.968421052631579,0.484210521218837,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Intermediate monocytes (PLA+)",10,0,21,0,0.372406313653254,31,0.32258064516129,0.161290317377732,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Intermediate monocytes (PLA−)",0,33,0,233,-0.0418881876265651,266,0.87593984962406,0.437969923165527,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Monocytes (PLA+)",0,0,12,0,-0.0939192709679187,12,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Monocytes (PLA−)",0,151,0,4444,-0.305631012089708,4595,0.967138193688792,0.483569096739158,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"NK / Dendritic cells",0,0,0,0,0.601216277441948,14,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"NK cells",0,0,0,0,-0.977817890476382,35,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"NK cells (PLA+)",0,0,4,0,-0.684637997577575,4,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"NK cells (PLA−)",0,4,0,94,-1.12836591314231,98,0.959183673469388,0.4795918318409,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Neutrophils",0,0,0,0,0.233517251163823,7071,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Neutrophils (PLA+)",11,0,74,0,0.0679123625832538,85,0.129411764705882,0.0647058815916955,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Neutrophils (PLA−)",0,26,0,654,-0.272152606106768,680,0.961764705882353,0.480882352233997,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
