"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",65,0,15,0,1.27254060232454,80,0.8125,0.406249994921875,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"B cells (PLA−)",0,527,0,75,1.61265008475746,602,0.124584717607973,0.062292358700511,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.929283513605795,6,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",52,0,475,0,-0.386095003656933,527,0.0986717267552182,0.0493358632839927,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,29,0,2693,-0.941724356451558,2722,0.989346069066863,0.4946730343517,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-0.777040702279525,4,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",0,0,70,0,-0.906662849222044,70,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,27,0,1406,-1.19193626411572,1433,0.98115840893231,0.490579204123811,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",55,0,195,0,0.223269654420841,250,0.22,0.10999999956,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,325,0,1901,0.0878140958293023,2226,0.853998203054807,0.42699910133558,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,-0.579232690157809,7,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,22,0,14,0.784862338211951,36,0.388888888888889,0.19444443904321,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA+)",2,0,23,0,-0.0210569950399865,25,0.08,0.0399999984000001,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,3,0,92,-0.968267325093166,95,0.968421052631579,0.484210521218837,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",10,0,21,0,0.372406313653254,31,0.32258064516129,0.161290317377732,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,34,0,232,-0.0418881876265651,266,0.87218045112782,0.436090223924473,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Monocytes (PLA+)",0,0,12,0,-0.0939192709679187,12,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,160,0,4435,-0.305631012089708,4595,0.965179542981502,0.482589771385726,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,0.601216277441948,14,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"NK cells",0,0,0,0,-0.977817890476382,35,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"NK cells (PLA+)",0,0,4,0,-0.684637997577575,4,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"NK cells (PLA−)",0,4,0,94,-1.12836591314231,98,0.959183673469388,0.4795918318409,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,0.233517251163823,7071,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA+)",13,0,72,0,0.0679123625832538,85,0.152941176470588,0.0764705873356401,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
