"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",33,0,47,0,1.27254060232454,80,0.4125,0.206249997421875,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"B cells (PLA−)",0,314,0,288,1.61265008475746,602,0.478405315614618,0.239202657409962,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"CD4 T cells",0,0,0,0,-0.929283513605795,6,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"CD4 T cells (PLA+)",19,0,508,0,-0.386095003656933,527,0.0360531309297913,0.0180265654306896,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"CD4 T cells (PLA−)",0,1,0,2721,-0.941724356451558,2722,0.999632623071271,0.499816311352015,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"CD8 T cells",0,0,0,0,-0.777040702279525,4,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"CD8 T cells (PLA+)",0,0,70,0,-0.906662849222044,70,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"CD8 T cells (PLA−)",0,0,0,1433,-1.19193626411572,1433,1,0.499999999651082,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Classical monocytes (PLA+)",26,0,224,0,0.223269654420841,250,0.104,0.051999999792,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Classical monocytes (PLA−)",0,97,0,2129,0.0878140958293023,2226,0.956424079065588,0.478212039317964,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Dendritic cells",0,0,0,0,-0.579232690157809,7,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Dendritic cells (PLA−)",0,15,0,21,0.784862338211951,36,0.583333333333333,0.291666658564815,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Early NK cells (PLA+)",2,0,23,0,-0.0210569950399865,25,0.08,0.0399999984000001,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Early NK cells (PLA−)",0,0,0,95,-0.968267325093166,95,1,0.499999994736842,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Intermediate monocytes (PLA+)",1,0,30,0,0.372406313653254,31,0.032258064516129,0.0161290317377732,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Intermediate monocytes (PLA−)",0,13,0,253,-0.0418881876265651,266,0.951127819548872,0.475563907986602,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Monocytes (PLA+)",0,0,12,0,-0.0939192709679187,12,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Monocytes (PLA−)",0,74,0,4521,-0.305631012089708,4595,0.983895538628945,0.491947769207411,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"NK / Dendritic cells",0,0,0,0,0.601216277441948,14,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"NK cells",0,0,0,0,-0.977817890476382,35,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"NK cells (PLA+)",0,0,4,0,-0.684637997577575,4,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"NK cells (PLA−)",0,0,0,98,-1.12836591314231,98,1,0.499999994897959,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Neutrophils",0,0,0,0,0.233517251163823,7071,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Neutrophils (PLA+)",6,0,79,0,0.0679123625832538,85,0.0705882352941176,0.0352941172318339,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Neutrophils (PLA−)",0,17,0,663,-0.272152606106768,680,0.975,0.487499999283088,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,0.279790001713813,53,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Non-B cells",0,0,0,0,0.166521071644201,1277,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,0.595766797661876,6912,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Non-cDCs",0,0,0,0,0.0322367418647923,25,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Non-classical monocytes (PLA+)",9,0,243,0,-0.166913654756099,252,0.0357142857142857,0.0178571427862812,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Non-classical monocytes (PLA−)",0,8,0,1431,-0.349206781927982,1439,0.994440583738707,0.497220291523822,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Other immune cells",0,0,0,0,-0.144629902351472,11,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Plasmacytoid DCs",0,0,0,0,5.04786585696897,3,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"R11",0,0,0,0,-0.901382491955504,535,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"R13",0,0,0,0,-1.00649670976322,248,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"R16",0,0,0,0,0.900648496823518,4,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"R40",0,0,0,0,-0.0836540529143964,273,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Singlets",0,0,0,0,-0.0612488218838162,1795,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
"Total B cells",0,0,0,0,1.34039942886326,2,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
NA,0,0,0,0,0.856630099940257,475,0,0,"AddModuleScore","MANNE_DN",TRUE,"kmeans"
